East Germany, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 04/02/2019
Year    adjTFR
1957     2.049
1958     1.989
1959     2.106
1960     2.150
1961     2.232
1962     2.319
1963     2.420
1964     2.380
1965     2.362
1966     2.342
1967     2.280
1968     2.279
1969     2.316
1970     2.273
1971     2.271
1972     1.887
1973     1.616
1974     1.570
1975     1.559
1976     1.669
1977     1.830
1978     1.811
1979     1.773
1980     1.841
1981     1.854
1982     1.880
1983     1.803
1984     1.744
1985     1.812
1986     1.899
1987     1.926
1988     1.805
2010     1.612
2011     1.602
2012     1.599
2013     1.671
2014     1.685
2015     1.525
2016     1.725
