East Germany, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 04/02/2019
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1957     2.049     0.796     0.616     0.336     0.161     0.140
1958     1.989     0.721     0.606     0.338     0.172     0.152
1959     2.106     0.754     0.608     0.370     0.187     0.187
1960     2.150     0.808     0.576     0.369     0.190     0.206
1961     2.232     0.876     0.565     0.364     0.197     0.229
1962     2.319     0.922     0.603     0.359     0.196     0.240
1963     2.420     0.948     0.654     0.363     0.202     0.252
1964     2.380     0.957     0.633     0.335     0.189     0.267
1965     2.362     0.984     0.643     0.316     0.178     0.241
1966     2.342     0.965     0.675     0.329     0.172     0.201
1967     2.280     0.952     0.655     0.322     0.161     0.189
1968     2.279     0.911     0.681     0.334     0.171     0.182
1969     2.316     0.901     0.712     0.365     0.180     0.159
1970     2.273     0.916     0.703     0.361     0.154     0.139
1971     2.271     0.930     0.722     0.334     0.140     0.144
1972     1.887     0.915     0.605     0.199     0.078     0.090
1973     1.616     0.888     0.506     0.122     0.041     0.060
1974     1.570     0.882     0.480     0.116     0.039     0.053
1975     1.559     0.900     0.490     0.098     0.035     0.036
1976     1.669     0.923     0.568     0.110     0.037     0.031
1977     1.830     0.920     0.708     0.130     0.042     0.030
1978     1.811     0.923     0.685     0.138     0.038     0.027
1979     1.773     0.922     0.643     0.146     0.037     0.024
1980     1.841     0.966     0.657     0.155     0.041     0.021
1981     1.854     0.955     0.677     0.159     0.041     0.022
1982     1.880     0.942     0.701     0.170     0.044     0.023
1983     1.803     0.892     0.671     0.172     0.045     0.024
1984     1.744     0.862     0.649     0.166     0.043     0.023
1985     1.812     0.873     0.662     0.202     0.049     0.026
1986     1.899     0.908     0.685     0.220     0.058     0.028
1987     1.926     0.905     0.704     0.229     0.059     0.029
1988     1.805     0.861     0.663     0.203     0.051     0.028
2010     1.612     0.806     0.573     0.160     0.046     0.027
2011     1.602     0.812     0.552     0.166     0.041     0.030
2012     1.599     0.840     0.526     0.161     0.042     0.030
2013     1.671     0.893     0.554     0.146     0.050     0.028
2014     1.685     0.915     0.543     0.153     0.045     0.030
2015     1.525     0.809     0.497     0.149     0.042     0.029
2016     1.725     0.920     0.556     0.156     0.055     0.038
