East Germany, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        ASFR
1956     12-    0.00000
1956     13     0.00000
1956     14     0.00005
1956     15     0.00144
1956     16     0.00739
1956     17     0.02807
1956     18     0.06794
1956     19     0.11090
1956     20     0.14308
1956     21     0.16552
1956     22     0.17443
1956     23     0.17205
1956     24     0.16469
1956     25     0.15302
1956     26     0.13988
1956     27     0.12910
1956     28     0.11682
1956     29     0.10495
1956     30     0.09226
1956     31     0.08280
1956     32     0.07513
1956     33     0.06600
1956     34     0.05852
1956     35     0.05040
1956     36     0.04344
1956     37     0.03737
1956     38     0.03071
1956     39     0.02371
1956     40     0.01788
1956     41     0.01364
1956     42     0.00995
1956     43     0.00624
1956     44     0.00364
1956     45     0.00147
1956     46     0.00049
1956     47     0.00025
1956     48     0.00012
1956     49     0.00006
1956     50     0.00003
1956     51     0.00002
1956     52     0.00001
1956     53     0.00000
1956     54     0.00000
1956     55+    0.00000
1957     12-    0.00000
1957     13     0.00000
1957     14     0.00006
1957     15     0.00154
1957     16     0.00731
1957     17     0.02786
1957     18     0.06616
1957     19     0.11131
1957     20     0.14385
1957     21     0.16092
1957     22     0.16903
1957     23     0.16881
1957     24     0.16277
1957     25     0.15402
1957     26     0.13982
1957     27     0.12715
1957     28     0.11442
1957     29     0.10120
1957     30     0.09098
1957     31     0.08018
1957     32     0.07047
1957     33     0.06295
1957     34     0.05496
1957     35     0.04810
1957     36     0.04160
1957     37     0.03512
1957     38     0.02846
1957     39     0.02188
1957     40     0.01725
1957     41     0.01245
1957     42     0.00878
1957     43     0.00588
1957     44     0.00346
1957     45     0.00162
1957     46     0.00067
1957     47     0.00034
1957     48     0.00017
1957     49     0.00008
1957     50     0.00004
1957     51     0.00002
1957     52     0.00001
1957     53     0.00001
1957     54     0.00000
1957     55+    0.00000
1958     12-    0.00000
1958     13     0.00000
1958     14     0.00005
1958     15     0.00141
1958     16     0.00758
1958     17     0.02834
1958     18     0.06730
1958     19     0.11059
1958     20     0.14321
1958     21     0.16003
1958     22     0.16684
1958     23     0.16563
1958     24     0.16047
1958     25     0.15140
1958     26     0.14010
1958     27     0.12638
1958     28     0.11385
1958     29     0.10219
1958     30     0.09055
1958     31     0.08045
1958     32     0.06953
1958     33     0.06066
1958     34     0.05437
1958     35     0.04670
1958     36     0.04024
1958     37     0.03406
1958     38     0.02809
1958     39     0.02294
1958     40     0.01709
1958     41     0.01211
1958     42     0.00767
1958     43     0.00493
1958     44     0.00313
1958     45     0.00149
1958     46     0.00067
1958     47     0.00034
1958     48     0.00017
1958     49     0.00009
1958     50     0.00004
1958     51     0.00002
1958     52     0.00001
1958     53     0.00001
1958     54     0.00000
1958     55+    0.00000
1959     12-    0.00000
1959     13     0.00000
1959     14     0.00010
1959     15     0.00200
1959     16     0.00851
1959     17     0.03268
1959     18     0.07483
1959     19     0.12259
