East Germany, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1956     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     14     0.00005     0.00005     0.00000     0.00000     0.00000     0.00000
1956     15     0.00144     0.00144     0.00000     0.00000     0.00001     0.00000
1956     16     0.00739     0.00718     0.00020     0.00000     0.00000     0.00000
1956     17     0.02807     0.02645     0.00152     0.00008     0.00001     0.00001
1956     18     0.06794     0.06066     0.00685     0.00039     0.00001     0.00001
1956     19     0.11090     0.09155     0.01723     0.00197     0.00012     0.00003
1956     20     0.14308     0.10432     0.03232     0.00563     0.00072     0.00009
1956     21     0.16552     0.10313     0.04898     0.01123     0.00189     0.00029
1956     22     0.17443     0.09323     0.05750     0.01867     0.00420     0.00083
1956     23     0.17205     0.07645     0.06019     0.02559     0.00754     0.00228
1956     24     0.16469     0.06357     0.05908     0.02798     0.01005     0.00400
1956     25     0.15302     0.05202     0.05590     0.02787     0.01193     0.00530
1956     26     0.13988     0.04141     0.05151     0.02730     0.01260     0.00706
1956     27     0.12910     0.03397     0.04679     0.02752     0.01233     0.00848
1956     28     0.11682     0.02767     0.04194     0.02582     0.01191     0.00949
1956     29     0.10495     0.02203     0.03733     0.02341     0.01177     0.01042
1956     30     0.09226     0.01721     0.03184     0.02134     0.01114     0.01073
1956     31     0.08280     0.01390     0.02751     0.02020     0.01044     0.01075
1956     32     0.07513     0.01123     0.02366     0.01846     0.01032     0.01146
1956     33     0.06600     0.00849     0.01986     0.01604     0.00972     0.01189
1956     34     0.05852     0.00677     0.01626     0.01455     0.00910     0.01184
1956     35     0.05040     0.00539     0.01264     0.01219     0.00834     0.01184
1956     36     0.04344     0.00413     0.00989     0.01029     0.00743     0.01170
1956     37     0.03737     0.00324     0.00722     0.00865     0.00653     0.01173
1956     38     0.03071     0.00250     0.00542     0.00670     0.00534     0.01075
1956     39     0.02371     0.00173     0.00432     0.00494     0.00398     0.00874
1956     40     0.01788     0.00113     0.00309     0.00365     0.00290     0.00712
1956     41     0.01364     0.00087     0.00204     0.00277     0.00224     0.00571
1956     42     0.00995     0.00070     0.00133     0.00181     0.00166     0.00446
