East Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1956   12-       .    0.00000
1956   13     1943    0.00000
1956   13     1942    0.00000
1956   14     1942    0.00000
1956   14     1941    0.00009
1956   15     1941    0.00062
1956   15     1940    0.00220
1956   16     1940    0.00347
1956   16     1939    0.01122
1956   17     1939    0.01786
1956   17     1938    0.03865
1956   18     1938    0.05262
1956   18     1937    0.08369
1956   19     1937    0.09917
1956   19     1936    0.12206
1956   20     1936    0.13271
1956   20     1935    0.15311
1956   21     1935    0.16060
1956   21     1934    0.17054
1956   22     1934    0.17341
1956   22     1933    0.17566
1956   23     1933    0.17479
1956   23     1932    0.16939
1956   24     1932    0.16681
1956   24     1931    0.16266
1956   25     1931    0.15876
1956   25     1930    0.14794
1956   26     1930    0.14354
1956   26     1929    0.13621
1956   27     1929    0.13253
1956   27     1928    0.12576
1956   28     1928    0.12162
1956   28     1927    0.11191
1956   29     1927    0.10802
1956   29     1926    0.10204
1956   30     1926    0.09781
1956   30     1925    0.08700
1956   31     1925    0.08396
1956   31     1924    0.08159
1956   32     1924    0.07890
1956   32     1923    0.07148
1956   33     1923    0.06859
1956   33     1922    0.06367
1956   34     1922    0.06114
1956   34     1921    0.05618
1956   35     1921    0.05347
1956   35     1920    0.04759
1956   36     1920    0.04520
1956   36     1919    0.04110
1956   37     1919    0.03900
1956   37     1918    0.03485
1956   38     1918    0.03274
1956   38     1917    0.02861
1956   39     1917    0.02632
1956   39     1916    0.02147
1956   40     1916    0.01966
1956   40     1915    0.01666
1956   41     1915    0.01521
1956   41     1914    0.01246
1956   42     1914    0.01117
1956   42     1913    0.00883
1956   43     1913    0.00753
1956   43     1912    0.00503
1956   44     1912    0.00420
1956   44     1911    0.00306
1956   45     1911    0.00217
1956   45     1910    0.00083
1956   46     1910    0.00061
1956   46     1909    0.00039
1956   47     1909    0.00030
1956   47     1908    0.00019
1956   48     1908    0.00015
1956   48     1907    0.00009
1956   49     1907    0.00007
1956   49     1906    0.00005
1956   50     1906    0.00004
1956   50     1905    0.00002
1956   51     1905    0.00002
1956   51     1904    0.00001
1956   52     1904    0.00001
1956   52     1903    0.00001
1956   53     1903    0.00001
1956   53     1902    0.00000
1956   54     1902    0.00000
1956   54     1901    0.00000
1956   55+       .    0.00000
1957   12-       .    0.00000
1957   13     1944    0.00000
1957   13     1943    0.00000
1957   14     1943    0.00000
1957   14     1942    0.00011
1957   15     1942    0.00077
1957   15     1941    0.00215
1957   16     1941    0.00322
1957   16     1940    0.01108
1957   17     1940    0.01794
1957   17     1939    0.03757
1957   18     1939    0.05086
1957   18     1938    0.08195
1957   19     1938    0.09806
1957   19     1937    0.12486
1957   20     1937    0.13603
1957   20     1936    0.15125
1957   21     1936    0.15689
1957   21     1935    0.16482
1957   22     1935    0.16730
1957   22     1934    0.17080
1957   23     1934    0.17055
1957   23     1933    0.16669
1957   24     1933    0.16466
1957   24     1932    0.16093
1957   25     1932    0.15787
1957   25     1931    0.15032
1957   26     1931    0.14569
1957   26     1930    0.13460
1957   27     1930    0.13030
1957   27     1929    0.12398
1957   28     1929    0.11965
1957   28     1928    0.10930
1957   29     1928    0.10499
1957   29     1927    0.09730
1957   30     1927    0.09390
1957   30     1926    0.08821
1957   31     1926    0.08458
1957   31     1925    0.07600
1957   32     1925    0.07283
1957   32     1924    0.06798
1957   33     1924    0.06546
1957   33     1923    0.06052
1957   34     1923    0.05790
1957   34     1922    0.05229
1957   35     1922    0.05004
1957   35     1921    0.04635
1957   36     1921    0.04414
1957   36     1920    0.03927
1957   37     1920    0.03698
1957   37     1919    0.03263
1957   38     1919    0.03032
1957   38     1918    0.02557
1957   39     1918    0.02360
1957   39     1917    0.02010
1957   40     1917    0.01861
1957   40     1916    0.01608
1957   41     1916    0.01448
1957   41     1915    0.01106
1957   42     1915    0.00985
1957   42     1914    0.00798
1957   43     1914    0.00692
1957   43     1913    0.00491
1957   44     1913    0.00411
1957   44     1912    0.00285
1957   45     1912    0.00216
1957   45     1911    0.00106
1957   46     1911    0.00082
1957   46     1910    0.00053
1957   47     1910    0.00042
1957   47     1909    0.00026
1957   48     1909    0.00021
1957   48     1908    0.00013
1957   49     1908    0.00010
1957   49     1907    0.00006
1957   50     1907    0.00005
1957   50     1906    0.00003
1957   51     1906    0.00003
1957   51     1905    0.00002
1957   52     1905    0.00001
1957   52     1904    0.00001
1957   53     1904    0.00001
1957   53     1903    0.00000
1957   54     1903    0.00000
1957   54     1902    0.00000
1957   55+       .    0.00000
1958   12-       .    0.00000
1958   13     1945    0.00000
1958   13     1944    0.00000
1958   14     1944    0.00000
1958   14     1943    0.00009
1958   15     1943    0.00064
1958   15     1942    0.00218
1958   16     1942    0.00340
1958   16     1941    0.01093
1958   17     1941    0.01744
1958   17     1940    0.03853
1958   18     1940    0.05265
1958   18     1939    0.08201
1958   19     1939    0.09728
1958   19     1938    0.12482
1958   20     1938    0.13603
1958   20     1937    0.15080
1958   21     1937    0.15620
1958   21     1936    0.16374
1958   22     1936    0.16580
1958   22     1935    0.16786
1958   23     1935    0.16735
1958   23     1934    0.16386
1958   24     1934    0.16197
1958   24     1933    0.15862
1958   25     1933    0.15558
1958   25     1932    0.14729
1958   26     1932    0.14349
1958   26     1931    0.13680
1958   27     1931    0.13228
1958   27     1930    0.12111
1958   28     1930    0.11691
1958   28     1929    0.11073
1958   29     1929    0.10678
1958   29     1928    0.09767
1958   30     1928    0.09384
1958   30     1927    0.08714
1958   31     1927    0.08376
1958   31     1926    0.07728
1958   32     1926    0.07366
1958   32     1925    0.06557
1958   33     1925    0.06271
1958   33     1924    0.05850
1958   34     1924    0.05637
1958   34     1923    0.05243
1958   35     1923    0.04989
1958   35     1922    0.04379
1958   36     1922    0.04171
1958   36     1921    0.03892
1958   37     1921    0.03677
1958   37     1920    0.03155
1958   38     1920    0.02954
1958   38     1919    0.02615
1958   39     1919    0.02434
1958   39     1918    0.02076
1958   40     1918    0.01890
1958   40     1917    0.01521
1958   41     1917    0.01360
1958   41     1916    0.01082
1958   42     1916    0.00934
1958   42     1915    0.00652
1958   43     1915    0.00564
1958   43     1914    0.00438
1958   44     1914    0.00372
1958   44     1913    0.00258
1958   45     1913    0.00198
1958   45     1912    0.00103
1958   46     1912    0.00080
1958   46     1911    0.00053
1958   47     1911    0.00042
1958   47     1910    0.00027
1958   48     1910    0.00021
1958   48     1909    0.00013
1958   49     1909    0.00011
1958   49     1908    0.00007
1958   50     1908    0.00005
1958   50     1907    0.00003
1958   51     1907    0.00003
1958   51     1906    0.00002
1958   52     1906    0.00001
1958   52     1905    0.00001
1958   53     1905    0.00001
1958   53     1904    0.00000
1958   54     1904    0.00000
1958   54     1903    0.00000
1958   55+       .    0.00000
1959   12-       .    0.00000
1959   13     1946    0.00000
1959   13     1945    0.00000
1959   14     1945    0.00000
1959   14     1944    0.00017
1959   15     1944    0.00118
1959   15     1943    0.00279
1959   16     1943    0.00394
1959   16     1942    0.01307
1959   17     1942    0.02084
1959   17     1941    0.04222
1959   18     1941    0.05672
1959   18     1940    0.09185
1959   19     1940    0.10951
1959   19     1939    0.13575
1959   20     1939    0.14674
1959   20     1938    0.16270
1959   21     1938    0.16850
1959   21     1937    0.17728
1959   22     1937    0.17874
1959   22     1936    0.17630
1959   23     1936    0.17527
1959   23     1935    0.17434
1959   24     1935    0.17261
1959   24     1934    0.16766
1959   25     1934    0.16460
1959   25     1933    0.15767
1959   26     1933    0.15372
1959   26     1932    0.14503
1959   27     1932    0.14076
1959   27     1931    0.13290
1959   28     1931    0.12758
1959   28     1930    0.11452
1959   29     1930    0.10954
1959   29     1929    0.10153
1959   30     1929    0.09770
1959   30     1928    0.09069
1959   31     1928    0.08700
1959   31     1927    0.07937
1959   32     1927    0.07593
1959   32     1926    0.06954
1959   33     1926    0.06640
1959   33     1925    0.06015
1959   34     1925    0.05746
1959   34     1924    0.05259
1959   35     1924    0.05033
1959   35     1923    0.04619
1959   36     1923    0.04385
1959   36     1922    0.03872
1959   37     1922    0.03663
1959   37     1921    0.03308
1959   38     1921    0.03101
1959   38     1920    0.02646
1959   39     1920    0.02468
1959   39     1919    0.02200
1959   40     1919    0.01965
1959   40     1918    0.01411
1959   41     1918    0.01268
1959   41     1917    0.01109
1959   42     1917    0.00988
1959   42     1916    0.00737
1959   43     1916    0.00625
1959   43     1915    0.00429
1959   44     1915    0.00359
1959   44     1914    0.00257
1959   45     1914    0.00198
1959   45     1913    0.00102
1959   46     1913    0.00079
1959   46     1912    0.00052
1959   47     1912    0.00042
1959   47     1911    0.00027
1959   48     1911    0.00021
1959   48     1910    0.00013
1959   49     1910    0.00011
1959   49     1909    0.00007
1959   50     1909    0.00005
1959   50     1908    0.00003
1959   51     1908    0.00003
1959   51     1907    0.00002
1959   52     1907    0.00001
1959   52     1906    0.00001
1959   53     1906    0.00001
1959   53     1905    0.00000
1959   54     1905    0.00000
1959   54     1904    0.00000
1959   55+       .    0.00000
1960   12-       .    0.00000
1960   13     1947    0.00000
1960   13     1946    0.00000
1960   14     1946    0.00000
1960   14     1945    0.00018
1960   15     1945    0.00126
1960   15     1944    0.00330
1960   16     1944    0.00477
1960   16     1943    0.01494
1960   17     1943    0.02333
1960   17     1942    0.04712
1960   18     1942    0.06268
1960   18     1941    0.09708
1960   19     1941    0.11402
1960   19     1940    0.13995
1960   20     1940    0.15037
1960   20     1939    0.16482
1960   21     1939    0.16917
1960   21     1938    0.17232
1960   22     1938    0.17379
1960   22     1937    0.17867
1960   23     1937    0.17803
