East Germany, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort        ASFR
1956     12-    1944+     0.00000
1956     13     1943      0.00000
1956     14     1942      0.00000
1956     15     1941      0.00035
1956     16     1940      0.00283
1956     17     1939      0.01449
1956     18     1938      0.04549
1956     19     1937      0.09125
1956     20     1936      0.12727
1956     21     1935      0.15678
1956     22     1934      0.17195
1956     23     1933      0.17523
1956     24     1932      0.16811
1956     25     1931      0.16074
1956     26     1930      0.14576
1956     27     1929      0.13439
1956     28     1928      0.12371
1956     29     1927      0.10999
1956     30     1926      0.09995
1956     31     1925      0.08550
1956     32     1924      0.08026
1956     33     1923      0.07005
1956     34     1922      0.06242
1956     35     1921      0.05484
1956     36     1920      0.04641
1956     37     1919      0.04006
1956     38     1918      0.03381
1956     39     1917      0.02748
1956     40     1916      0.02058
1956     41     1915      0.01595
1956     42     1914      0.01182
1956     43     1913      0.00818
1956     44     1912      0.00462
1956     45     1911      0.00262
1956     46     1910      0.00072
1956     47     1909      0.00035
1956     48     1908      0.00017
1956     49     1907      0.00008
1956     50     1906      0.00004
1956     51     1905      0.00002
1956     52     1904      0.00001
1956     53     1903      0.00001
1956     54     1902      0.00000
1956     55+    1901-     0.00000
1957     12-    1945+     0.00000
1957     13     1944      0.00000
1957     14     1943      0.00000
1957     15     1942      0.00044
1957     16     1941      0.00268
1957     17     1940      0.01446
1957     18     1939      0.04407
1957     19     1938      0.08979
1957     20     1937      0.13031
1957     21     1936      0.15402
1957     22     1935      0.16604
1957     23     1934      0.17068
1957     24     1933      0.16569
1957     25     1932      0.15941
1957     26     1931      0.14803
1957     27     1930      0.13247
1957     28     1929      0.12184
1957     29     1928      0.10716
1957     30     1927      0.09562
1957     31     1926      0.08641
1957     32     1925      0.07443
1957     33     1924      0.06673
1957     34     1923      0.05922
1957     35     1922      0.05117
1957     36     1921      0.04525
1957     37     1920      0.03813
1957     38     1919      0.03149
1957     39     1918      0.02459
1957     40     1917      0.01936
1957     41     1916      0.01529
1957     42     1915      0.01046
1957     43     1914      0.00745
1957     44     1913      0.00451
1957     45     1912      0.00251
1957     46     1911      0.00094
1957     47     1910      0.00048
1957     48     1909      0.00024
1957     49     1908      0.00012
1957     50     1907      0.00006
1957     51     1906      0.00003
1957     52     1905      0.00001
1957     53     1904      0.00001
1957     54     1903      0.00000
1957     55+    1902-     0.00000
1958     12-    1946+     0.00000
1958     13     1945      0.00000
1958     14     1944      0.00000
1958     15     1943      0.00037
1958     16     1942      0.00279
1958     17     1941      0.01416
1958     18     1940      0.04553
1958     19     1939      0.08958
1958     20     1938      0.13038
1958     21     1937      0.15348
1958     22     1936      0.16476
1958     23     1935      0.16761
1958     24     1934      0.16292
1958     25     1933      0.15711
1958     26     1932      0.14540
1958     27     1931      0.13455
1958     28     1930      0.11902
1958     29     1929      0.10876
1958     30     1928      0.09577
1958     31     1927      0.08546
1958     32     1926      0.07548
1958     33     1925      0.06415
1958     34     1924      0.05744
1958     35     1923      0.05117
1958     36     1922      0.04275
1958     37     1921      0.03785
1958     38     1920      0.03055
1958     39     1919      0.02525
1958     40     1918      0.01983
1958     41     1917      0.01441
1958     42     1916      0.01008
1958     43     1915      0.00609
1958     44     1914      0.00405
1958     45     1913      0.00228
1958     46     1912      0.00092
1958     47     1911      0.00048
1958     48     1910      0.00024
1958     49     1909      0.00012
1958     50     1908      0.00006
1958     51     1907      0.00003
1958     52     1906      0.00002
1958     53     1905      0.00001
1958     54     1904      0.00000
1958     55+    1903-     0.00000
1959     12-    1947+     0.00000
1959     13     1946      0.00000
1959     14     1945      0.00000
1959     15     1944      0.00068
1959     16     1943      0.00336
1959     17     1942      0.01694
1959     18     1941      0.04942
1959     19     1940      0.10061
1959     20     1939      0.14122
1959     21     1938      0.16559
1959     22     1937      0.17801
1959     23     1936      0.17578
1959     24     1935      0.17348
1959     25     1934      0.16613
1959     26     1933      0.15570
1959     27     1932      0.14290
1959     28     1931      0.13024
1959     29     1930      0.11204
1959     30     1929      0.09962
1959     31     1928      0.08885
1959     32     1927      0.07765
1959     33     1926      0.06797
1959     34     1925      0.05881
1959     35     1924      0.05147
1959     36     1923      0.04502
1959     37     1922      0.03768
1959     38     1921      0.03205
1959     39     1920      0.02558
1959     40     1919      0.02083
1959     41     1918      0.01339
1959     42     1917      0.01049
1959     43     1916      0.00681
1959     44     1915      0.00394
1959     45     1914      0.00227
1959     46     1913      0.00091
1959     47     1912      0.00047
1959     48     1911      0.00024
1959     49     1910      0.00012
1959     50     1909      0.00006
1959     51     1908      0.00003
1959     52     1907      0.00002
1959     53     1906      0.00001
1959     54     1905      0.00000
1959     55+    1904-     0.00000
1960     12-    1948+     0.00000
1960     13     1947      0.00000
1960     14     1946      0.00000
1960     15     1945      0.00072
1960     16     1944      0.00403
1960     17     1943      0.01910
1960     18     1942      0.05482
1960     19     1941      0.10545
1960     20     1940      0.14510
1960     21     1939      0.16698
1960     22     1938      0.17305
1960     23     1937      0.17835
1960     24     1936      0.17007
1960     25     1935      0.16224
1960     26     1934      0.15110
1960     27     1933      0.14172
1960     28     1932      0.12581
1960     29     1931      0.11385
1960     30     1930      0.09935
1960     31     1929      0.08636
1960     32     1928      0.07788
1960     33     1927      0.06618
1960     34     1926      0.05855
1960     35     1925      0.04957
1960     36     1924      0.04415
1960     37     1923      0.03794
1960     38     1922      0.03077
1960     39     1921      0.02450
1960     40     1920      0.01897
1960     41     1919      0.01533
1960     42     1918      0.01003
1960     43     1917      0.00658
1960     44     1916      0.00375
1960     45     1915      0.00198
1960     46     1914      0.00081
1960     47     1913      0.00043
1960     48     1912      0.00022
1960     49     1911      0.00011
1960     50     1910      0.00006
1960     51     1909      0.00003
1960     52     1908      0.00002
1960     53     1907      0.00001
1960     54     1906      0.00000
1960     55+    1905-     0.00000
1961     12-    1949+     0.00000
1961     13     1948      0.00000
1961     14     1947      0.00000
1961     15     1946      0.00101
1961     16     1945      0.00515
1961     17     1944      0.02185
1961     18     1943      0.05925
1961     19     1942      0.11166
1961     20     1941      0.15507
1961     21     1940      0.17806
1961     22     1939      0.18436
1961     23     1938      0.18449
1961     24     1937      0.17861
1961     25     1936      0.16533
1961     26     1935      0.15690
1961     27     1934      0.13905
1961     28     1933      0.12635
1961     29     1932      0.11470
1961     30     1931      0.10224
1961     31     1930      0.08790
1961     32     1929      0.07738
1961     33     1928      0.06714
1961     34     1927      0.05822
1961     35     1926      0.05172
1961     36     1925      0.04272
1961     37     1924      0.03735
1961     38     1923      0.03086
1961     39     1922      0.02548
1961     40     1921      0.01913
1961     41     1920      0.01408
1961     42     1919      0.01043
1961     43     1918      0.00690
1961     44     1917      0.00334
1961     45     1916      0.00200
1961     46     1915      0.00073
1961     47     1914      0.00037
1961     48     1913      0.00019
1961     49     1912      0.00009
1961     50     1911      0.00005
1961     51     1910      0.00003
1961     52     1909      0.00001
1961     53     1908      0.00001
1961     54     1907      0.00000
1961     55+    1906-     0.00000
1962     12-    1950+     0.00000
1962     13     1949      0.00000
1962     14     1948      0.00000
1962     15     1947      0.00098
1962     16     1946      0.00541
1962     17     1945      0.02250
1962     18     1944      0.06442
1962     19     1943      0.11577
1962     20     1942      0.15652
1962     21     1941      0.17998
1962     22     1940      0.18782
1962     23     1939      0.18594
1962     24     1938      0.17760
1962     25     1937      0.16921
1962     26     1936      0.15417
1962     27     1935      0.13642
1962     28     1934      0.12409
1962     29     1933      0.11111
1962     30     1932      0.10136
1962     31     1931      0.08759
1962     32     1930      0.07575
1962     33     1929      0.06649
1962     34     1928      0.05680
1962     35     1927      0.04899
1962     36     1926      0.04212
1962     37     1925      0.03553
1962     38     1924      0.02985
1962     39     1923      0.02501
1962     40     1922      0.01872
1962     41     1921      0.01371
1962     42     1920      0.00972
1962     43     1919      0.00658
1962     44     1918      0.00400
1962     45     1917      0.00140
1962     46     1916      0.00069
1962     47     1915      0.00037
1962     48     1914      0.00019
1962     49     1913      0.00010
1962     50     1912      0.00005
1962     51     1911      0.00003
1962     52     1910      0.00002
1962     53     1909      0.00001
1962     54     1908      0.00000
1962     55+    1907-     0.00000
1963     12-    1951+     0.00000
1963     13     1950      0.00000
1963     14     1949      0.00000
1963     15     1948      0.00099
1963     16     1947      0.00575
1963     17     1946      0.02606
1963     18     1945      0.06658
1963     19     1944      0.12374
1963     20     1943      0.16334
1963     21     1942      0.18089
1963     22     1941      0.19226
1963     23     1940      0.18515
1963     24     1939      0.18129
1963     25     1938      0.16860
1963     26     1937      0.15638
1963     27     1936      0.14110
1963     28     1935      0.12644
1963     29     1934      0.11416
1963     30     1933      0.10138
1963     31     1932      0.09043
1963     32     1931      0.07783
1963     33     1930      0.06909
1963     34     1929      0.05729
1963     35     1928      0.05141
1963     36     1927      0.04352
1963     37     1926      0.03606
1963     38     1925      0.03013
1963     39     1924      0.02466
1963     40     1923      0.01910
1963     41     1922      0.01397
1963     42     1921      0.00978
1963     43     1920      0.00680
1963     44     1919      0.00421
1963     45     1918      0.00185
1963     46     1917      0.00053
1963     47     1916      0.00026
1963     48     1915      0.00013
1963     49     1914      0.00007
1963     50     1913      0.00004
1963     51     1912      0.00002
1963     52     1911      0.00001
1963     53     1910      0.00001
1963     54     1909      0.00000
1963     55+    1908-     0.00000
1964     12-    1952+     0.00000
1964     13     1951      0.00000
1964     14     1950      0.00000
1964     15     1949      0.00076
1964     16     1948      0.00532
1964     17     1947      0.02615
1964     18     1946      0.06782
1964     19     1945      0.12941
1964     20     1944      0.17326
1964     21     1943      0.18795
1964     22     1942      0.18454
1964     23     1941      0.18404
1964     24     1940      0.17615
1964     25     1939      0.16418
1964     26     1938      0.15374
1964     27     1937      0.13999
1964     28     1936      0.12623
1964     29     1935      0.11248
1964     30     1934      0.10169
1964     31     1933      0.09191
1964     32     1932      0.07974
1964     33     1931      0.06944
1964     34     1930      0.05962
1964     35     1929      0.05106
1964     36     1928      0.04344
1964     37     1927      0.03682
1964     38     1926      0.03013
1964     39     1925      0.02428
1964     40     1924      0.01873
1964     41     1923      0.01400
1964     42     1922      0.00994
1964     43     1921      0.00659
1964     44     1920      0.00411
1964     45     1919      0.00231
1964     46     1918      0.00068
1964     47     1917      0.00032
1964     48     1916      0.00016
1964     49     1915      0.00008
1964     50     1914      0.00004
1964     51     1913      0.00002
1964     52     1912      0.00001
1964     53     1911      0.00001
1964     54     1910      0.00000
1964     55+    1909-     0.00000
1965     12-    1953+     0.00000
1965     13     1952      0.00000
1965     14     1951      0.00000
1965     15     1950      0.00083
1965     16     1949      0.00564
1965     17     1948      0.02703
1965     18     1947      0.07329
1965     19     1946      0.13496
1965     20     1945      0.17950
1965     21     1944      0.19268
1965     22     1943      0.19149
1965     23     1942      0.18197
1965     24     1941      0.17447
1965     25     1940      0.16541
1965     26     1939      0.15275
1965     27     1938      0.13847
1965     28     1937      0.12503
1965     29     1936      0.11144
1965     30     1935      0.09868
1965     31     1934      0.08949
1965     32     1933      0.07869
1965     33     1932      0.06830
1965     34     1931      0.05937
1965     35     1930      0.05082
1965     36     1929      0.04197
1965     37     1928      0.03535
1965     38     1927      0.02927
1965     39     1926      0.02350
1965     40     1925      0.01871
1965     41     1924      0.01356
1965     42     1923      0.00916
1965     43     1922      0.00612
1965     44     1921      0.00342
1965     45     1920      0.00192
1965     46     1919      0.00068
1965     47     1918      0.00034
1965     48     1917      0.00017
1965     49     1916      0.00009
1965     50     1915      0.00005
1965     51     1914      0.00002
1965     52     1913      0.00001
1965     53     1912      0.00001
1965     54     1911      0.00000
1965     55+    1910-     0.00000
1966     12-    1954+     0.00000
1966     13     1953      0.00000
1966     14     1952      0.00000
1966     15     1951      0.00067
1966     16     1950      0.00459
1966     17     1949      0.02402
1966     18     1948      0.06849
1966     19     1947      0.13352
1966     20     1946      0.18058
1966     21     1945      0.19300
1966     22     1944      0.19153
1966     23     1943      0.18425
1966     24     1942      0.17391
1966     25     1941      0.16035
1966     26     1940      0.15071
1966     27     1939      0.13735
1966     28     1938      0.12189
1966     29     1937      0.10652
1966     30     1936      0.09701
1966     31     1935      0.08423
1966     32     1934      0.07478
1966     33     1933      0.06575
1966     34     1932      0.05768
1966     35     1931      0.04933
1966     36     1930      0.04114
1966     37     1929      0.03331
1966     38     1928      0.02749
1966     39     1927      0.02095
1966     40     1926      0.01634
1966     41     1925      0.01050
1966     42     1924      0.00698
1966     43     1923      0.00420
1966     44     1922      0.00250
1966     45     1921      0.00120
1966     46     1920      0.00049
1966     47     1919      0.00027
1966     48     1918      0.00015
1966     49     1917      0.00008
1966     50     1916      0.00004
1966     51     1915      0.00002
1966     52     1914      0.00001
1966     53     1913      0.00001
1966     54     1912      0.00000
1966     55+    1911-     0.00000
1967     12-    1955+     0.00000
1967     13     1954      0.00000
1967     14     1953      0.00000
1967     15     1952      0.00072
1967     16     1951      0.00380
1967     17     1950      0.02159
1967     18     1949      0.06473
1967     19     1948      0.13009
1967     20     1947      0.17807
1967     21     1946      0.19853
1967     22     1945      0.19452
1967     23     1944      0.18206
1967     24     1943      0.17090
1967     25     1942      0.15588
1967     26     1941      0.14238
1967     27     1940      0.12864
1967     28     1939      0.11522
1967     29     1938      0.10291
1967     30     1937      0.09119
1967     31     1936      0.07955
1967     32     1935      0.06869
1967     33     1934      0.06052
1967     34     1933      0.05315
1967     35     1932      0.04615
1967     36     1931      0.03674
1967     37     1930      0.03151
1967     38     1929      0.02552
1967     39     1928      0.01956
1967     40     1927      0.01332
1967     41     1926      0.00952
1967     42     1925      0.00579
1967     43     1924      0.00380
1967     44     1923      0.00209
1967     45     1922      0.00118
1967     46     1921      0.00042
1967     47     1920      0.00023
1967     48     1919      0.00012
1967     49     1918      0.00007
1967     50     1917      0.00004
1967     51     1916      0.00002
1967     52     1915      0.00001
1967     53     1914      0.00001
1967     54     1913      0.00000
1967     55+    1912-     0.00000
1968     12-    1956+     0.00000
1968     13     1955      0.00000
1968     14     1954      0.00000
1968     15     1953      0.00065
1968     16     1952      0.00366
1968     17     1951      0.02002
1968     18     1950      0.06119
1968     19     1949      0.12434
1968     20     1948      0.17930
1968     21     1947      0.20340
1968     22     1946      0.20150
1968     23     1945      0.18418
1968     24     1944      0.16999
1968     25     1943      0.15296
1968     26     1942      0.13708
1968     27     1941      0.12531
1968     28     1940      0.10980
1968     29     1939      0.09778
1968     30     1938      0.08577
1968     31     1937      0.07594
1968     32     1936      0.06733
1968     33     1935      0.05764
1968     34     1934      0.05095
1968     35     1933      0.04471
1968     36     1932      0.03788
1968     37     1931      0.03008
1968     38     1930      0.02418
1968     39     1929      0.01955
1968     40     1928      0.01257
1968     41     1927      0.00771
1968     42     1926      0.00514
1968     43     1925      0.00323
1968     44     1924      0.00186
1968     45     1923      0.00106
1968     46     1922      0.00028
1968     47     1921      0.00015
1968     48     1920      0.00008
1968     49     1919      0.00004
1968     50     1918      0.00002
1968     51     1917      0.00001
1968     52     1916      0.00001
1968     53     1915      0.00000
1968     54     1914      0.00000
1968     55+    1913-     0.00000
1969     12-    1957+     0.00000
1969     13     1956      0.00000
1969     14     1955      0.00000
1969     15     1954      0.00067
1969     16     1953      0.00356
1969     17     1952      0.02020
1969     18     1951      0.06062
1969     19     1950      0.12575
1969     20     1949      0.17914
1969     21     1948      0.20200
1969     22     1947      0.19946
1969     23     1946      0.18475
1969     24     1945      0.16385
1969     25     1944      0.15060
1969     26     1943      0.13578
1969     27     1942      0.11801
1969     28     1941      0.10607
1969     29     1940      0.09241
1969     30     1939      0.08239
1969     31     1938      0.07195
1969     32     1937      0.06244
1969     33     1936      0.05445
1969     34     1935      0.04664
1969     35     1934      0.04161
1969     36     1933      0.03548
1969     37     1932      0.02921
1969     38     1931      0.02359
1969     39     1930      0.01742
1969     40     1929      0.01140
1969     41     1928      0.00679
1969     42     1927      0.00465
1969     43     1926      0.00261
1969     44     1925      0.00145
1969     45     1924      0.00096
1969     46     1923      0.00031
1969     47     1922      0.00017
1969     48     1921      0.00009
1969     49     1920      0.00005
1969     50     1919      0.00003
1969     51     1918      0.00002
1969     52     1917      0.00001
1969     53     1916      0.00000
1969     54     1915      0.00000
1969     55+    1914-     0.00000
1970     12-    1958+     0.00000
1970     13     1957      0.00000
1970     14     1956      0.00000
1970     15     1955      0.00057
1970     16     1954      0.00354
1970     17     1953      0.02025
1970     18     1952      0.06143
1970     19     1951      0.12889
1970     20     1950      0.18007
1970     21     1949      0.20020
1970     22     1948      0.19960
1970     23     1947      0.18063
1970     24     1946      0.16660
1970     25     1945      0.14586
1970     26     1944      0.12906
1970     27     1943      0.11437
1970     28     1942      0.09935
1970     29     1941      0.08904
1970     30     1940      0.07836
1970     31     1939      0.06932
1970     32     1938      0.06019
1970     33     1937      0.05203
1970     34     1936      0.04583
1970     35     1935      0.03908
1970     36     1934      0.03284
1970     37     1933      0.02865
1970     38     1932      0.02246
1970     39     1931      0.01697
1970     40     1930      0.01065
1970     41     1929      0.00680
1970     42     1928      0.00404
1970     43     1927      0.00261
1970     44     1926      0.00156
1970     45     1925      0.00098
1970     46     1924      0.00031
1970     47     1923      0.00017
1970     48     1922      0.00009
1970     49     1921      0.00005
1970     50     1920      0.00003
1970     51     1919      0.00001
1970     52     1918      0.00001
1970     53     1917      0.00000
1970     54     1916      0.00000
1970     55+    1915-     0.00000
1971     12-    1959+     0.00000
1971     13     1958      0.00000
1971     14     1957      0.00000
1971     15     1956      0.00076
1971     16     1955      0.00379
1971     17     1954      0.02099
1971     18     1953      0.06478
1971     19     1952      0.13092
1971     20     1951      0.17916
1971     21     1950      0.19783
1971     22     1949      0.19241
1971     23     1948      0.17689
1971     24     1947      0.15930
1971     25     1946      0.14150
1971     26     1945      0.12454
1971     27     1944      0.10930
1971     28     1943      0.09482
1971     29     1942      0.08343
1971     30     1941      0.07470
1971     31     1940      0.06541
1971     32     1939      0.05634
1971     33     1938      0.05028
1971     34     1937      0.04313
1971     35     1936      0.03677
1971     36     1935      0.03158
1971     37     1934      0.02683
1971     38     1933      0.02237
1971     39     1932      0.01698
1971     40     1931      0.01096
1971     41     1930      0.00651
1971     42     1929      0.00438
1971     43     1928      0.00282
1971     44     1927      0.00143
1971     45     1926      0.00078
1971     46     1925      0.00030
1971     47     1924      0.00017
1971     48     1923      0.00009
1971     49     1922      0.00005
1971     50     1921      0.00003
1971     51     1920      0.00002
1971     52     1919      0.00001
1971     53     1918      0.00000
1971     54     1917      0.00000
1971     55+    1916-     0.00000
1972     12-    1960+     0.00000
1972     13     1959      0.00000
1972     14     1958      0.00000
1972     15     1957      0.00059
