East Germany, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1956     12-    1944+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     13     1943      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     14     1942      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     15     1941      0.00035     0.00035     0.00000     0.00000     0.00001     0.00000
1956     16     1940      0.00283     0.00280     0.00003     0.00000     0.00000     0.00000
1956     17     1939      0.01449     0.01394     0.00051     0.00003     0.00001     0.00001
1956     18     1938      0.04549     0.04216     0.00319     0.00013     0.00001     0.00001
1956     19     1937      0.09125     0.07864     0.01168     0.00089     0.00002     0.00002
1956     20     1936      0.12727     0.10066     0.02286     0.00337     0.00033     0.00004
1956     21     1935      0.15678     0.10511     0.04221     0.00815     0.00116     0.00015
1956     22     1934      0.17195     0.09986     0.05420     0.01460     0.00280     0.00049
1956     23     1933      0.17523     0.08471     0.05994     0.02322     0.00601     0.00134
1956     24     1932      0.16811     0.06902     0.05982     0.02707     0.00886     0.00335
1956     25     1931      0.16074     0.05857     0.05813     0.02848     0.01108     0.00448
1956     26     1930      0.14576     0.04624     0.05366     0.02722     0.01252     0.00613
1956     27     1929      0.13439     0.03713     0.04932     0.02748     0.01252     0.00794
1956     28     1928      0.12371     0.03104     0.04433     0.02729     0.01213     0.00893
1956     29     1927      0.10999     0.02444     0.03956     0.02423     0.01173     0.01004
1956     30     1926      0.09995     0.01981     0.03506     0.02265     0.01174     0.01070
1956     31     1925      0.08550     0.01500     0.02899     0.02023     0.01056     0.01072
1956     32     1924      0.08026     0.01284     0.02607     0.02007     0.01040     0.01088
1956     33     1923      0.07005     0.00970     0.02137     0.01683     0.01017     0.01199
1956     34     1922      0.06242     0.00751     0.01845     0.01541     0.00931     0.01174
1956     35     1921      0.05484     0.00612     0.01429     0.01363     0.00887     0.01193
1956     36     1920      0.04641     0.00473     0.01118     0.01094     0.00783     0.01174
1956     37     1919      0.04006     0.00350     0.00839     0.00955     0.00695     0.01167
1956     38     1918      0.03381     0.00293     0.00587     0.00745     0.00592     0.01163
1956     39     1917      0.02748     0.00208     0.00501     0.00593     0.00472     0.00974
1956     40     1916      0.02058     0.00144     0.00370     0.00416     0.00338     0.00790
1956     41     1915      0.01595     0.00095     0.00262     0.00328     0.00257     0.00653
1956     42     1914      0.01182     0.00082     0.00163     0.00233     0.00198     0.00507
1956     43     1913      0.00818     0.00055     0.00106     0.00138     0.00135     0.00384
1956     44     1912      0.00462     0.00020     0.00054     0.00085     0.00074     0.00228
1956     45     1911      0.00262     0.00010     0.00037     0.00045     0.00045     0.00124
1956     46     1910      0.00072     0.00002     0.00009     0.00010     0.00012     0.00039
1956     47     1909      0.00035     0.00001     0.00005     0.00005     0.00006     0.00018
1956     48     1908      0.00017     0.00001     0.00003     0.00003     0.00003     0.00008
1956     49     1907      0.00008     0.00001     0.00002     0.00001     0.00001     0.00003
1956     50     1906      0.00004     0.00000     0.00001     0.00001     0.00001     0.00001
1956     51     1905      0.00002     0.00000     0.00001     0.00000     0.00000     0.00001
1956     52     1904      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1956     53     1903      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1956     54     1902      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     55+    1901-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1957     12-    1945+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1957     13     1944      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1957     14     1943      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1957     15     1942      0.00044     0.00044     0.00000     0.00000     0.00000     0.00000
1957     16     1941      0.00268     0.00268     0.00000     0.00000     0.00000     0.00000
1957     17     1940      0.01446     0.01401     0.00044     0.00001     0.00000     0.00000
1957     18     1939      0.04407     0.04134     0.00263     0.00011     0.00000     0.00000
1957     19     1938      0.08979     0.07726     0.01155     0.00090     0.00009     0.00000
1957     20     1937      0.13031     0.09947     0.02689     0.00358     0.00034     0.00004
1957     21     1936      0.15402     0.10279     0.04153     0.00833     0.00125     0.00012
1957     22     1935      0.16604     0.09467     0.05335     0.01476     0.00284     0.00042
1957     23     1934      0.17068     0.08342     0.05897     0.02100     0.00595     0.00134
1957     24     1933      0.16569     0.06733     0.05873     0.02685     0.00960     0.00318
1957     25     1932      0.15941     0.05529     0.05772     0.02903     0.01202     0.00536
1957     26     1931      0.14803     0.04520     0.05319     0.02896     0.01345     0.00722
1957     27     1930      0.13247     0.03562     0.04734     0.02724     0.01309     0.00918
1957     28     1929      0.12184     0.02881     0.04338     0.02619     0.01305     0.01040
1957     29     1928      0.10716     0.02308     0.03697     0.02393     0.01216     0.01102
1957     30     1927      0.09562     0.01807     0.03311     0.02154     0.01138     0.01151
1957     31     1926      0.08641     0.01447     0.02874     0.02048     0.01077     0.01195
1957     32     1925      0.07443     0.01130     0.02342     0.01818     0.00986     0.01167
1957     33     1924      0.06673     0.00941     0.01996     0.01588     0.00978     0.01169
1957     34     1923      0.05922     0.00772     0.01631     0.01441     0.00910     0.01168
1957     35     1922      0.05117     0.00566     0.01270     0.01266     0.00872     0.01144
1957     36     1921      0.04525     0.00464     0.01090     0.01133     0.00763     0.01075
