East Germany, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Total
1956     12-        0.00
1956     13         0.00
1956     14         7.13
1956     15       231.52
1956     16      1222.06
1956     17      4488.15
1956     18     10107.89
1956     19     15934.32
1956     20     20514.77
1956     21     22994.17
1956     22     21230.17
1956     23     18680.63
1956     24     18067.38
1956     25     17835.47
1956     26     16877.04
1956     27     15415.62
1956     28     13676.78
1956     29     12209.68
1956     30     11109.12
1956     31      9821.79
1956     32      8675.36
1956     33      7989.35
1956     34      7726.19
1956     35      7205.68
1956     36      5565.65
1956     37      3326.20
1956     38      2076.33
1956     39      1672.69
1956     40      1629.63
1956     41      1684.07
1956     42      1431.45
1956     43       943.44
1956     44       549.64
1956     45       224.47
1956     46        79.44
1956     47        39.99
1956     48        19.39
1956     49         9.61
1956     50         4.86
1956     51         2.50
1956     52         1.33
1956     53         0.70
1956     54         0.31
1956     55+        0.04
1957     12-        0.00
1957     13         0.00
1957     14         7.06
1957     15       212.26
1957     16      1146.01
1957     17      4482.46
1957     18     10139.22
1957     19     15758.19
1957     20     19732.29
1957     21     22175.81
1957     22     22701.21
1957     23     19950.49
1957     24     17223.34
1957     25     16515.41
1957     26     15941.07
1957     27     15043.98
1957     28     13400.07
1957     29     11618.51
1957     30     10379.56
1957     31      9467.16
1957     32      8192.53
1957     33      7130.07
1957     34      6530.47
1957     35      6228.25
1957     36      5834.38
1957     37      4418.15
1957     38      2486.62
1957     39      1450.08
1957     40      1192.08
1957     41      1113.09
1957     42      1064.05
1957     43       830.64
1957     44       514.33
1957     45       240.39
1957     46       100.53
1957     47        53.98
1957     48        27.16
1957     49        13.28
1957     50         6.58
1957     51         3.31
1957     52         1.67
1957     53         0.85
1957     54         0.36
1957     55+        0.04
1958     12-        0.00
1958     13         0.00
1958     14         5.79
1958     15       172.57
1958     16      1028.28
1958     17      4359.84
1958     18     10498.61
1958     19     16366.26
1958     20     19639.49
1958     21     21356.92
1958     22     22451.18
1958     23     21785.29
1958     24     18625.86
1958     25     15770.38
1958     26     14784.01
1958     27     14214.75
1958     28     13283.51
1958     29     11808.36
1958     30     10253.58
1958     31      9051.20
1958     32      8093.16
1958     33      6955.93
1958     34      6075.13
1958     35      5466.43
1958     36      5136.82
1958     37      4708.63
1958     38      3483.74
1958     39      1974.30
1958     40      1114.29
1958     41       823.04
1958     42       675.15
1958     43       587.39
1958     44       435.03
1958     45       218.53
1958     46        97.69
1958     47        50.68
1958     48        26.67
1958     49        13.48
1958     50         6.68
1958     51         3.38
1958     52         1.71
1958     53         0.86
1958     54         0.35
1958     55+        0.04
1959     12-        0.00
1959     13         0.00
1959     14        10.25
1959     15       238.70
1959     16      1027.97
1959     17      4386.02
1959     18     11342.75
1959     19     18802.48
1959     20     22561.16
1959     21     23425.17
1959     22     23447.88
1959     23     23294.51
1959     24     22183.95
1959     25     18610.77
1959     26     15436.98
1959     27     14332.77
1959     28     13480.16
1959     29     12230.17
1959     30     10801.23
1959     31      9353.43
1959     32      8109.23
1959     33      7297.49
1959     34      6262.49
1959     35      5336.94
1959     36      4774.98
1959     37      4395.11
1959     38      3922.00
1959     39      2890.00
1959     40      1489.83
1959     41       766.80
1959     42       573.39
1959     43       442.18
1959     44       353.92
1959     45       203.73
1959     46        94.72
1959     47        49.61
1959     48        24.88
1959     49        13.11
1959     50         6.73
1959     51         3.43
1959     52         1.77
1959     53         0.90
1959     54         0.37
1959     55+        0.05
1960     12-        0.00
1960     13         0.00
1960     14         7.45
1960     15       242.83
1960     16      1176.09
1960     17      4211.34
1960     18     10803.42
1960     19     18940.94
1960     20     23791.00
1960     21     24593.46
1960     22     23618.75
1960     23     22842.29
1960     24     21952.41
1960     25     20267.69
1960     26     16800.51
1960     27     13725.90
1960     28     12459.99
1960     29     11790.03
1960     30     10649.12
1960     31      9349.61
1960     32      8024.90
1960     33      6889.59
1960     34      6166.55
1960     35      5273.66
1960     36      4506.89
1960     37      3933.52
1960     38      3438.07
1960     39      2916.63
1960     40      2109.69
1960     41      1095.37
1960     42       525.52
1960     43       332.36
1960     44       232.26
1960     45       146.54
1960     46        79.90
1960     47        44.15
1960     48        22.64
1960     49        11.47
1960     50         6.19
1960     51         3.27
1960     52         1.70
1960     53         0.89
1960     54         0.37
1960     55+        0.04
1961     12-        0.00
1961     13         0.00
1961     14        10.55
1961     15       232.94
1961     16      1237.72
1961     17      4546.59
1961     18      9970.77
1961     19     17589.98
1961     20     24451.30
1961     21     26864.79
1961     22     26124.71
1961     23     23998.58
1961     24     22119.22
1961     25     21007.48
1961     26     18906.94
1961     27     15005.58
1961     28     12223.68
1961     29     11166.62
1961     30     10382.11
1961     31      9392.94
1961     32      8123.95
1961     33      6898.05
1961     34      6019.63
1961     35      5324.75
1961     36      4454.08
1961     37      3691.07
1961     38      3193.38
1961     39      2739.87
1961     40      2196.64
1961     41      1485.13
1961     42       742.94
1961     43       311.41
1961     44       171.00
1961     45       100.94
1961     46        58.00
1961     47        35.26
1961     48        18.81
1961     49         9.74
1961     50         5.11
1961     51         2.88
1961     52         1.60
1961     53         0.84
1961     54         0.36
1961     55+        0.05
1962     12-        0.00
1962     13         0.00
1962     14        10.61
1962     15       250.89
1962     16       913.33
1962     17      4214.43
1962     18     10427.57
1962     19     15868.52
1962     20     21601.55
1962     21     26447.31
1962     22     27342.41
1962     23     25489.32
1962     24     22678.30
1962     25     20672.12
1962     26     18753.74
1962     27     16493.19
1962     28     13245.63
1962     29     10716.53
1962     30      9660.13
1962     31      8859.94
1962     32      8043.41
1962     33      6892.00
1962     34      5792.71
1962     35      4946.42
1962     36      4354.92
1962     37      3613.65
1962     38      2959.01
1962     39      2452.81
1962     40      1969.97
1962     41      1540.71
1962     42       983.47
1962     43       454.35
1962     44       158.46
1962     45        62.85
1962     46        40.97
1962     47        29.77
1962     48        18.67
1962     49        10.41
1962     50         5.63
1962     51         3.07
1962     52         1.77
1962     53         0.97
1962     54         0.42
1962     55+        0.05
1963     12-        0.00
1963     13         0.00
1963     14        12.05
1963     15       287.68
1963     16      1116.28
1963     17      3308.15
1963     18      9455.22
1963     19     16797.49
1963     20     20021.83
1963     21     23807.15
1963     22     27066.40
1963     23     26738.23
1963     24     24545.68
1963     25     21236.18
1963     26     18977.23
1963     27     17261.54
1963     28     15242.79
1963     29     12137.26
1963     30      9667.16
1963     31      8580.03
1963     32      7991.85
1963     33      7125.92
1963     34      6069.47
1963     35      5209.07
1963     36      4307.62
1963     37      3704.71
1963     38      3030.97
1963     39      2348.46
1963     40      1846.38
1963     41      1434.37
1963     42      1087.53
1963     43       669.11
1963     44       257.91
1963     45        66.66
1963     46        23.38
1963     47        14.77
1963     48        10.39
1963     49         6.61
1963     50         3.85
1963     51         2.21
1963     52         1.27
1963     53         0.75
1963     54         0.34
1963     55+        0.04
1964     12-        0.00
1964     13         0.00
1964     14        10.59
1964     15       274.21
1964     16      1190.24
1964     17      3722.30
1964     18      7080.88
1964     19     14822.01
1964     20     20784.51
1964     21     21262.45
1964     22     23037.42
1964     23     25660.48
1964     24     24550.95
1964     25     22030.18
1964     26     18908.14
1964     27     16796.33
1964     28     15113.00
1964     29     13287.41
1964     30     10650.10
1964     31      8441.22
1964     32      7448.20
1964     33      6916.83
1964     34      6126.41
1964     35      5214.31
1964     36      4348.56
1964     37      3575.06
1964     38      3007.48
1964     39      2318.05
1964     40      1728.13
1964     41      1314.74
1964     42       985.25
1964     43       691.70
1964     44       384.69
1964     45       118.05
1964     46        28.14
1964     47        14.20
1964     48         9.01
1964     49         6.48
1964     50         4.21
1964     51         2.48
1964     52         1.41
1964     53         0.78
1964     54         0.36
1964     55+        0.05
1965     12-        0.00
1965     13         0.00
1965     14        12.12
1965     15       332.37
1965     16      1342.01
1965     17      4193.13
1965     18      8390.20
1965     19     11010.71
1965     20     17572.56
1965     21     21613.05
1965     22     20959.30
1965     23     22088.53
1965     24     23938.30
1965     25     22755.22
1965     26     19914.12
1965     27     16790.28
1965     28     14660.65
1965     29     13061.13
1965     30     11456.33
1965     31      9080.64
1965     32      7082.94
1965     33      6304.74
1965     34      5808.56
1965     35      5082.56
1965     36      4223.80
1965     37      3457.71
1965     38      2783.66
1965     39      2290.83
1965     40      1724.04
1965     41      1178.33
1965     42       829.93
1965     43       557.02
1965     44       342.27
1965     45       145.99
1965     46        39.36
1965     47        14.38
1965     48         7.56
1965     49         4.99
1965     50         3.69
1965     51         2.42
1965     52         1.40
1965     53         0.77
1965     54         0.33
1965     55+        0.04
1966     12-        0.00
1966     13         0.00
1966     14        10.57
1966     15       290.72
1966     16      1345.76
1966     17      4278.50
1966     18      8754.07
1966     19     13033.82
1966     20     12910.14
1966     21     17944.05
1966     22     21083.32
1966     23     20106.44
1966     24     20678.70
1966     25     21879.88
1966     26     20604.67
1966     27     17736.04
1966     28     14525.55
1966     29     12615.65
1966     30     11277.99
1966     31      9668.37
1966     32      7574.38
1966     33      5950.74
1966     34      5286.63
1966     35      4760.41
1966     36      4069.67
1966     37      3324.80
1966     38      2583.21
1966     39      1973.55
1966     40      1440.37
1966     41       924.10
1966     42       573.99
1966     43       359.73
1966     44       213.74
1966     45       101.87
1966     46        43.26
1966     47        16.73
1966     48         6.49
1966     49         3.59
1966     50         2.45
1966     51         1.84
1966     52         1.20
1966     53         0.67
1966     54         0.29
1966     55+        0.04
1967     12-        0.00
1967     13         0.00
1967     14        11.26
1967     15       275.42
1967     16      1254.36
1967     17      4642.87
1967     18      9424.63
1967     19     13691.96
1967     20     15656.90
1967     21     13457.03
1967     22     17453.92
1967     23     19769.79
1967     24     18321.24
1967     25     18438.48
1967     26     19048.28
1967     27     17397.76
1967     28     14898.80
1967     29     12365.97
1967     30     10578.32
1967     31      9206.28
1967     32      7850.75
1967     33      6124.07
1967     34      4799.03
1967     35      4073.53
1967     36      3582.63
1967     37      3128.18
1967     38      2466.44
1967     39      1743.62
1967     40      1198.11
1967     41       814.41
1967     42       506.15
1967     43       299.73
1967     44       175.74
1967     45        86.95
1967     46        39.59
1967     47        20.10
1967     48         7.47
1967     49         2.88
1967     50         1.60
1967     51         1.11
1967     52         0.84
1967     53         0.54
1967     54         0.25
1967     55+        0.03
1968     12-        0.00
1968     13         0.00
1968     14        10.15
1968     15       256.69
1968     16      1237.82
1968     17      4664.31
1968     18     10493.41
1968     19     15115.67
1968     20     16990.71
1968     21     16847.27
1968     22     13098.92
1968     23     16384.90
1968     24     18067.93
1968     25     16221.28
1968     26     16229.31
1968     27     16509.05
1968     28     14792.51
1968     29     12527.26
1968     30     10283.54
1968     31      8878.84
1968     32      7759.34
1968     33      6592.73
1968     34      5157.48
1968     35      3985.89
1968     36      3342.28
1968     37      2835.61
1968     38      2408.24
1968     39      1745.17
1968     40      1062.73
1968     41       665.94
1968     42       446.34
1968     43       265.72
1968     44       153.25
1968     45        63.64
1968     46        23.39
1968     47        13.75
1968     48         6.75
1968     49         2.55
1968     50         1.03
1968     51         0.61
1968     52         0.44
1968     53         0.34
1968     54         0.18
1968     55+        0.02
1969     12-        0.00
1969     13         0.00
1969     14        10.68
1969     15       256.16
1969     16      1221.47
1969     17      4867.03
1969     18     11242.41
1969     19     17866.63
1969     20     19098.71
1969     21     17731.53
1969     22     15952.20
1969     23     11787.71
1969     24     14521.31
1969     25     16035.67
1969     26     14193.55
1969     27     13824.99
1969     28     13916.27
1969     29     12448.85
1969     30     10538.66
1969     31      8543.49
1969     32      7230.11
1969     33      6266.11
1969     34      5361.11
1969     35      4161.01
1969     36      3109.89
1969     37      2602.41
1969     38      2151.85
1969     39      1566.66
1969     40       967.79
1969     41       604.54
1969     42       373.83
1969     43       210.94
1969     44       128.98
1969     45        60.92
1969     46        24.84
1969     47        15.14
1969     48         8.88
1969     49         4.43
1969     50         1.69
1969     51         0.68
1969     52         0.39
1969     53         0.27
1969     54         0.17
1969     55+        0.02
1970     12-        0.00
1970     13         0.00
1970     14         8.90
1970     15       243.03
1970     16      1231.55
1970     17      4884.28
1970     18     11982.01
1970     19     19337.88
1970     20     22393.34
1970     21     19932.72
1970     22     16698.86
1970     23     14341.32
1970     24     10578.12
1970     25     12676.64
1970     26     13616.79
1970     27     11961.76
1970     28     11616.05
1970     29     11756.31
1970     30     10527.14
1970     31      8847.55
1970     32      7129.72
1970     33      6057.64
1970     34      5275.55
1970     35      4358.70
1970     36      3309.83
1970     37      2458.71
1970     38      1944.36
1970     39      1428.11
1970     40       939.81
1970     41       576.00
1970     42       348.43
1970     43       213.91
1970     44       137.92
1970     45        63.02
1970     46        23.24
1970     47        13.35
1970     48         7.88
1970     49         4.63
1970     50         2.34
1970     51         0.90
1970     52         0.36
1970     53         0.21
1970     54         0.11
1970     55+        0.02
1971     12-        0.00
1971     13         0.00
1971     14        11.86
1971     15       280.29
1971     16      1297.20
1971     17      5144.43
1971     18     12375.25
1971     19     20223.04
