East Germany, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Total          B1          B2          B3          B4         B5p
1956     12-        0.00        0.00        0.00        0.00        0.00        0.00
1956     13         0.00        0.00        0.00        0.00        0.00        0.00
1956     14         7.13        6.94        0.00        0.00        0.19        0.00
1956     15       231.52      230.06        0.65        0.00        0.81        0.00
1956     16      1222.06     1186.90       33.49        0.71        0.80        0.17
1956     17      4488.15     4228.60      243.77       12.74        1.70        1.33
1956     18     10107.89     9025.83     1019.89       58.73        1.66        1.79
1956     19     15934.32    13153.95     2475.54      282.80       17.69        4.33
1956     20     20514.77    14957.26     4634.68      807.76      102.74       12.32
1956     21     22994.17    14326.73     6804.02     1560.24      262.62       40.55
1956     22     21230.17    11347.40     6998.62     2272.52      510.68      100.96
1956     23     18680.63     8301.36     6534.81     2778.10      818.39      247.96
1956     24     18067.38     6974.11     6481.72     3069.98     1102.51      439.04
1956     25     17835.47     6063.19     6515.78     3248.56     1390.35      617.59
1956     26     16877.04     4996.19     6214.96     3294.02     1520.23      851.65
1956     27     15415.62     4056.58     5587.41     3286.65     1472.19     1012.78
1956     28     13676.78     3239.11     4909.83     3022.58     1394.32     1110.95
1956     29     12209.68     2562.37     4342.97     2723.00     1368.92     1212.41
1956     30     11109.12     2071.97     3834.55     2569.33     1340.87     1292.40
1956     31      9821.79     1648.88     3263.61     2395.83     1238.09     1275.39
1956     32      8675.36     1296.74     2732.02     2131.82     1191.48     1323.29
1956     33      7989.35     1027.15     2404.12     1941.91     1176.54     1439.64
1956     34      7726.19      893.44     2147.06     1921.42     1201.05     1563.21
1956     35      7205.68      770.94     1806.55     1743.48     1192.40     1692.31
1956     36      5565.65      528.82     1267.35     1318.59      951.71     1499.18
1956     37      3326.20      288.66      642.33      770.02      580.91     1044.30
1956     38      2076.33      169.14      366.26      452.81      360.95      727.16
1956     39      1672.69      121.90      304.77      348.69      281.00      616.33
1956     40      1629.63      102.97      281.26      332.65      264.10      648.65
1956     41      1684.07      107.99      251.86      342.14      276.87      705.22
1956     42      1431.45      100.68      190.75      260.47      238.43      641.10
1956     43       943.44       53.05      116.02      164.86      153.69      455.82
1956     44       549.64       22.38       71.03       99.35       91.08      265.78
1956     45       224.47        7.99       30.32       36.30       37.74      112.12
1956     46        79.44        2.74        9.94       11.57       12.83       42.36
1956     47        39.99        1.85        5.74        6.15        6.42       19.83
1956     48        19.39        1.22        3.24        3.18        3.08        8.65
1956     49         9.61        0.82        1.87        1.69        1.50        3.73
1956     50         4.86        0.54        1.08        0.90        0.74        1.60
1956     51         2.50        0.36        0.62        0.48        0.36        0.69
1956     52         1.33        0.22        0.35        0.26        0.18        0.30
1956     53         0.70        0.14        0.20        0.14        0.09        0.14
1956     54         0.31        0.06        0.09        0.06        0.03        0.06
1956     55+        0.04        0.01        0.01        0.01        0.00        0.01
1957     12-        0.00        0.00        0.00        0.00        0.00        0.00
1957     13         0.00        0.00        0.00        0.00        0.00        0.00
1957     14         7.06        7.06        0.00        0.00        0.00        0.00
1957     15       212.26      212.26        0.00        0.00        0.00        0.00
1957     16      1146.01     1136.76        9.11        0.14        0.00        0.00
1957     17      4482.46     4239.31      236.51        6.63        0.00        0.00
1957     18     10139.22     9130.55      946.62       60.30        1.77        0.00
1957     19     15758.19    12751.11     2684.82      289.29       32.10        0.86
1957     20     19732.29    14061.81     4756.16      803.80       97.87       12.65
1957     21     22175.81    13676.74     6604.59     1586.92      275.21       32.35
1957     22     22701.21    12000.97     7612.44     2407.08      571.98      108.76
1957     23     19950.49     8967.47     6996.22     2824.96      909.63      252.20
1957     24     17223.34     6449.99     6175.36     2986.12     1158.15      453.73
1957     25     16515.41     5368.30     5963.00     3126.14     1379.26      678.70
1957     26     15941.07     4564.78     5711.66     3203.57     1519.51      941.54
1957     27     15043.98     3794.35     5372.24     3163.51     1548.58     1165.31
1957     28     13400.07     3026.82     4696.30     2939.43     1479.00     1258.52
1957     29     11618.51     2352.98     4017.00     2604.17     1350.18     1294.18
1957     30     10379.56     1844.61     3531.56     2396.89     1263.97     1342.52
1957     31      9467.16     1507.81     3065.13     2285.15     1213.28     1395.78
1957     32      8192.53     1199.58     2519.00     1976.95     1140.65     1356.35
1957     33      7130.07      971.03     2052.16     1712.60     1069.88     1324.42
1957     34      6530.47      784.85     1703.60     1603.63     1061.23     1377.16
1957     35      6228.25      658.47     1522.70     1556.41     1059.46     1431.21
1957     36      5834.38      591.60     1338.11     1402.41      975.23     1527.03
1957     37      4418.15      416.26      909.53     1011.54      739.87     1340.96
1957     38      2486.62      202.88      438.68      566.86      436.47      841.75
1957     39      1450.08      105.85      221.14      316.12      263.71      543.26
1957     40      1192.08       88.23      170.88      237.86      216.94      478.17
1957     41      1113.09       86.12      148.50      204.82      199.79      473.87
1957     42      1064.05       78.54      136.76      202.94      177.60      468.21
1957     43       830.64       56.47      107.95      148.66      147.19      370.37
1957     44       514.33       32.85       61.12       89.49       94.64      236.24
1957     45       240.39       12.23       28.11       40.93       40.41      118.70
1957     46       100.53        4.00       15.02       14.02       16.43       51.06
1957     47        53.98        2.63        9.70        7.61        8.68       25.37
1957     48        27.16        1.68        5.80        3.97        4.29       11.42
1957     49        13.28        1.07        3.30        2.04        2.04        4.83
1957     50         6.58        0.69        1.84        1.06        0.97        2.02
1957     51         3.31        0.43        1.01        0.56        0.46        0.84
1957     52         1.67        0.26        0.54        0.29        0.21        0.35
1957     53         0.85        0.15        0.28        0.15        0.11        0.16
1957     54         0.36        0.07        0.12        0.06        0.05        0.06
1957     55+        0.04        0.01        0.02        0.01        0.01        0.01
1958     12-        0.00        0.00        0.00        0.00        0.00        0.00
1958     13         0.00        0.00        0.00        0.00        0.00        0.00
1958     14         5.79        5.79        0.00        0.00        0.00        0.00
1958     15       172.57      172.57        0.00        0.00        0.00        0.00
1958     16      1028.28     1020.19        8.08        0.00        0.00        0.00
1958     17      4359.84     4132.97      226.64        0.23        0.00        0.00
1958     18     10498.61     9559.96      894.67       43.34        0.64        0.00
1958     19     16366.26    13536.29     2502.08      307.65       19.55        0.70
1958     20     19639.49    14219.03     4541.08      776.87       92.84        9.67
1958     21     21356.92    13182.87     6286.25     1574.69      279.55       33.57
1958     22     22451.18    11909.83     7383.35     2445.58      587.08      125.34
1958     23     21785.29     9836.64     7660.60     3059.44      943.84      284.77
1958     24     18625.86     7046.27     6796.78     3104.44     1163.02      515.34
