East Germany, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total
1956    12-        .            0.00
1956    13      1943            0.00
1956    13      1942            0.00
1956    14      1942            0.00
1956    14      1941            7.13
1956    15      1941           47.87
1956    15      1940          183.65
1956    16      1940          283.35
1956    16      1939          938.71
1956    17      1939         1453.29
1956    17      1938         3034.86
1956    18      1938         3968.14
1956    18      1937         6139.75
1956    19      1937         6944.25
1956    19      1936         8990.07
1956    20      1936         9354.93
1956    20      1935        11159.84
1956    21      1935        11255.16
1956    21      1934        11739.01
1956    22      1934        11543.99
1956    22      1933         9686.18
1956    23      1933         9346.82
1956    23      1932         9333.81
1956    24      1932         8951.19
1956    24      1931         9116.19
1956    25      1931         8684.81
1956    25      1930         9150.66
1956    26      1930         8673.34
1956    26      1929         8203.70
1956    27      1929         7809.30
1956    27      1928         7606.32
1956    28      1928         7202.68
1956    28      1927         6474.10
1956    29      1927         6108.90
1956    29      1926         6100.78
1956    30      1926         5724.22
1956    30      1925         5384.90
1956    31      1925         5081.10
1956    31      1924         4740.69
1956    32      1924         4479.31
1956    32      1923         4196.05
1956    33      1923         3939.95
1956    33      1922         4049.40
1956    34      1922         3805.60
1956    34      1921         3920.59
1956    35      1921         3653.41
1956    35      1920         3552.27
1956    36      1920         3301.73
1956    36      1919         2263.92
1956    37      1919         2104.08
1956    37      1918         1222.12
1956    38      1918         1122.88
1956    38      1917          953.45
1956    39      1917          857.55
1956    39      1916          815.14
1956    40      1916          729.86
1956    40      1915          899.77
1956    41      1915          805.23
1956    41      1914          878.84
1956    42      1914          772.16
1956    42      1913          659.29
1956    43      1913          551.71
1956    43      1912          391.73
1956    44      1912          321.27
1956    44      1911          228.37
1956    45      1911          158.63
1956    45      1910           65.84
1956    46      1910           47.51
1956    46      1909           31.93
1956    47      1909           24.64
1956    47      1908           15.35
1956    48      1908           11.92
1956    48      1907            7.47
1956    49      1907            5.84
1956    49      1906            3.77
1956    50      1906            2.98
1956    50      1905            1.88
1956    51      1905            1.50
1956    51      1904            1.00
1956    52      1904            0.81
1956    52      1903            0.52
1956    53      1903            0.42
1956    53      1902            0.28
1956    54      1902            0.20
1956    54      1901            0.11
1956    55+        .            0.04
1957    12-        .            0.00
1957    13      1944            0.00
1957    13      1943            0.00
1957    14      1943            0.00
1957    14      1942            7.06
1957    15      1942           47.03
1957    15      1941          165.23
1957    16      1941          242.46
1957    16      1940          903.55
1957    17      1940         1426.40
1957    17      1939         3056.06
1957    18      1939         3959.83
1957    18      1938         6179.39
