East Germany, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1956    12-        .            0.00           0.00           0.00           0.00           0.00           0.00
1956    13      1943            0.00           0.00           0.00           0.00           0.00           0.00
1956    13      1942            0.00           0.00           0.00           0.00           0.00           0.00
1956    14      1942            0.00           0.00           0.00           0.00           0.00           0.00
1956    14      1941            7.13           6.94           0.00           0.00           0.19           0.00
1956    15      1941           47.87          47.06           0.00           0.00           0.81           0.00
1956    15      1940          183.65         183.00           0.65           0.00           0.00           0.00
1956    16      1940          283.35         279.00           4.35           0.00           0.00           0.00
1956    16      1939          938.71         907.90          29.14           0.71           0.80           0.17
1956    17      1939         1453.29        1392.11          54.85           4.29           1.20           0.83
1956    17      1938         3034.86        2836.49         188.92           8.45           0.50           0.50
1956    18      1938         3968.14        3653.57         302.03          11.55           0.50           0.50
1956    18      1937         6139.75        5372.26         717.86          47.18           1.16           1.29
1956    19      1937         6944.25        5903.92         956.98          79.79           1.83           1.71
1956    19      1936         8990.07        7250.03        1518.56         203.01          15.86           2.62
1956    20      1936         9354.93        7259.38        1777.18         282.87          32.11           3.38
1956    20      1935        11159.84        7697.88        2857.50         524.89          70.63           8.94
1956    21      1935        11255.16        7329.84        3177.14         639.85          95.28          13.04
1956    21      1934        11739.01        6996.89        3626.88         920.39         167.34          27.51
1956    22      1934        11543.99        6525.04        3711.83        1057.21         211.46          38.45
1956    22      1933         9686.18        4822.36        3286.79        1215.31         299.22          62.51
1956    23      1933         9346.82        4378.54        3224.15        1307.25         353.46          83.41
1956    23      1932         9333.81        3922.82        3310.66        1470.85         464.93         164.55
1956    24      1932         8951.19        3584.12        3195.46        1473.71         498.62         199.27
1956    24      1931         9116.19        3389.99        3286.26        1596.27         603.89         239.77
1956    25      1931         8684.81        3095.96        3150.98        1558.32         623.56         255.99
1956    25      1930         9150.66        2967.23        3364.80        1690.24         766.79         361.60
