East Germany, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total
1956    12-   1944+        0.00
1956    13    1943         0.00
1956    14    1942         0.00
1956    15    1941        55.00
1956    16    1940       467.00
1956    17    1939      2392.00
1956    18    1938      7003.00
1956    19    1937     13084.00
1956    20    1936     18345.00
1956    21    1935     22415.00
1956    22    1934     23283.00
1956    23    1933     19033.00
1956    24    1932     18285.00
1956    25    1931     17801.00
1956    26    1930     17824.00
1956    27    1929     16013.00
1956    28    1928     14809.00
1956    29    1927     12583.00
1956    30    1926     11825.00
1956    31    1925     10466.00
1956    32    1924      9220.00
1956    33    1923      8136.00
1956    34    1922      7855.00
1956    35    1921      7574.00
1956    36    1920      6854.00
1956    37    1919      4368.00
1956    38    1918      2345.00
1956    39    1917      1811.00
1956    40    1916      1545.00
1956    41    1915      1705.00
1956    42    1914      1651.00
1956    43    1913      1211.00
1956    44    1912       713.00
1956    45    1911       387.00
1956    46    1910       113.35
1956    47    1909        56.57
1956    48    1908        27.27
1956    49    1907        13.31
1956    50    1906         6.75
1956    51    1905         3.38
1956    52    1904         1.81
1956    53    1903         0.94
1956    54    1902         0.48
1956    55+   1901-        0.15
1957    12-   1945+        0.00
1957    13    1944         0.00
1957    14    1943         0.00
1957    15    1942        54.09
1957    16    1941       407.69
1957    17    1940      2329.95
1957    18    1939      7015.89
1957    19    1938     13196.35
1957    20    1937     17814.17
1957    21    1936     21288.06
1957    22    1935     22880.75
1957    23    1934     22406.95
1957    24    1933     17501.65
1957    25    1932     16927.67
1957    26    1931     16031.16
1957    27    1930     15870.88
1957    28    1929     14232.11
1957    29    1928     12589.33
1957    30    1927     10720.16
1957    31    1926     10029.99
1957    32    1925      8932.13
1957    33    1924      7512.73
1957    34    1923      6752.43
1957    35    1922      6315.70
1957    36    1921      6133.39
1957    37    1920      5525.36
1957    38    1919      3369.71
1957    39    1918      1671.83
1957    40    1917      1250.11
1957    41    1916      1124.91
1957    42    1915      1097.86
1957    43    1914      1021.73
1957    44    1913       656.11
1957    45    1912       380.65
1957    46    1911       136.69
1957    47    1910        74.16
1957    48    1909        38.09
1957    49    1908        18.63
1957    50    1907         9.12
1957    51    1906         4.61
1957    52    1905         2.28
1957    53    1904         1.18
1957    54    1903         0.56
1957    55+   1902-        0.17
1958    12-   1946+        0.00
1958    13    1945         0.00
1958    14    1944         0.00
1958    15    1943        45.00
1958    16    1942       339.00
1958    17    1941      2119.00
1958    18    1940      7179.00
1958    19    1939     13820.00
1958    20    1938     18514.00
1958    21    1937     20322.00
1958    22    1936     22173.00
1958    23    1935     22550.00
1958    24    1934     20956.00
1958    25    1933     16307.00
1958    26    1932     15189.00
1958    27    1931     14354.00
1958    28    1930     14066.00
1958    29    1929     12529.00
1958    30    1928     11101.00
1958    31    1927      9445.00
1958    32    1926      8640.00
1958    33    1925      7592.00
1958    34    1924      6374.00
1958    35    1923      5754.00
1958    36    1922      5200.00
1958    37    1921      5057.00
1958    38    1920      4363.00
1958    39    1919      2663.00
1958    40    1918      1327.00
1958    41    1917       915.00
1958    42    1916       730.00
1958    43    1915       629.00
1958    44    1914       547.00
1958    45    1913       327.00
1958    46    1912       136.99
1958    47    1911        68.26
1958    48    1910        36.67
1958    49    1909        18.84
1958    50    1908         9.30
1958    51    1907         4.64
1958    52    1906         2.38
1958    53    1905         1.18
1958    54    1904         0.57
1958    55+   1903-        0.16
1959    12-   1947+        0.00
1959    13    1946         0.00
1959    14    1945         0.00
1959    15    1944        79.00
1959    16    1943       408.00
1959    17    1942      2038.00
1959    18    1941      7302.00
1959    19    1940     15606.00
1959    20    1939     21475.00
1959    21    1938     23237.00
1959    22    1937     23316.00
1959    23    1936     23430.00
