East Germany, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1956    12-   1944+        0.00        0.00        0.00        0.00        0.00        0.00
1956    13    1943         0.00        0.00        0.00        0.00        0.00        0.00
1956    14    1942         0.00        0.00        0.00        0.00        0.00        0.00
1956    15    1941        55.00       54.00        0.00        0.00        1.00        0.00
1956    16    1940       467.00      462.00        5.00        0.00        0.00        0.00
1956    17    1939      2392.00     2300.01       83.99        5.00        2.00        1.00
1956    18    1938      7003.00     6490.06      490.95       20.00        1.00        1.00
1956    19    1937     13084.00    11276.18     1674.84      126.97        2.99        3.00
1956    20    1936     18345.00    14509.41     3295.74      485.88       47.97        6.00
1956    21    1935     22415.00    15027.72     6034.64     1164.74      165.91       21.98
1956    22    1934     23283.00    13521.93     7338.71     1977.60      378.80       65.96
1956    23    1933     19033.00     9200.90     6510.94     2522.56      652.68      145.92
1956    24    1932     18285.00     7506.94     6506.12     2944.56      963.55      363.82
1956    25    1931     17801.00     6485.95     6437.24     3154.59     1227.45      495.76
1956    26    1930     17824.00     5653.94     6561.39     3328.65     1530.36      749.66
1956    27    1929     16013.00     4423.83     5876.47     3274.72     1491.40      946.58
1956    28    1928     14809.00     3715.75     5306.50     3266.77     1451.44     1068.55
1956    29    1927     12583.00     2795.61     4525.50     2771.85     1341.50     1148.53
1956    30    1926     11825.00     2343.55     4147.53     2679.90     1388.51     1265.51
1956    31    1925     10466.00     1836.46     3548.51     2475.95     1292.57     1312.51
1956    32    1924      9220.00     1475.39     2994.47     2305.98     1194.62     1249.54
1956    33    1923      8136.00     1126.33     2481.46     1955.03     1180.65     1392.53
1956    34    1922      7855.00      945.29     2321.46     1939.06     1171.67     1477.53
1956    35    1921      7574.00      845.27     1973.44     1883.10     1224.68     1647.50
1956    36    1920      6854.00      698.25     1651.40     1615.12     1155.72     1733.51
1956    37    1919      4368.00      381.14      915.25     1041.10      757.84     1272.68
1956    38    1918      2345.00      203.08      407.12      517.07      410.92      806.82
1956    39    1917      1811.00      137.05      330.09      391.05      310.94      641.85
1956    40    1916      1545.00      108.05      278.09      312.05      253.96      592.87
1956    41    1915      1705.00      101.05      280.09      351.06      274.95      697.85
1956    42    1914      1651.00      114.05      227.07      326.06      275.95      707.86
1956    43    1913      1211.00       82.04      157.05      204.03      199.97      567.90
1956    44    1912       713.00       31.02       84.03      131.02      114.98      351.94
1956    45    1911       387.00       15.01       55.02       67.01       65.99      183.97
1956    46    1910       113.35        3.52       13.61       16.40       18.43       61.38
1956    47    1909        56.57        2.29        7.62        8.48        9.10       29.08
1956    48    1908        27.27        1.49        4.25        4.34        4.36       12.82
1956    49    1907        13.31        0.99        2.42        2.27        2.10        5.52
1956    50    1906         6.75        0.67        1.42        1.23        1.04        2.40
1956    51    1905         3.38        0.43        0.80        0.64        0.50        1.00
1956    52    1904         1.81        0.29        0.47        0.35        0.25        0.45
1956    53    1903         0.94        0.17        0.26        0.18        0.12        0.20
1956    54    1902         0.48        0.10        0.14        0.10        0.06        0.09
1956    55+   1901-        0.15        0.03        0.04        0.03        0.01        0.03
1957    12-   1945+        0.00        0.00        0.00        0.00        0.00        0.00
1957    13    1944         0.00        0.00        0.00        0.00        0.00        0.00
1957    14    1943         0.00        0.00        0.00        0.00        0.00        0.00
1957    15    1942        54.09       54.09        0.00        0.00        0.00        0.00
1957    16    1941       407.69      407.69        0.00        0.00        0.00        0.00
1957    17    1940      2329.95     2257.77       71.17        1.00        0.00        0.00
1957    18    1939      7015.89     6580.80      418.03       17.07        0.00        0.00
1957    19    1938     13196.35    11353.77     1697.02      132.49       13.08        0.00
1957    20    1937     17814.17    13597.81     3675.32      488.73       46.27        6.03
1957    21    1936     21288.06    14207.81     5740.24     1150.94      172.99       16.09
1957    22    1935     22880.75    13046.16     7351.48     2033.62      391.16       58.34
1957    23    1934     22406.95    10951.60     7741.75     2756.44      781.17      175.98
1957    24    1933     17501.65     7112.17     6203.52     2835.99     1014.16      335.81
1957    25    1932     16927.67     5871.14     6129.23     3082.10     1276.26      568.94
1957    26    1931     16031.16     4894.81     5760.79     3136.73     1456.90      781.92
1957    27    1930     15870.88     4267.94     5671.84     3263.56     1568.20     1099.35
1957    28    1929     14232.11     3365.31     5067.56     3059.68     1524.81     1214.75
1957    29    1928     12589.33     2711.93     4343.40     2810.81     1428.21     1294.98
1957    30    1927     10720.16     2025.72     3712.49     2414.73     1276.40     1290.81
