East Germany, Crude birth rate
Last modified: 04/02/2019
Year      CBR
1956    15.88
1957    15.62
1958    15.64
1959    16.88
1960    17.00
1961    17.56
1962    17.43
1963    17.58
1964    17.08
1965    16.51
1966    15.71
1967    14.80
1968    14.35
1969    13.99
1970    13.88
1971    13.77
1972    11.76
1973    10.62
1974    10.58
1975    10.79
1976    11.64
1977    13.31
1978    13.85
1979    14.05
1980    14.64
1981    14.20
1982    14.37
1983    13.99
1984    13.67
1985    13.67
1986    13.36
1987    13.57
1988    12.94
1989    12.03
1990    10.92
1991     6.78
1992     5.59
1993     5.11
1994     5.00
1995     5.36
1996     6.01
1997     6.50
1998     6.72
1999     6.99
2000     7.35
2001     7.18
2002     7.12
2003     7.20
2004     7.42
2005     7.31
2006     7.35
2007     7.68
2008     7.87
2009     7.80
2010     8.05
2011     7.87
2012     7.98
2013     7.99
2014     8.24
2015     8.30
2016     8.65
2017     8.45
