East Germany, Crude birth rate by birth order
Last modified: 04/02/2019
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1956    15.88     6.43     4.66     2.44     1.16     1.19
1957    15.62     6.31     4.56     2.39     1.17     1.20
1958    15.64     6.35     4.48     2.38     1.19     1.24
1959    16.88     6.86     4.76     2.56     1.30     1.41
1960    17.00     7.00     4.71     2.56     1.29     1.44
1961    17.56     7.25     4.84     2.61     1.32     1.54
1962    17.43     7.16     4.85     2.57     1.32     1.54
1963    17.58     7.01     4.98     2.64     1.35     1.60
1964    17.08     6.59     4.95     2.59     1.32     1.63
1965    16.51     6.22     4.87     2.54     1.31     1.58
1966    15.71     5.83     4.74     2.53     1.26     1.35
1967    14.80     5.63     4.48     2.37     1.16     1.16
1968    14.35     5.61     4.32     2.26     1.11     1.03
1969    13.99     5.80     4.20     2.13     0.98     0.88
1970    13.88     6.15     4.14     1.96     0.86     0.77
1971    13.77     6.38     4.10     1.83     0.78     0.69
1972    11.76     6.13     3.42     1.25     0.49     0.47
1973    10.62     6.15     3.08     0.77     0.28     0.34
1974    10.58     6.21     3.13     0.71     0.25     0.29
1975    10.79     6.32     3.32     0.68     0.23     0.24
1976    11.64     6.70     3.76     0.72     0.23     0.22
1977    13.31     7.21     4.75     0.87     0.26     0.22
1978    13.85     7.46     4.99     0.94     0.27     0.20
1979    14.05     7.56     5.05     0.98     0.27     0.18
1980    14.64     7.90     5.20     1.07     0.29     0.18
1981    14.20     7.51     5.15     1.07     0.29     0.18
1982    14.37     7.46     5.28     1.16     0.31     0.17
1983    13.99     7.20     5.12     1.19     0.32     0.17
1984    13.67     6.93     5.05     1.21     0.31     0.18
1985    13.67     6.63     5.07     1.44     0.34     0.19
1986    13.36     6.42     4.99     1.39     0.35     0.19
1987    13.57     6.27     5.18     1.52     0.38     0.21
1988    12.94     5.94     4.96     1.46     0.37     0.21
1989    12.03     5.52     4.56     1.37     0.37     0.22
2009     7.80     4.02     2.64     0.76     0.23     0.14
2010     8.05     4.10     2.77     0.80     0.24     0.14
2011     7.87     4.02     2.69     0.79     0.22     0.14
2012     7.98     4.01     2.77     0.81     0.24     0.15
2013     7.99     3.97     2.80     0.83     0.25     0.14
2014     8.24     4.10     2.87     0.85     0.25     0.16
2015     8.30     4.04     2.92     0.90     0.27     0.17
2016     8.65     4.08     3.08     0.97     0.32     0.20
2017     8.45     3.87     3.05     1.00     0.32     0.20
