East Germany, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 04/02/2019
Cohort  Age     CCFR
1941    12         .
1941    13         .
1941    14         .
1941    15     0.000
1941    16     0.001
1941    17     0.008
1941    18     0.038
1941    19     0.115
1941    20     0.247
1941    21     0.416
1941    22     0.603
1941    23     0.792
1941    24     0.972
1941    25     1.139
1941    26     1.291
1941    27     1.425
1941    28     1.540
1941    29     1.638
1941    30     1.719
1941    31     1.781
1941    32     1.824
1941    33     1.854
1941    34     1.877
1941    35     1.895
1941    36     1.911
1941    37     1.924
1941    38     1.934
1941    39     1.940
1941    40     1.945
1941    41     1.948
1941    42     1.949
1941    43     1.951
1941    44     1.951
1941    45     1.952
1941    46     1.952
1941    47     1.952
1941    48     1.952
1941    49     1.952
1941    50     1.952
1941    51     1.952
1941    52     1.952
1941    53     1.952
1941    54     1.952
1941    55     1.952
1942    12         .
1942    13         .
1942    14     0.000
1942    15     0.000
1942    16     0.002
1942    17     0.010
1942    18     0.044
1942    19     0.127
1942    20     0.262
1942    21     0.433
1942    22     0.617
1942    23     0.801
1942    24     0.979
1942    25     1.144
1942    26     1.290
1942    27     1.418
1942    28     1.526
1942    29     1.618
1942    30     1.688
1942    31     1.738
1942    32     1.774
1942    33     1.802
1942    34     1.825
1942    35     1.844
1942    36     1.861
1942    37     1.873
1942    38     1.882
1942    39     1.889
1942    40     1.893
1942    41     1.896
1942    42     1.898
1942    43     1.899
1942    44     1.900
1942    45     1.900
1942    46     1.901
1942    47     1.901
1942    48     1.901
1942    49     1.901
1942    50     1.901
1942    51     1.901
1942    52     1.901
1942    53     1.901
1942    54     1.901
1942    55     1.901
1943    12         .
1943    13     0.000
1943    14     0.000
1943    15     0.000
1943    16     0.002
1943    17     0.011
1943    18     0.049
1943    19     0.136
1943    20     0.277
1943    21     0.455
1943    22     0.646
1943    23     0.834
1943    24     1.012
1943    25     1.174
1943    26     1.318
1943    27     1.443
1943    28     1.547
1943    29     1.629
1943    30     1.688
1943    31     1.730
1943    32     1.764
1943    33     1.792
1943    34     1.817
1943    35     1.838
1943    36     1.854
1943    37     1.866
1943    38     1.874
1943    39     1.880
1943    40     1.884
1943    41     1.887
1943    42     1.889
1943    43     1.890
1943    44     1.890
1943    45     1.891
1943    46     1.891
1943    47     1.891
1943    48     1.891
1943    49     1.891
1943    50     1.891
1943    51     1.891
1943    52     1.891
1943    53     1.891
1943    54     1.891
1943    55     1.891
1944    12     0.000
1944    13     0.000
1944    14     0.000
1944    15     0.000
1944    16     0.002
1944    17     0.013
1944    18     0.054
1944    19     0.148
1944    20     0.299
1944    21     0.484
1944    22     0.677
1944    23     0.864
1944    24     1.041
1944    25     1.201
1944    26     1.341
1944    27     1.460
1944    28     1.552
1944    29     1.619
1944    30     1.669
1944    31     1.710
1944    32     1.743
1944    33     1.773
1944    34     1.800
1944    35     1.820
1944    36     1.836
1944    37     1.848
1944    38     1.857
1944    39     1.862
1944    40     1.867
1944    41     1.869
1944    42     1.871
1944    43     1.872
1944    44     1.873
1944    45     1.873
1944    46     1.873
1944    47     1.873
1944    48     1.873
1944    49     1.873
1944    50     1.873
1944    51     1.873
1944    52     1.873
1944    53     1.873
1944    54     1.873
1944    55     1.873
1945    12     0.000
1945    13     0.000
1945    14     0.000
1945    15     0.000
1945    16     0.003
1945    17     0.015
1945    18     0.057
1945    19     0.155
1945    20     0.312
1945    21     0.500
1945    22     0.695
1945    23     0.885
1945    24     1.059
1945    25     1.214
1945    26     1.349
1945    27     1.456
1945    28     1.533
1945    29     1.593
1945    30     1.644
1945    31     1.687
1945    32     1.725
1945    33     1.759
1945    34     1.787
1945    35     1.807
1945    36     1.823
1945    37     1.835
1945    38     1.844
1945    39     1.850
1945    40     1.854
1945    41     1.857
1945    42     1.859
1945    43     1.860
1945    44     1.861
1945    45     1.861
1945    46     1.861
1945    47     1.861
1945    48     1.861
1945    49     1.861
1945    50     1.861
1945    51     1.861
1945    52     1.861
1945    53     1.861
1945    54     1.861
1945    55     1.861
1946    12     0.000
1946    13     0.000
1946    14     0.000
1946    15     0.000
1946    16     0.004
1946    17     0.018
1946    18     0.065
1946    19     0.169
1946    20     0.332
1946    21     0.524
1946    22     0.726
1946    23     0.919
1946    24     1.094
1946    25     1.246
1946    26     1.367
1946    27     1.462
1946    28     1.531
1946    29     1.590
1946    30     1.641
1946    31     1.689
1946    32     1.731
1946    33     1.764
1946    34     1.790
1946    35     1.810
1946    36     1.827
1946    37     1.839
1946    38     1.848
1946    39     1.854
1946    40     1.858
1946    41     1.861
1946    42     1.863
1946    43     1.865
1946    44     1.866
1946    45     1.866
1946    46     1.866
1946    47     1.866
1946    48     1.866
1946    49     1.866
1946    50     1.866
1946    51     1.866
1946    52     1.866
1946    53     1.866
1946    54     1.866
1946    55     1.866
1947    12     0.000
1947    13     0.000
1947    14     0.000
1947    15     0.000
1947    16     0.003
1947    17     0.017
1947    18     0.064
1947    19     0.166
1947    20     0.323
1947    21     0.516
1947    22     0.719
1947    23     0.910
1947    24     1.080
1947    25     1.220
1947    26     1.332
1947    27     1.416
1947    28     1.487
1947    29     1.550
1947    30     1.606
1947    31     1.658
1947    32     1.700
1947    33     1.735
1947    34     1.761
1947    35     1.781
1947    36     1.797
1947    37     1.809
1947    38     1.818
1947    39     1.824
1947    40     1.829
1947    41     1.832
1947    42     1.834
1947    43     1.835
1947    44     1.836
1947    45     1.836
1947    46     1.836
1947    47     1.836
1947    48     1.836
1947    49     1.836
1947    50     1.836
1947    51     1.836
1947    52     1.836
1947    53     1.836
1947    54     1.836
1947    55     1.836
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.000
1948    16     0.003
1948    17     0.017
1948    18     0.063
1948    19     0.163
1948    20     0.320
1948    21     0.513
1948    22     0.716
1948    23     0.904
1948    24     1.062
1948    25     1.193
1948    26     1.294
1948    27     1.382
1948    28     1.459
1948    29     1.531
1948    30     1.597
1948    31     1.649
1948    32     1.692
1948    33     1.725
1948    34     1.751
1948    35     1.773
1948    36     1.788
1948    37     1.800
1948    38     1.809
1948    39     1.816
1948    40     1.821
1948    41     1.824
1948    42     1.825
1948    43     1.827
1948    44     1.827
1948    45     1.827
1948    46     1.828
1948    47     1.828
1948    48     1.828
1948    49     1.828
1948    50     1.828
1948    51     1.828
1948    52     1.828
1948    53     1.828
1948    54     1.828
1948    55     1.828
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.000
1949    16     0.003
1949    17     0.016
1949    18     0.058
1949    19     0.152
1949    20     0.307
1949    21     0.499
1949    22     0.697
1949    23     0.870
1949    24     1.015
1949    25     1.134
1949    26     1.239
1949    27     1.333
1949    28     1.424
1949    29     1.505
1949    30     1.572
1949    31     1.625
1949    32     1.667
1949    33     1.701
1949    34     1.727
1949    35     1.747
1949    36     1.763
1949    37     1.775
1949    38     1.785
1949    39     1.792
1949    40     1.797
1949    41     1.799
1949    42     1.801
1949    43     1.802
1949    44     1.803
1949    45     1.803
1949    46     1.803
1949    47     1.804
1949    48     1.804
1949    49     1.804
1949    50     1.804
1949    51     1.804
1949    52     1.804
1949    53     1.804
1949    54     1.804
1949    55     1.804
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.000
1950    16     0.003
1950    17     0.013
1950    18     0.052
1950    19     0.144
