East Germany, Cohort fertility tables, birth orders 1 to 5+
Last modified: 04/02/2019
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1941    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1941    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1941    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1941    15    14   10000   0.00139   0.00138      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1941    16    70    9986   0.00706   0.00703     14     1     14   0.01103   0.03877      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1941    17   284    9916   0.02906   0.02865     84    14     84   0.06416   0.16789      1      0      1   0.02536   0.35218      0      0      0         .         .      0      0      0         .         .       0        .
1941    18   697    9632   0.07509   0.07237    368    67    354   0.10083   0.19062     15      4     14   0.09799   0.31249      0      0      0   0.01437   0.18379      0      0      0         .         .       0        .
1941    19  1094    8935   0.13049   0.12249   1065   203    983   0.14174   0.20603     82     19     77   0.11007   0.24109      5      1      5   0.10548   0.30114      0      0      0         .         .       0     4.00
1941    20  1238    7840   0.17142   0.15789   2160   388   1875   0.16888   0.20713    285     58    261   0.13690   0.22339     23      7     22   0.13894   0.30320      1      1      1   0.15306   0.50721       0     4.02
1941    21  1173    6602   0.19501   0.17768   3398   549   2725   0.18079   0.20150    673    126    591   0.15673   0.21282     82     21     74   0.16793   0.28736      8      3      8   0.16599   0.38359       1     4.09
1941    22  1007    5429   0.20444   0.18548   4571   628   3349   0.17748   0.18753   1222    197   1014   0.15993   0.19392    207     45    178   0.17745   0.25292     29     10     29   0.19019   0.33697       4     4.13
1941    23   818    4422   0.20383   0.18498   5578   643   3728   0.16845   0.17241   1850    240   1446   0.14539   0.16566    404     73    330   0.17679   0.22139     74     22     74   0.20255   0.30210      14     4.18
1941    24   649    3604   0.19791   0.18009   6396   622   3903   0.15885   0.15939   2493    268   1849   0.13249   0.14516    644     99    496   0.17075   0.19985    147     38    147   0.19200   0.25663      36     4.25
1941    25   508    2955   0.18807   0.17190   7045   571   3930   0.14652   0.14534   3115    275   2203   0.11689   0.12476    912    110    666   0.14650   0.16468    247     52    247   0.17201   0.21025      74     4.30
1941    26   397    2447   0.17667   0.16233   7553   504   3867   0.13209   0.13027   3686    263   2499   0.10034   0.10517   1187    111    831   0.12246   0.13365    356     64    356   0.15496   0.17911     126     4.35
1941    27   295    2050   0.15524   0.14405   7950   443   3760   0.12010   0.11774   4190    244   2740   0.08588   0.08900   1450    109    983   0.10427   0.11140    467     65    467   0.12401   0.13854     190     4.41
1941    28   214    1755   0.12975   0.12184   8245   383   3613   0.10860   0.10605   4633    218   2939   0.07218   0.07421   1694     97   1117   0.08222   0.08668    577     62    577   0.09867   0.10695     254     4.44
1941    29   161    1541   0.11017   0.10442   8459   321   3444   0.09553   0.09331   5016    193   3104   0.06097   0.06223   1912     84   1238   0.06474   0.06760    673     58    673   0.08170   0.08678     316     4.47
1941    30   114    1380   0.08586   0.08232   8620   247   3283   0.07687   0.07530   5337    149   3232   0.04547   0.04616   2105     63   1348   0.04503   0.04648    757     47    757   0.05991   0.06239     374     4.49
1941    31    82    1266   0.06659   0.06445   8734   186   3149   0.05996   0.05897   5584     90   3330   0.02662   0.02700   2254     37   1434   0.02533   0.02579    820     35    820   0.04160   0.04254     422     4.51
1941    32    55    1185   0.04770   0.04659   8815   135   3045   0.04477   0.04418   5770     55   3426   0.01596   0.01615   2344     24   1487   0.01615   0.01632    857     26    857   0.03030   0.03073     457     4.53
1941    33    44    1130   0.03935   0.03859   8870    99   2966   0.03371   0.03340   5904     49   3505   0.01382   0.01392   2399     21   1518   0.01372   0.01384    881     24    881   0.02650   0.02681     483     4.55
1941    34    33    1086   0.03102   0.03054   8914    69   2911   0.02390   0.02375   6004     40   3555   0.01126   0.01130   2448     17   1546   0.01076   0.01084    902     21    902   0.02269   0.02290     506     4.56
1941    35    26    1053   0.02478   0.02448   8947    59   2875   0.02059   0.02047   6073     36   3584   0.01005   0.01009   2488     17   1569   0.01046   0.01053    919     21    919   0.02317   0.02338     527     4.57
1941    36    19    1027   0.01835   0.01818   8973    45   2841   0.01606   0.01598   6132     30   3607   0.00827   0.00829   2524     16   1589   0.00987   0.00991    935     20    935   0.02151   0.02169     549     4.59
1941    37    13    1008   0.01324   0.01315   8992    29   2815   0.01036   0.01033   6177     22   3623   0.00602   0.00602   2554     14   1603   0.00863   0.00865    951     17    951   0.01761   0.01774     569     4.60
1941    38     8     995   0.00814   0.00811   9005    16   2799   0.00584   0.00583   6206     15   3630   0.00424   0.00424   2576     11   1611   0.00700   0.00701    965     14    965   0.01456   0.01464     586     4.61
1941    39     5     987   0.00507   0.00506   9013    10   2791   0.00366   0.00366   6222     10   3631   0.00283   0.00283   2592      7   1615   0.00453   0.00453    976     11    976   0.01148   0.01153     600     4.61
1941    40     3     982   0.00332   0.00331   9018     6   2785   0.00211   0.00211   6233      6   3631   0.00163   0.00163   2602      5   1618   0.00302   0.00302    984      8    984   0.00831   0.00834     611     4.62
1941    41     2     979   0.00232   0.00231   9021     3   2783   0.00107   0.00107   6238      4   3631   0.00109   0.00109   2608      4   1619   0.00234   0.00234    988      6    988   0.00607   0.00608     619     4.63
1941    42     1     976   0.00106   0.00106   9024     2   2782   0.00063   0.00063   6241      3   3630   0.00070   0.00070   2612      2   1619   0.00130   0.00130    992      4    992   0.00400   0.00401     625     4.63
1941    43     1     975   0.00061   0.00061   9025     1   2781   0.00050   0.00050   6243      1   3629   0.00037   0.00037   2614      1   1620   0.00072   0.00072    994      3    994   0.00334   0.00334     629     4.63
1941    44     0     975   0.00026   0.00026   9025     1   2781   0.00023   0.00023   6245      1   3629   0.00018   0.00018   2616      0   1620   0.00025   0.00025    996      2    996   0.00171   0.00171     633     4.64
1941    45     0     975   0.00006   0.00006   9025     0   2780   0.00003   0.00003   6245      0   3629   0.00009   0.00009   2616      0   1620   0.00009   0.00009    996      1    996   0.00053   0.00053     634     4.64
1941    46     0     975   0.00000   0.00000   9025     0   2780   0.00000   0.00000   6245      0   3629   0.00004   0.00004   2616      0   1620   0.00003   0.00003    996      0    996   0.00015   0.00015     635     4.64
1941    47     0     975   0.00002   0.00002   9025     0   2780   0.00000   0.00000   6245      0   3629   0.00002   0.00002   2617      0   1621   0.00004   0.00004    996      0    996   0.00008   0.00008     635     4.64
1941    48     .     975         .         .   9025     .   2780         .         .   6245      .   3629         .         .   2617      .   1621         .         .    996      .    996         .         .     635     4.64
1941    49     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1941    50     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1941    51     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1941    52     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
