East Germany, Cumulative period fertility rates (Lexis squares)
Last modified: 04/02/2019
Year    Age     CPFR
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.000
1956    16     0.001
1956    17     0.009
1956    18     0.037
1956    19     0.105
1956    20     0.216
1956    21     0.359
1956    22     0.524
1956    23     0.699
1956    24     0.871
1956    25     1.036
1956    26     1.189
1956    27     1.328
1956    28     1.458
1956    29     1.574
1956    30     1.679
1956    31     1.772
1956    32     1.854
1956    33     1.930
1956    34     1.996
1956    35     2.054
1956    36     2.104
1956    37     2.148
1956    38     2.185
1956    39     2.216
1956    40     2.240
1956    41     2.258
1956    42     2.271
1956    43     2.281
1956    44     2.287
1956    45     2.291
1956    46     2.292
1956    47     2.293
1956    48     2.293
1956    49     2.293
1956    50     2.293
1956    51     2.293
1956    52     2.293
1956    53     2.293
1956    54     2.293
1956    55     2.293
1957    12     0.000
1957    13     0.000
1957    14     0.000
1957    15     0.000
1957    16     0.002
1957    17     0.009
1957    18     0.037
1957    19     0.103
1957    20     0.214
1957    21     0.358
1957    22     0.519
1957    23     0.688
1957    24     0.857
1957    25     1.020
1957    26     1.174
1957    27     1.313
1957    28     1.441
1957    29     1.555
1957    30     1.656
1957    31     1.747
1957    32     1.827
1957    33     1.898
1957    34     1.961
1957    35     2.016
1957    36     2.064
1957    37     2.105
1957    38     2.141
1957    39     2.169
1957    40     2.191
1957    41     2.208
1957    42     2.221
1957    43     2.229
1957    44     2.235
1957    45     2.239
1957    46     2.240
1957    47     2.241
1957    48     2.241
1957    49     2.242
1957    50     2.242
1957    51     2.242
1957    52     2.242
1957    53     2.242
1957    54     2.242
1957    55     2.242
1958    12     0.000
1958    13     0.000
1958    14     0.000
1958    15     0.000
1958    16     0.001
1958    17     0.009
1958    18     0.037
1958    19     0.105
1958    20     0.215
1958    21     0.358
1958    22     0.519
1958    23     0.685
1958    24     0.851
1958    25     1.011
1958    26     1.163
1958    27     1.303
1958    28     1.429
1958    29     1.543
1958    30     1.645
1958    31     1.736
1958    32     1.816
1958    33     1.886
1958    34     1.947
1958    35     2.001
1958    36     2.048
1958    37     2.088
1958    38     2.122
1958    39     2.150
1958    40     2.173
1958    41     2.190
1958    42     2.202
1958    43     2.210
1958    44     2.215
1958    45     2.218
1958    46     2.219
1958    47     2.220
1958    48     2.220
1958    49     2.221
1958    50     2.221
1958    51     2.221
1958    52     2.221
1958    53     2.221
1958    54     2.221
1958    55     2.221
1959    12     0.000
1959    13     0.000
1959    14     0.000
1959    15     0.000
1959    16     0.002
1959    17     0.011
1959    18     0.043
1959    19     0.118
1959    20     0.241
1959    21     0.395
1959    22     0.568
1959    23     0.745
1959    24     0.920
1959    25     1.090
1959    26     1.252
1959    27     1.401
1959    28     1.538
1959    29     1.659
1959    30     1.764
1959    31     1.858
1959    32     1.942
1959    33     2.014
1959    34     2.078
1959    35     2.133
1959    36     2.181
1959    37     2.222
1959    38     2.257
1959    39     2.286
1959    40     2.309
1959    41     2.327
1959    42     2.339
1959    43     2.347
1959    44     2.352
1959    45     2.355
1959    46     2.357
1959    47     2.357
1959    48     2.358
1959    49     2.358
1959    50     2.358
1959    51     2.358
1959    52     2.358
1959    53     2.358
1959    54     2.358
1959    55     2.358
1960    12     0.000
1960    13     0.000
1960    14     0.000
1960    15     0.000
1960    16     0.003
1960    17     0.013
1960    18     0.048
1960    19     0.130
1960    20     0.257
1960    21     0.415
1960    22     0.585
1960    23     0.762
1960    24     0.936
1960    25     1.102
1960    26     1.259
1960    27     1.406
1960    28     1.540
1960    29     1.660
1960    30     1.766
1960    31     1.859
1960    32     1.941
1960    33     2.013
1960    34     2.075
1960    35     2.129
1960    36     2.176
1960    37     2.217
1960    38     2.251
1960    39     2.278
1960    40     2.300
1960    41     2.317
1960    42     2.330
1960    43     2.338
1960    44     2.344
1960    45     2.346
1960    46     2.347
1960    47     2.348
1960    48     2.348
1960    49     2.349
1960    50     2.349
1960    51     2.349
1960    52     2.349
1960    53     2.349
1960    54     2.349
1960    55     2.349
1961    12     0.000
1961    13     0.000
1961    14     0.000
1961    15     0.000
