East Germany, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 04/02/2019
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1956    12     0.000     0.000     0.000     0.000     0.000     0.000
1956    13     0.000     0.000     0.000     0.000     0.000     0.000
1956    14     0.000     0.000     0.000     0.000     0.000     0.000
1956    15     0.000     0.000     0.000     0.000     0.000     0.000
1956    16     0.001     0.001     0.000     0.000     0.000     0.000
1956    17     0.009     0.009     0.000     0.000     0.000     0.000
1956    18     0.037     0.035     0.002     0.000     0.000     0.000
1956    19     0.105     0.096     0.009     0.000     0.000     0.000
1956    20     0.216     0.187     0.026     0.002     0.000     0.000
1956    21     0.359     0.292     0.058     0.008     0.001     0.000
1956    22     0.524     0.395     0.107     0.019     0.003     0.000
1956    23     0.699     0.488     0.165     0.038     0.007     0.001
1956    24     0.871     0.564     0.225     0.064     0.014     0.004
1956    25     1.036     0.628     0.284     0.092     0.025     0.008
1956    26     1.189     0.680     0.340     0.119     0.036     0.013
1956    27     1.328     0.721     0.391     0.147     0.049     0.020
1956    28     1.458     0.755     0.438     0.174     0.061     0.028
1956    29     1.574     0.783     0.480     0.200     0.073     0.038
1956    30     1.679     0.805     0.517     0.223     0.085     0.048
1956    31     1.772     0.822     0.549     0.245     0.096     0.059
1956    32     1.854     0.836     0.577     0.265     0.107     0.070
1956    33     1.930     0.847     0.600     0.283     0.117     0.081
1956    34     1.996     0.856     0.620     0.300     0.127     0.093
1956    35     2.054     0.863     0.637     0.314     0.136     0.105
1956    36     2.104     0.868     0.649     0.326     0.144     0.117
1956    37     2.148     0.872     0.659     0.337     0.152     0.129
1956    38     2.185     0.875     0.666     0.345     0.158     0.140
1956    39     2.216     0.878     0.672     0.352     0.163     0.151
1956    40     2.240     0.880     0.676     0.357     0.167     0.160
1956    41     2.258     0.881     0.679     0.360     0.170     0.167
1956    42     2.271     0.882     0.681     0.363     0.173     0.173
1956    43     2.281     0.882     0.682     0.365     0.174     0.177
1956    44     2.287     0.883     0.683     0.366     0.175     0.180
1956    45     2.291     0.883     0.684     0.367     0.176     0.182
1956    46     2.292     0.883     0.684     0.367     0.176     0.183
1956    47     2.293     0.883     0.684     0.367     0.176     0.183
1956    48     2.293     0.883     0.684     0.367     0.176     0.183
1956    49     2.293     0.883     0.684     0.367     0.176     0.183
1956    50     2.293     0.883     0.684     0.367     0.176     0.183
1956    51     2.293     0.883     0.684     0.367     0.176     0.183
1956    52     2.293     0.883     0.684     0.367     0.176     0.183
1956    53     2.293     0.883     0.684     0.367     0.176     0.183
1956    54     2.293     0.883     0.684     0.367     0.176     0.183
1956    55     2.293     0.883     0.684     0.367     0.176     0.183
1957    12     0.000     0.000     0.000     0.000     0.000     0.000
1957    13     0.000     0.000     0.000     0.000     0.000     0.000
1957    14     0.000     0.000     0.000     0.000     0.000     0.000
1957    15     0.000     0.000     0.000     0.000     0.000     0.000
1957    16     0.002     0.002     0.000     0.000     0.000     0.000
1957    17     0.009     0.009     0.000     0.000     0.000     0.000
1957    18     0.037     0.035     0.002     0.000     0.000     0.000
1957    19     0.103     0.095     0.008     0.000     0.000     0.000
1957    20     0.214     0.185     0.027     0.002     0.000     0.000
1957    21     0.358     0.287     0.061     0.008     0.001     0.000
1957    22     0.519     0.387     0.109     0.020     0.003     0.000
1957    23     0.688     0.476     0.166     0.038     0.007     0.001
1957    24     0.857     0.552     0.225     0.062     0.015     0.003
1957    25     1.020     0.613     0.284     0.090     0.026     0.008
1957    26     1.174     0.663     0.339     0.119     0.039     0.014
1957    27     1.313     0.703     0.389     0.147     0.052     0.022
1957    28     1.441     0.735     0.435     0.174     0.065     0.032
1957    29     1.555     0.761     0.475     0.199     0.078     0.043
1957    30     1.656     0.781     0.510     0.222     0.090     0.054
1957    31     1.747     0.797     0.541     0.243     0.101     0.066
1957    32     1.827     0.810     0.567     0.262     0.111     0.078
1957    33     1.898     0.821     0.588     0.279     0.121     0.089
1957    34     1.961     0.829     0.606     0.294     0.130     0.101
1957    35     2.016     0.836     0.621     0.308     0.139     0.113
1957    36     2.064     0.841     0.633     0.320     0.147     0.124
1957    37     2.105     0.845     0.642     0.330     0.154     0.135
1957    38     2.141     0.848     0.649     0.338     0.160     0.145
1957    39     2.169     0.851     0.654     0.344     0.165     0.155
1957    40     2.191     0.852     0.658     0.349     0.169     0.163
1957    41     2.208     0.854     0.660     0.352     0.172     0.170
1957    42     2.221     0.855     0.662     0.355     0.174     0.175
1957    43     2.229     0.855     0.663     0.356     0.176     0.179
1957    44     2.235     0.856     0.664     0.357     0.177     0.182
1957    45     2.239     0.856     0.664     0.358     0.178     0.183
1957    46     2.240     0.856     0.664     0.358     0.178     0.184
1957    47     2.241     0.856     0.664     0.358     0.178     0.184
1957    48     2.241     0.856     0.664     0.358     0.178     0.185
1957    49     2.242     0.856     0.664     0.358     0.178     0.185
1957    50     2.242     0.856     0.664     0.358     0.178     0.185
1957    51     2.242     0.856     0.665     0.359     0.178     0.185
1957    52     2.242     0.856     0.665     0.359     0.178     0.185
1957    53     2.242     0.856     0.665     0.359     0.178     0.185
1957    54     2.242     0.856     0.665     0.359     0.178     0.185
1957    55     2.242     0.856     0.665     0.359     0.178     0.185
1958    12     0.000     0.000     0.000     0.000     0.000     0.000
1958    13     0.000     0.000     0.000     0.000     0.000     0.000
1958    14     0.000     0.000     0.000     0.000     0.000     0.000
1958    15     0.000     0.000     0.000     0.000     0.000     0.000
1958    16     0.001     0.001     0.000     0.000     0.000     0.000
1958    17     0.009     0.009     0.000     0.000     0.000     0.000
1958    18     0.037     0.036     0.002     0.000     0.000     0.000
1958    19     0.105     0.097     0.007     0.000     0.000     0.000
1958    20     0.215     0.189     0.024     0.002     0.000     0.000
1958    21     0.358     0.292     0.057     0.008     0.001     0.000
1958    22     0.519     0.391     0.104     0.020     0.003     0.000
1958    23     0.685     0.480     0.159     0.038     0.007     0.001
1958    24     0.851     0.554     0.218     0.061     0.014     0.003
1958    25     1.011     0.615     0.276     0.088     0.024     0.008
1958    26     1.163     0.663     0.331     0.116     0.038     0.015
1958    27     1.303     0.702     0.380     0.144     0.052     0.024
1958    28     1.429     0.732     0.424     0.172     0.066     0.036
1958    29     1.543     0.756     0.462     0.198     0.079     0.048
1958    30     1.645     0.775     0.497     0.221     0.092     0.060
1958    31     1.736     0.790     0.527     0.243     0.104     0.072
1958    32     1.816     0.803     0.552     0.262     0.115     0.085
1958    33     1.886     0.813     0.573     0.278     0.125     0.097
1958    34     1.947     0.821     0.590     0.293     0.134     0.108
1958    35     2.001     0.828     0.604     0.306     0.143     0.120
1958    36     2.048     0.832     0.615     0.318     0.150     0.132
1958    37     2.088     0.836     0.624     0.327     0.157     0.143
1958    38     2.122     0.839     0.631     0.335     0.163     0.153
1958    39     2.150     0.841     0.636     0.341     0.168     0.163
1958    40     2.173     0.843     0.640     0.346     0.172     0.171
1958    41     2.190     0.844     0.643     0.350     0.175     0.178
1958    42     2.202     0.845     0.644     0.352     0.178     0.183
1958    43     2.210     0.846     0.645     0.353     0.179     0.186
1958    44     2.215     0.846     0.646     0.354     0.180     0.189
1958    45     2.218     0.846     0.646     0.355     0.181     0.190
1958    46     2.219     0.846     0.646     0.355     0.181     0.191
1958    47     2.220     0.846     0.646     0.355     0.181     0.191
1958    48     2.220     0.846     0.646     0.355     0.181     0.191
1958    49     2.221     0.846     0.647     0.355     0.181     0.191
1958    50     2.221     0.846     0.647     0.355     0.181     0.191
1958    51     2.221     0.846     0.647     0.355     0.181     0.191
1958    52     2.221     0.846     0.647     0.355     0.181     0.191
1958    53     2.221     0.846     0.647     0.355     0.181     0.192
1958    54     2.221     0.846     0.647     0.355     0.181     0.192
1958    55     2.221     0.846     0.647     0.355     0.181     0.192
1959    12     0.000     0.000     0.000     0.000     0.000     0.000
1959    13     0.000     0.000     0.000     0.000     0.000     0.000
1959    14     0.000     0.000     0.000     0.000     0.000     0.000
1959    15     0.000     0.000     0.000     0.000     0.000     0.000
1959    16     0.002     0.002     0.000     0.000     0.000     0.000
1959    17     0.011     0.010     0.000     0.000     0.000     0.000
1959    18     0.043     0.042     0.002     0.000     0.000     0.000
1959    19     0.118     0.110     0.008     0.000     0.000     0.000
1959    20     0.241     0.211     0.027     0.002     0.000     0.000
1959    21     0.395     0.324     0.062     0.008     0.001     0.000
1959    22     0.568     0.432     0.112     0.021     0.003     0.000
1959    23     0.745     0.525     0.170     0.040     0.008     0.002
1959    24     0.920     0.603     0.232     0.065     0.016     0.004
1959    25     1.090     0.668     0.293     0.094     0.027     0.009
1959    26     1.252     0.719     0.351     0.125     0.040     0.017
1959    27     1.401     0.758     0.404     0.156     0.055     0.028
1959    28     1.538     0.787     0.451     0.187     0.071     0.042
1959    29     1.659     0.811     0.491     0.215     0.087     0.056
1959    30     1.764     0.828     0.525     0.239     0.101     0.071
1959    31     1.858     0.842     0.555     0.262     0.114     0.086
1959    32     1.942     0.853     0.580     0.281     0.126     0.101
1959    33     2.014     0.862     0.601     0.299     0.137     0.115
1959    34     2.078     0.869     0.618     0.314     0.148     0.129
1959    35     2.133     0.875     0.632     0.327     0.157     0.142
1959    36     2.181     0.880     0.643     0.338     0.165     0.155
1959    37     2.222     0.884     0.652     0.348     0.172     0.166
1959    38     2.257     0.887     0.659     0.356     0.178     0.177
1959    39     2.286     0.889     0.664     0.363     0.183     0.187
1959    40     2.309     0.891     0.668     0.368     0.188     0.195
1959    41     2.327     0.892     0.670     0.372     0.191     0.202
1959    42     2.339     0.892     0.671     0.374     0.194     0.207
1959    43     2.347     0.893     0.673     0.376     0.195     0.211
1959    44     2.352     0.893     0.673     0.377     0.196     0.213
1959    45     2.355     0.893     0.673     0.377     0.196     0.215
1959    46     2.357     0.893     0.674     0.378     0.197     0.216
1959    47     2.357     0.893     0.674     0.378     0.197     0.216
1959    48     2.358     0.893     0.674     0.378     0.197     0.216
1959    49     2.358     0.893     0.674     0.378     0.197     0.216
1959    50     2.358     0.893     0.674     0.378     0.197     0.216
1959    51     2.358     0.893     0.674     0.378     0.197     0.216
1959    52     2.358     0.893     0.674     0.378     0.197     0.216
1959    53     2.358     0.893     0.674     0.378     0.197     0.216
1959    54     2.358     0.893     0.674     0.378     0.197     0.216
