East Germany, Cumulative period fertility rates (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY  Cohort     CPFR
1956   12    1944     0.000
1956   13    1943     0.000
1956   14    1942     0.000
1956   15    1941     0.000
1956   16    1940     0.000
1956   17    1939     0.003
1956   18    1938     0.018
1956   19    1937     0.063
1956   20    1936     0.154
1956   21    1935     0.282
1956   22    1934     0.438
1956   23    1933     0.610
1956   24    1932     0.786
1956   25    1931     0.954
1956   26    1930     1.114
1956   27    1929     1.260
1956   28    1928     1.395
1956   29    1927     1.518
1956   30    1926     1.628
1956   31    1925     1.728
1956   32    1924     1.814
1956   33    1923     1.894
1956   34    1922     1.964
1956   35    1921     2.027
1956   36    1920     2.081
1956   37    1919     2.128
1956   38    1918     2.168
1956   39    1917     2.202
1956   40    1916     2.229
1956   41    1915     2.250
1956   42    1914     2.266
1956   43    1913     2.277
1956   44    1912     2.286
1956   45    1911     2.290
1956   46    1910     2.293
1956   47    1909     2.294
1956   48    1908     2.294
1956   49    1907     2.294
1956   50    1906     2.294
1956   51    1905     2.294
1956   52    1904     2.294
1956   53    1903     2.294
1956   54    1902     2.294
1956   55    1901     2.294
1957   12    1945     0.000
1957   13    1944     0.000
1957   14    1943     0.000
1957   15    1942     0.000
1957   16    1941     0.000
1957   17    1940     0.003
1957   18    1939     0.018
1957   19    1938     0.062
1957   20    1937     0.151
1957   21    1936     0.282
1957   22    1935     0.436
1957   23    1934     0.602
1957   24    1933     0.772
1957   25    1932     0.938
1957   26    1931     1.098
1957   27    1930     1.246
1957   28    1929     1.378
1957   29    1928     1.500
1957   30    1927     1.607
1957   31    1926     1.703
1957   32    1925     1.789
1957   33    1924     1.864
1957   34    1923     1.930
1957   35    1922     1.989
1957   36    1921     2.041
1957   37    1920     2.086
1957   38    1919     2.124
1957   39    1918     2.156
1957   40    1917     2.180
1957   41    1916     2.200
1957   42    1915     2.215
1957   43    1914     2.225
1957   44    1913     2.233
1957   45    1912     2.237
1957   46    1911     2.240
1957   47    1910     2.241
1957   48    1909     2.241
1957   49    1908     2.241
1957   50    1907     2.241
1957   51    1906     2.242
1957   52    1905     2.242
1957   53    1904     2.242
1957   54    1903     2.242
1957   55    1902     2.242
1958   12    1946     0.000
1958   13    1945     0.000
1958   14    1944     0.000
1958   15    1943     0.000
1958   16    1942     0.000
1958   17    1941     0.003
1958   18    1940     0.017
1958   19    1939     0.063
1958   20    1938     0.152
1958   21    1937     0.283
1958   22    1936     0.436
1958   23    1935     0.601
1958   24    1934     0.769
1958   25    1933     0.932
1958   26    1932     1.089
1958   27    1931     1.234
1958   28    1930     1.369
1958   29    1929     1.488
1958   30    1928     1.596
1958   31    1927     1.692
1958   32    1926     1.778
1958   33    1925     1.853
1958   34    1924     1.917
1958   35    1923     1.975
1958   36    1922     2.026
1958   37    1921     2.069
1958   38    1920     2.106
1958   39    1919     2.137
1958   40    1918     2.162
1958   41    1917     2.182
1958   42    1916     2.197
1958   43    1915     2.207
1958   44    1914     2.213
1958   45    1913     2.217
1958   46    1912     2.219
1958   47    1911     2.220
1958   48    1910     2.220
1958   49    1909     2.221
1958   50    1908     2.221
1958   51    1907     2.221
1958   52    1906     2.221
1958   53    1905     2.221
1958   54    1904     2.221
1958   55    1903     2.221
1959   12    1947     0.000
1959   13    1946     0.000
1959   14    1945     0.000
1959   15    1944     0.000
1959   16    1943     0.001
1959   17    1942     0.004
1959   18    1941     0.021
1959   19    1940     0.070
1959   20    1939     0.171
1959   21    1938     0.312
1959   22    1937     0.478
1959   23    1936     0.656
1959   24    1935     0.832
1959   25    1934     1.005
1959   26    1933     1.171
1959   27    1932     1.327
1959   28    1931     1.470
1959   29    1930     1.600
1959   30    1929     1.712
1959   31    1928     1.812
1959   32    1927     1.901
1959   33    1926     1.978
1959   34    1925     2.046
1959   35    1924     2.105
1959   36    1923     2.156
1959   37    1922     2.201
1959   38    1921     2.239
1959   39    1920     2.271
1959   40    1919     2.297
1959   41    1918     2.318
1959   42    1917     2.331
1959   43    1916     2.342
1959   44    1915     2.348
1959   45    1914     2.352
1959   46    1913     2.355
1959   47    1912     2.355
1959   48    1911     2.356
1959   49    1910     2.356
1959   50    1909     2.356
1959   51    1908     2.356
1959   52    1907     2.356
1959   53    1906     2.356
1959   54    1905     2.356
1959   55    1904     2.356
1960   12    1948     0.000
1960   13    1947     0.000
1960   14    1946     0.000
1960   15    1945     0.000
1960   16    1944     0.001
1960   17    1943     0.005
1960   18    1942     0.024
1960   19    1941     0.079
1960   20    1940     0.184
1960   21    1939     0.329
1960   22    1938     0.496
1960   23    1937     0.669
1960   24    1936     0.848
1960   25    1935     1.018
1960   26    1934     1.180
1960   27    1933     1.331
1960   28    1932     1.473
1960   29    1931     1.599
1960   30    1930     1.712
1960   31    1929     1.812
1960   32    1928     1.898
1960   33    1927     1.976
1960   34    1926     2.042
1960   35    1925     2.101
1960   36    1924     2.150
1960   37    1923     2.194
1960   38    1922     2.232
1960   39    1921     2.263
1960   40    1920     2.288
1960   41    1919     2.307
1960   42    1918     2.322
1960   43    1917     2.332
1960   44    1916     2.339
1960   45    1915     2.342
1960   46    1914     2.344
1960   47    1913     2.345
1960   48    1912     2.346
1960   49    1911     2.346
1960   50    1910     2.346
1960   51    1909     2.346
1960   52    1908     2.346
1960   53    1907     2.346
1960   54    1906     2.346
1960   55    1905     2.346
1961   12    1949     0.000
1961   13    1948     0.000
1961   14    1947     0.000
1961   15    1946     0.000
1961   16    1945     0.001
1961   17    1944     0.006
1961   18    1943     0.028
1961   19    1942     0.087
1961   20    1941     0.199
1961   21    1940     0.354
1961   22    1939     0.532
1961   23    1938     0.716
1961   24    1937     0.901
1961   25    1936     1.080
1961   26    1935     1.245
1961   27    1934     1.402
1961   28    1933     1.541
1961   29    1932     1.667
1961   30    1931     1.782
1961   31    1930     1.884
1961   32    1929     1.972
1961   33    1928     2.049
1961   34    1927     2.116
1961   35    1926     2.175
1961   36    1925     2.226
1961   37    1924     2.269
1961   38    1923     2.306
1961   39    1922     2.337
1961   40    1921     2.363
1961   41    1920     2.382
1961   42    1919     2.396
1961   43    1918     2.406
1961   44    1917     2.413
1961   45    1916     2.417
1961   46    1915     2.419
1961   47    1914     2.419
1961   48    1913     2.420
1961   49    1912     2.420
1961   50    1911     2.420
1961   51    1910     2.420
1961   52    1909     2.420
1961   53    1908     2.420
1961   54    1907     2.420
1961   55    1906     2.420
1962   12    1950     0.000
1962   13    1949     0.000
1962   14    1948     0.000
1962   15    1947     0.000
1962   16    1946     0.001
1962   17    1945     0.006
1962   18    1944     0.029
1962   19    1943     0.093
1962   20    1942     0.209
1962   21    1941     0.366
1962   22    1940     0.546
1962   23    1939     0.733
1962   24    1938     0.919
1962   25    1937     1.097
1962   26    1936     1.266
1962   27    1935     1.420
1962   28    1934     1.557
1962   29    1933     1.681
1962   30    1932     1.792
1962   31    1931     1.893
1962   32    1930     1.981
1962   33    1929     2.057
1962   34    1928     2.123
1962   35    1927     2.180
1962   36    1926     2.229
1962   37    1925     2.271
1962   38    1924     2.307
1962   39    1923     2.336
1962   40    1922     2.361
1962   41    1921     2.380
1962   42    1920     2.394
1962   43    1919     2.404
1962   44    1918     2.410
1962   45    1917     2.414
1962   46    1916     2.416
1962   47    1915     2.416
1962   48    1914     2.417
1962   49    1913     2.417
1962   50    1912     2.417
1962   51    1911     2.417
1962   52    1910     2.417
1962   53    1909     2.417
1962   54    1908     2.417
1962   55    1907     2.417
1963   12    1951     0.000
1963   13    1950     0.000
1963   14    1949     0.000
1963   15    1948     0.000
1963   16    1947     0.001
1963   17    1946     0.007
1963   18    1945     0.033
1963   19    1944     0.099
1963   20    1943     0.223
1963   21    1942     0.386
1963   22    1941     0.567
1963   23    1940     0.760
1963   24    1939     0.945
1963   25    1938     1.126
1963   26    1937     1.295
1963   27    1936     1.451
1963   28    1935     1.592
1963   29    1934     1.719
1963   30    1933     1.833
1963   31    1932     1.934
1963   32    1931     2.025
1963   33    1930     2.102
1963   34    1929     2.171
1963   35    1928     2.229
1963   36    1927     2.280
1963   37    1926     2.324
1963   38    1925     2.360
1963   39    1924     2.390
1963   40    1923     2.415
1963   41    1922     2.434
1963   42    1921     2.448
1963   43    1920     2.457
1963   44    1919     2.464
1963   45    1918     2.468
1963   46    1917     2.470
1963   47    1916     2.471
1963   48    1915     2.471
1963   49    1914     2.471
1963   50    1913     2.471
1963   51    1912     2.471
1963   52    1911     2.471
1963   53    1910     2.471
1963   54    1909     2.471
1963   55    1908     2.471
1964   12    1952     0.000
1964   13    1951     0.000
1964   14    1950     0.000
1964   15    1949     0.000
1964   16    1948     0.001
1964   17    1947     0.006
1964   18    1946     0.032
1964   19    1945     0.100
1964   20    1944     0.229
1964   21    1943     0.403
1964   22    1942     0.591
1964   23    1941     0.775
1964   24    1940     0.959
1964   25    1939     1.135
1964   26    1938     1.300
1964   27    1937     1.453
1964   28    1936     1.593
1964   29    1935     1.720
1964   30    1934     1.832
1964   31    1933     1.934
1964   32    1932     2.026
1964   33    1931     2.105
1964   34    1930     2.175
1964   35    1929     2.234
1964   36    1928     2.285
1964   37    1927     2.329
1964   38    1926     2.366
1964   39    1925     2.396
1964   40    1924     2.420
1964   41    1923     2.439
1964   42    1922     2.453
1964   43    1921     2.463
1964   44    1920     2.469
1964   45    1919     2.473
1964   46    1918     2.476
1964   47    1917     2.476
1964   48    1916     2.477
1964   49    1915     2.477
1964   50    1914     2.477
1964   51    1913     2.477
1964   52    1912     2.477
1964   53    1911     2.477
1964   54    1910     2.477
1964   55    1909     2.477
1965   12    1953     0.000
1965   13    1952     0.000
1965   14    1951     0.000
1965   15    1950     0.000
1965   16    1949     0.001
1965   17    1948     0.006
1965   18    1947     0.033
1965   19    1946     0.107
1965   20    1945     0.242
1965   21    1944     0.421
1965   22    1943     0.614
1965   23    1942     0.805
1965   24    1941     0.987
1965   25    1940     1.162
1965   26    1939     1.327
1965   27    1938     1.480
1965   28    1937     1.618
1965   29    1936     1.744
1965   30    1935     1.855
1965   31    1934     1.954
1965   32    1933     2.043
1965   33    1932     2.122
1965   34    1931     2.190
1965   35    1930     2.249
1965   36    1929     2.300
1965   37    1928     2.342
1965   38    1927     2.378
1965   39    1926     2.407
1965   40    1925     2.430
1965   41    1924     2.449
1965   42    1923     2.463
1965   43    1922     2.472
1965   44    1921     2.478
1965   45    1920     2.481
1965   46    1919     2.483
1965   47    1918     2.484
1965   48    1917     2.484
1965   49    1916     2.484
1965   50    1915     2.485
1965   51    1914     2.485
1965   52    1913     2.485
1965   53    1912     2.485
1965   54    1911     2.485
1965   55    1910     2.485
1966   12    1954     0.000
1966   13    1953     0.000
1966   14    1952     0.000
1966   15    1951     0.000
1966   16    1950     0.001
1966   17    1949     0.005
1966   18    1948     0.029
1966   19    1947     0.098
1966   20    1946     0.231
1966   21    1945     0.412
1966   22    1944     0.605
1966   23    1943     0.796
1966   24    1942     0.981
1966   25    1941     1.155
1966   26    1940     1.315
1966   27    1939     1.466
