East Germany, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1956   12    1944     0.000     0.000     0.000     0.000     0.000     0.000
1956   13    1943     0.000     0.000     0.000     0.000     0.000     0.000
1956   14    1942     0.000     0.000     0.000     0.000     0.000     0.000
1956   15    1941     0.000     0.000     0.000     0.000     0.000     0.000
1956   16    1940     0.000     0.000     0.000     0.000     0.000     0.000
1956   17    1939     0.003     0.003     0.000     0.000     0.000     0.000
1956   18    1938     0.018     0.017     0.001     0.000     0.000     0.000
1956   19    1937     0.063     0.059     0.004     0.000     0.000     0.000
1956   20    1936     0.154     0.138     0.015     0.001     0.000     0.000
1956   21    1935     0.282     0.239     0.038     0.004     0.000     0.000
1956   22    1934     0.438     0.344     0.080     0.013     0.002     0.000
1956   23    1933     0.610     0.444     0.135     0.027     0.004     0.001
1956   24    1932     0.786     0.528     0.195     0.050     0.010     0.002
1956   25    1931     0.954     0.597     0.254     0.077     0.019     0.005
1956   26    1930     1.114     0.656     0.313     0.106     0.030     0.010
1956   27    1929     1.260     0.702     0.366     0.133     0.043     0.016
1956   28    1928     1.395     0.739     0.416     0.161     0.055     0.024
1956   29    1927     1.518     0.770     0.460     0.188     0.067     0.033
1956   30    1926     1.628     0.795     0.499     0.212     0.079     0.043
1956   31    1925     1.728     0.814     0.534     0.235     0.091     0.054
1956   32    1924     1.814     0.829     0.563     0.255     0.101     0.064
1956   33    1923     1.894     0.842     0.590     0.275     0.112     0.075
1956   34    1922     1.964     0.852     0.611     0.292     0.122     0.087
1956   35    1921     2.027     0.860     0.629     0.307     0.131     0.099
1956   36    1920     2.081     0.866     0.644     0.321     0.140     0.111
1956   37    1919     2.128     0.870     0.655     0.332     0.148     0.123
1956   38    1918     2.168     0.874     0.663     0.341     0.155     0.134
1956   39    1917     2.202     0.877     0.669     0.349     0.161     0.146
1956   40    1916     2.229     0.879     0.674     0.355     0.166     0.156
1956   41    1915     2.250     0.880     0.678     0.359     0.169     0.164
1956   42    1914     2.266     0.881     0.680     0.362     0.172     0.170
1956   43    1913     2.277     0.882     0.682     0.365     0.174     0.175
1956   44    1912     2.286     0.883     0.683     0.366     0.175     0.179
1956   45    1911     2.290     0.883     0.684     0.367     0.176     0.181
1956   46    1910     2.293     0.883     0.684     0.367     0.176     0.183
1956   47    1909     2.294     0.883     0.684     0.367     0.176     0.183
1956   48    1908     2.294     0.883     0.684     0.367     0.176     0.183
1956   49    1907     2.294     0.883     0.684     0.368     0.176     0.183
1956   50    1906     2.294     0.883     0.684     0.368     0.176     0.183
1956   51    1905     2.294     0.883     0.684     0.368     0.176     0.183
1956   52    1904     2.294     0.883     0.684     0.368     0.176     0.183
1956   53    1903     2.294     0.883     0.684     0.368     0.176     0.183
1956   54    1902     2.294     0.883     0.684     0.368     0.176     0.183
1956   55    1901     2.294     0.883     0.684     0.368     0.176     0.183
1957   12    1945     0.000     0.000     0.000     0.000     0.000     0.000
1957   13    1944     0.000     0.000     0.000     0.000     0.000     0.000
1957   14    1943     0.000     0.000     0.000     0.000     0.000     0.000
1957   15    1942     0.000     0.000     0.000     0.000     0.000     0.000
1957   16    1941     0.000     0.000     0.000     0.000     0.000     0.000
1957   17    1940     0.003     0.003     0.000     0.000     0.000     0.000
1957   18    1939     0.018     0.017     0.000     0.000     0.000     0.000
1957   19    1938     0.062     0.058     0.003     0.000     0.000     0.000
1957   20    1937     0.151     0.136     0.015     0.001     0.000     0.000
1957   21    1936     0.282     0.235     0.041     0.005     0.000     0.000
1957   22    1935     0.436     0.338     0.083     0.013     0.002     0.000
1957   23    1934     0.602     0.433     0.136     0.028     0.005     0.001
1957   24    1933     0.772     0.516     0.195     0.049     0.010     0.002
1957   25    1932     0.938     0.583     0.254     0.076     0.020     0.005
1957   26    1931     1.098     0.639     0.312     0.105     0.032     0.010
1957   27    1930     1.246     0.684     0.365     0.134     0.046     0.018
1957   28    1929     1.378     0.720     0.412     0.161     0.059     0.027
1957   29    1928     1.500     0.748     0.456     0.187     0.072     0.037
1957   30    1927     1.607     0.771     0.493     0.211     0.084     0.048
1957   31    1926     1.703     0.789     0.526     0.232     0.095     0.060
1957   32    1925     1.789     0.804     0.555     0.253     0.106     0.072
1957   33    1924     1.864     0.815     0.578     0.271     0.116     0.083
1957   34    1923     1.930     0.825     0.598     0.287     0.126     0.095
1957   35    1922     1.989     0.832     0.614     0.301     0.135     0.107
1957   36    1921     2.041     0.838     0.627     0.314     0.143     0.118
1957   37    1920     2.086     0.843     0.638     0.325     0.151     0.129
1957   38    1919     2.124     0.846     0.646     0.334     0.157     0.140
1957   39    1918     2.156     0.849     0.652     0.341     0.163     0.150
1957   40    1917     2.180     0.851     0.656     0.347     0.167     0.159
1957   41    1916     2.200     0.852     0.659     0.351     0.171     0.166
1957   42    1915     2.215     0.854     0.661     0.354     0.174     0.173
1957   43    1914     2.225     0.854     0.662     0.356     0.175     0.177
1957   44    1913     2.233     0.855     0.663     0.357     0.177     0.181
1957   45    1912     2.237     0.855     0.664     0.358     0.177     0.183
1957   46    1911     2.240     0.855     0.664     0.358     0.178     0.184
1957   47    1910     2.241     0.855     0.664     0.359     0.178     0.184
1957   48    1909     2.241     0.855     0.664     0.359     0.178     0.185
1957   49    1908     2.241     0.855     0.664     0.359     0.178     0.185
1957   50    1907     2.241     0.855     0.664     0.359     0.178     0.185
1957   51    1906     2.242     0.855     0.664     0.359     0.178     0.185
1957   52    1905     2.242     0.855     0.664     0.359     0.178     0.185
1957   53    1904     2.242     0.855     0.664     0.359     0.178     0.185
1957   54    1903     2.242     0.855     0.664     0.359     0.178     0.185
1957   55    1902     2.242     0.855     0.664     0.359     0.178     0.185
1958   12    1946     0.000     0.000     0.000     0.000     0.000     0.000
1958   13    1945     0.000     0.000     0.000     0.000     0.000     0.000
1958   14    1944     0.000     0.000     0.000     0.000     0.000     0.000
1958   15    1943     0.000     0.000     0.000     0.000     0.000     0.000
1958   16    1942     0.000     0.000     0.000     0.000     0.000     0.000
1958   17    1941     0.003     0.003     0.000     0.000     0.000     0.000
1958   18    1940     0.017     0.017     0.000     0.000     0.000     0.000
1958   19    1939     0.063     0.060     0.003     0.000     0.000     0.000
1958   20    1938     0.152     0.138     0.013     0.001     0.000     0.000
1958   21    1937     0.283     0.240     0.038     0.004     0.000     0.000
1958   22    1936     0.436     0.342     0.079     0.013     0.002     0.000
1958   23    1935     0.601     0.437     0.131     0.028     0.005     0.001
1958   24    1934     0.769     0.519     0.188     0.049     0.010     0.002
1958   25    1933     0.932     0.586     0.247     0.074     0.019     0.005
1958   26    1932     1.089     0.640     0.305     0.102     0.031     0.011
1958   27    1931     1.234     0.683     0.356     0.130     0.045     0.020
1958   28    1930     1.369     0.717     0.404     0.158     0.059     0.030
1958   29    1929     1.488     0.744     0.444     0.185     0.073     0.042
1958   30    1928     1.596     0.766     0.481     0.210     0.086     0.054
1958   31    1927     1.692     0.782     0.513     0.233     0.098     0.066
1958   32    1926     1.778     0.796     0.540     0.252     0.110     0.079
1958   33    1925     1.853     0.808     0.564     0.271     0.121     0.091
1958   34    1924     1.917     0.817     0.582     0.286     0.130     0.103
1958   35    1923     1.975     0.824     0.598     0.300     0.139     0.114
1958   36    1922     2.026     0.830     0.611     0.312     0.147     0.126
1958   37    1921     2.069     0.834     0.621     0.323     0.154     0.138
1958   38    1920     2.106     0.837     0.629     0.332     0.160     0.148
1958   39    1919     2.137     0.839     0.634     0.339     0.166     0.158
1958   40    1918     2.162     0.841     0.639     0.344     0.171     0.167
1958   41    1917     2.182     0.843     0.642     0.348     0.174     0.175
1958   42    1916     2.197     0.844     0.644     0.351     0.177     0.181
1958   43    1915     2.207     0.845     0.645     0.353     0.179     0.185
1958   44    1914     2.213     0.845     0.646     0.354     0.180     0.188
1958   45    1913     2.217     0.845     0.646     0.355     0.181     0.190
1958   46    1912     2.219     0.845     0.647     0.355     0.181     0.191
