East Germany, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Exposure
1956     12       124003.67
1956     13       126248.00
1956     14       140762.67
1956     15       160298.33
1956     16       165270.83
1956     17       159894.00
1956     18       148783.33
1956     19       143679.00
1956     20       143380.50
1956     21       138917.83
1956     22       121713.00
1956     23       108578.67
1956     24       109705.83
1956     25       116558.17
1956     26       120653.50
1956     27       119407.33
1956     28       117074.33
1956     29       116338.50
1956     30       120414.33
1956     31       118623.17
1956     32       115471.67
1956     33       121046.00
1956     34       132034.00
1956     35       142973.17
1956     36       128132.33
1956     37        89013.33
1956     38        67614.17
1956     39        70540.00
1956     40        91132.83
1956     41       123475.17
1956     42       143806.83
1956     43       151222.33
1956     44       151015.67
1956     45       152758.33
1956     46       160639.33
1956     47       162822.83
1956     48       161461.17
1956     49       160862.00
1956     50       157974.67
1956     51       155557.67
1956     52       153685.83
1956     53       154452.83
1956     54       154943.67
1956     55       149965.67
1957     12       101762.83
1957     13       122192.17
1957     14       124063.00
1957     15       137909.83
1957     16       156865.33
1957     17       160878.17
1957     18       153255.83
1957     19       141567.50
1957     20       137170.83
1957     21       137806.67
1957     22       134299.67
1957     23       118186.33
1957     24       105814.17
1957     25       107230.33
1957     26       114012.83
1957     27       118313.17
1957     28       117111.17
1957     29       114802.50
1957     30       114083.17
1957     31       118068.17
1957     32       116261.83
1957     33       113259.00
1957     34       118812.50
1957     35       129494.00
1957     36       140241.00
1957     37       125808.33
1957     38        87375.83
1957     39        66259.67
1957     40        69107.17
1957     41        89374.67
1957     42       121148.83
1957     43       141249.00
1957     44       148549.00
1957     45       148413.17
1957     46       150199.50
1957     47       157919.33
1957     48       160231.00
1957     49       158877.50
1957     50       158366.83
1957     51       155600.17
1957     52       153112.17
1957     53       151296.50
1957     54       152068.33
1957     55       152459.00
1958     12        73726.27
1958     13       100582.33
1958     14       120517.67
1958     15       122221.00
1958     16       135714.67
1958     17       153855.67
1958     18       156005.83
1958     19       147985.33
1958     20       137134.50
1958     21       133458.17
1958     22       134566.67
1958     23       131526.33
1958     24       116073.50
1958     25       104165.33
1958     26       105528.17
1958     27       112473.50
1958     28       116679.83
1958     29       115557.17
1958     30       113230.67
1958     31       112510.33
1958     32       116401.50
1958     33       114668.00
1958     34       111730.17
1958     35       117047.83
1958     36       127661.67
1958     37       138253.50
1958     38       124025.83
1958     39        86062.00
1958     40        65213.33
1958     41        67980.33
1958     42        87981.17
1958     43       119263.50
1958     44       139088.50
1958     45       146299.67
1958     46       146209.67
1958     47       148012.00
1958     48       155592.33
1958     49       157870.50
1958     50       156649.33
1958     51       156175.33
1958     52       153311.00
1958     53       150921.67
1958     54       149106.67
1958     55       149844.83
1959     12        87006.21
1959     13        73102.22
1959     14        99505.50
1959     15       119211.17
1959     16       120860.00
1959     17       134223.50
1959     18       151571.00
1959     19       153380.50
1959     20       146085.17
1959     21       135598.33
1959     22       132098.17
1959     23       133260.83
1959     24       130355.83
1959     25       115241.17
1959     26       103358.17
1959     27       104786.00
1959     28       111676.33
1959     29       115835.17
1959     30       114691.17
1959     31       112324.33
1959     32       111590.50
1959     33       115436.67
1959     34       113657.00
1959     35       110631.33
1959     36       115968.33
1959     37       126413.67
1959     38       136866.17
1959     39       122771.17
1959     40        85183.17
1959     41        64443.50
1959     42        67148.33
1959     43        86844.50
1959     44       117728.67
1959     45       137367.33
1959     46       144487.33
1959     47       144423.50
1959     48       146123.50
1959     49       153659.33
1959     50       155913.83
1959     51       154683.00
1959     52       154139.00
1959     53       151312.17
1959     54       148874.00
1959     55       147078.67
1960     12        91652.76
1960     13        86333.67
1960     14        72421.50
1960     15        98480.67
1960     16       117830.83
1960     17       119445.67
1960     18       132074.33
1960     19       148624.67
1960     20       150947.00
1960     21       144074.00
1960     22       134068.83
1960     23       130752.83
1960     24       132052.50
1960     25       129283.17
1960     26       114355.83
1960     27       102612.33
1960     28       104064.83
1960     29       110884.50
1960     30       114996.67
1960     31       113881.33
1960     32       111450.83
1960     33       110696.83
1960     34       114519.33
1960     35       112637.67
1960     36       109664.67
1960     37       114933.83
1960     38       125238.67
1960     39       135526.67
1960     40       121507.17
1960     41        84210.17
1960     42        63715.50
1960     43        66341.50
1960     44        85832.83
1960     45       116413.67
1960     46       135740.50
1960     47       142760.00
1960     48       142654.67
1960     49       144392.33
1960     50       151728.50
1960     51       153956.50
1960     52       152690.50
1960     53       152140.67
1960     54       149307.83
1960     55       146858.83
1961     12       102096.06
1961     13        90727.46
1961     14        85373.90
1961     15        71559.76
1961     16        97150.17
1961     17       116155.83
1961     18       117064.33
1961     19       128702.67
1961     20       144985.00
1961     21       147436.33
1961     22       141303.83
1961     23       131763.67
1961     24       128659.33
1961     25       130228.33
1961     26       127613.17
1961     27       112957.17
1961     28       101459.83
1961     29       102906.00
1961     30       109689.83
1961     31       113838.33
1961     32       112601.83
1961     33       110265.00
1961     34       109512.50
1961     35       113221.33
1961     36       111310.00
1961     37       108407.17
1961     38       113554.17
1961     39       123747.17
1961     40       133872.17
1961     41       119958.33
1961     42        83084.83
1961     43        62796.50
1961     44        65377.00
1961     45        84598.67
1961     46       114776.33
1961     47       133799.83
1961     48       140705.33
1961     49       140605.33
1961     50       142246.33
1961     51       149544.50
1961     52       151634.50
1961     53       150501.33
1961     54       149884.83
1961     55       147023.33
1962     12       118124.53
1962     13       101570.78
1962     14        90200.58
1962     15        84922.51
1962     16        71032.85
1962     17        96224.17
1962     18       114999.17
1962     19       115472.00
1962     20       126698.50
1962     21       142936.67
