East Germany, Female exposure to risk by calendar year, age and parity
Last modified: 04/02/2019
Year   Age            E0x            E1x            E2x            E3x           E4px
1986    12       84715.46           0.00           0.00           0.00           0.00
1986    13       86946.44           0.00           0.00           0.00           0.00
1986    14      106847.39           5.30           0.00           0.00           0.00
1986    15      112071.66          97.92           0.62           0.00           0.00
1986    16      111165.24         551.19           6.77           0.00           0.00
1986    17      111834.02        2119.21          39.85           0.58           0.05
1986    18      110380.60        6573.60         214.40          10.04           0.15
1986    19      106007.56       16328.55         901.70          43.40           1.99
1986    20       96399.39       31173.20        2849.68         160.70          10.86
1986    21       81082.93       46314.20        6787.39         466.39          40.81
1986    22       65988.24       59869.69       13258.51        1049.56         119.41
1986    23       49661.75       66311.22       21520.98        1977.85         260.74
1986    24       36789.20       67357.42       31357.32        3314.04         498.70
1986    25       27313.21       63445.58       40570.92        4843.78         846.60
1986    26       21101.71       56628.35       47765.63        6336.01        1260.22
1986    27       16908.45       49452.27       51989.85        7500.30        1638.35
1986    28       14096.08       43546.41       53763.46        8392.49        1953.83
1986    29       12882.47       40760.33       56838.28        9440.07        2316.22
1986    30       12139.36       39394.52       59789.96       10433.95        2771.11
1986    31       11633.47       38544.73       61424.75       11420.10        3305.45
1986    32       10937.02       37203.97       61265.57       12058.15        3587.73
1986    33       10200.85       36932.34       61378.50       12559.33        3826.79
1986    34        9665.96       37326.53       61026.23       12852.39        4183.01
1986    35        9100.79       36058.41       57792.22       12822.73        4336.70
1986    36        8535.53       33789.12       53245.55       12893.08        4482.67
1986    37        7247.72       28033.85       44571.15       11747.07        4342.24
1986    38        6409.21       24542.01       38581.27       10950.99        4310.87
1986    39        5994.59       23294.75       35066.81       10918.31        4582.68
1986    40        5296.59       19089.91       27863.10        9403.73        4254.02
1986    41        7717.28       25910.33       36947.78       13273.80        6206.97
1986    42        9670.88       30884.13       43375.52       16537.72        8111.58
1986    43       10691.89       30274.30       41626.44       16876.56        9056.31
1986    44       12176.21       33351.87       44320.60       19229.47       11275.18
1986    45              .              .              .              .              .
1986    46              .              .              .              .              .
1986    47              .              .              .              .              .
1986    48              .              .              .              .              .
1986    49              .              .              .              .              .
1986    50              .              .              .              .              .
1986    51              .              .              .              .              .
1986    52              .              .              .              .              .
1986    53              .              .              .              .              .
1986    54              .              .              .              .              .
1986    55              .              .              .              .              .
1987    12       84710.26           0.00           0.00           0.00           0.00
1987    13       84570.16           0.00           0.00           0.00           0.00
1987    14       86868.62           5.94           0.00           0.00           0.00
1987    15      106570.63          88.55           0.09           0.00           0.00
1987    16      111423.42         502.22           7.03           0.00           0.00
1987    17      109724.22        1862.90          38.26           0.04           0.00
1987    18      108709.48        5924.66         200.96           4.27           0.05
1987    19      102358.12       14902.39         848.49          38.06           1.63
1987    20       92803.99       28292.56        2603.64         142.79           9.71
1987    21       81032.57       43162.40        6288.97         416.77          38.86
1987    22       66133.38       55296.72       12255.90         998.05         114.70
1987    23       52584.56       64523.38       20914.36        1931.06         260.87
1987    24       39125.53       66531.52       30322.16        3202.84         487.00
1987    25       29222.31       64132.86       40171.30        4838.27         829.37
1987    26       22345.68       58233.55       48429.60        6590.45        1268.44
1987    27       17947.32       51305.76       53856.35        8142.49        1764.67
1987    28       14857.15       45034.73       56208.94        9208.15        2159.34
1987    29       12711.33       40217.35       56519.82        9981.20        2452.27
1987    30       11855.75       38151.04       58485.70       10883.10        2799.24
1987    31       11362.38       37352.47       60760.03       11703.11        3229.43
1987    32       11047.38       37075.50       61845.54       12474.90        3746.91
1987    33       10497.48       36187.80       61295.53       12898.37        4000.31
1987    34        9866.69       36167.83       61241.91       13226.62        4211.65
1987    35        9395.44       36754.51       60768.38       13354.27        4508.43
1987    36        8896.09       35632.89       57490.70       13154.70        4582.71
1987    37        8392.13       33497.99       52964.54       13083.77        4685.43
1987    38        7152.85       27878.61       44376.19       11840.28        4475.38
1987    39        6347.90       24426.44       38438.56       10979.75        4384.22
1987    40        5951.61       23190.70       34936.19       10909.58        4624.94
1987    41        5262.44       18996.46       27731.88        9373.57        4266.08
1987    42        7680.78       25814.91       36804.31       13234.81        6215.01
1987    43        9631.99       30785.23       43224.14       16492.06        8105.09
1987    44       10646.96       30163.42       41469.66       16817.11        9032.01
1987    45       12131.49       33235.21       44163.26       19163.85       11241.68
1987    46              .              .              .              .              .
1987    47              .              .              .              .              .
1987    48              .              .              .              .              .
1987    49              .              .              .              .              .
1987    50              .              .              .              .              .
1987    51              .              .              .              .              .
1987    52              .              .              .              .              .
1987    53              .              .              .              .              .
1987    54              .              .              .              .              .
1987    55              .              .              .              .              .
1988    12       88363.55           0.00           0.00           0.00           0.00
1988    13       84451.76           0.00           0.00           0.00           0.00
1988    14       84386.12           7.43           0.00           0.00           0.00
1988    15       86500.55          73.54           0.10           0.00           0.00
1988    16      105873.93         442.03           2.77           0.00           0.00
1988    17      109894.77        1686.84          31.19           0.20           0.00
1988    18      107175.04        5267.51         172.10           3.16           0.00
1988    19      101872.80       13495.23         785.51          27.24           0.27
1988    20       90609.93       25724.19        2431.23         133.21          10.34
1988    21       78931.05       39268.96        5731.88         391.30          34.47
1988    22       66916.01       51772.62       11429.72         895.21         102.52
1988    23       53408.21       60049.06       19275.45        1790.08         253.55
1988    24       41819.22       65219.26       29525.70        3110.59         476.74
