East Germany, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      Exposure
1956    12    1944       60168.83
1956    12    1943       63834.83
1956    13    1943       62733.00
1956    13    1942       63515.00
1956    14    1942       62262.67
1956    14    1941       78500.00
1956    15    1941       76693.83
1956    15    1940       83604.50
1956    16    1940       81592.33
1956    16    1939       83678.50
1956    17    1939       81364.33
1956    17    1938       78529.67
1956    18    1938       75417.67
1956    18    1937       73365.67
1956    19    1937       70024.83
1956    19    1936       73654.17
1956    20    1936       70491.67
1956    20    1935       72888.83
1956    21    1935       70081.67
1956    21    1934       68836.17
1956    22    1934       66571.83
1956    22    1933       55141.17
1956    23    1933       53475.67
1956    23    1932       55103.00
1956    24    1932       53662.17
1956    24    1931       56043.67
1956    25    1931       54702.67
1956    25    1930       61855.50
1956    26    1930       60424.00
1956    26    1929       60229.50
1956    27    1929       58926.67
1956    27    1928       60480.67
1956    28    1928       59224.33
1956    28    1927       57850.00
1956    29    1927       56550.83
1956    29    1926       59787.67
1956    30    1926       58521.33
1956    30    1925       61893.00
1956    31    1925       60518.67
1956    31    1924       58104.50
1956    32    1924       56772.83
1956    32    1923       58698.83
1956    33    1923       57444.00
1956    33    1922       63602.00
1956    34    1922       62244.50
1956    34    1921       69789.50
1956    35    1921       68328.83
1956    35    1920       74644.33
1956    36    1920       73042.50
1956    36    1919       55089.83
1956    37    1919       53948.17
1956    37    1918       35065.17
1956    38    1918       34293.67
1956    38    1917       33320.50
1956    39    1917       32581.00
1956    39    1916       37959.00
1956    40    1916       37130.17
1956    40    1915       54002.67
1956    41    1915       52925.50
1956    41    1914       70549.67
1956    42    1914       69113.50
1956    42    1913       74693.33
1956    43    1913       73313.17
1956    43    1912       77909.17
1956    44    1912       76442.33
1956    44    1911       74573.33
1956    45    1911       73204.00
1956    45    1910       79554.33
1956    46    1910       78184.33
1956    46    1909       82455.00
1956    47    1909       80996.83
1956    47    1908       81826.00
1956    48    1908       80513.33
1956    48    1907       80947.83
1956    49    1907       79636.83
1956    49    1906       81225.17
1956    50    1906       79930.67
1956    50    1905       78044.00
1956    51    1905       76864.83
1956    51    1904       78692.83
1956    52    1904       77480.00
1956    52    1903       76205.83
1956    53    1903       75057.00
1956    53    1902       79395.83
1956    54    1902       78200.83
1956    54    1901       76742.83
1956    55    1901       75534.67
1956    55    1900       74431.00
1957    12    1945       41601.83
1957    12    1944       60161.00
1957    13    1944       59465.50
1957    13    1943       62726.67
1957    14    1943       61807.33
1957    14    1942       62255.67
1957    15    1942       61226.50
1957    15    1941       76683.33
1957    16    1941       75286.83
1957    16    1940       81578.50
1957    17    1940       79528.17
1957    17    1939       81350.00
1957    18    1939       77854.17
1957    18    1938       75401.67
1957    19    1938       71559.50
1957    19    1937       70008.00
1957    20    1937       66697.00
1957    20    1936       70473.83
1957    21    1936       67746.83
1957    21    1935       70059.83
1957    22    1935       67743.50
1957    22    1934       66556.17
1957    23    1934       64726.50
1957    23    1933       53459.83
1957    24    1933       52170.67
1957    24    1932       53643.50
1957    25    1932       52542.83
1957    25    1931       54687.50
1957    26    1931       53609.67
1957    26    1930       60403.17
1957    27    1930       59406.00
1957    27    1929       58907.17
1957    28    1929       57904.83
1957    28    1928       59206.33
1957    29    1928       58271.17
1957    29    1927       56531.33
1957    30    1927       55585.83
1957    30    1926       58497.33
1957    31    1926       57574.17
1957    31    1925       60494.00
1957    32    1925       59516.50
1957    32    1924       56745.33
1957    33    1924       55837.83
1957    33    1923       57421.17
1957    34    1923       56601.17
1957    34    1922       62211.33
1957    35    1922       61203.17
1957    35    1921       68290.83
1957    36    1921       67243.00
1957    36    1920       72998.00
1957    37    1920       71896.17
1957    37    1919       53912.17
1957    38    1919       53103.83
1957    38    1918       34272.00
1957    39    1918       33703.17
1957    39    1917       32556.50
1957    40    1917       32007.50
1957    40    1916       37099.67
1957    41    1916       36492.00
1957    41    1915       52882.67
1957    42    1915       52093.17
1957    42    1914       69055.67
1957    43    1914       68008.67
1957    43    1913       73240.33
1957    44    1913       72178.83
1957    44    1912       76370.17
1957    45    1912       75286.33
1957    45    1911       73126.83
1957    46    1911       72111.17
1957    46    1910       78088.33
1957    47    1910       77026.83
1957    47    1909       80892.50
1957    48    1909       79827.50
1957    48    1908       80403.50
1957    49    1908       79353.67
1957    49    1907       79523.83
1957    50    1907       78560.00
1957    50    1906       79806.83
1957    51    1906       78865.33
1957    51    1905       76734.83
1957    52    1905       75775.50
1957    52    1904       77336.67
1957    53    1904       76388.17
1957    53    1903       74908.33
1957    54    1903       74032.33
1957    54    1902       78036.00
1957    55    1902       77110.67
1957    55    1901       75348.33
1958    12    1946       32129.44
1958    12    1945       41596.83
1958    13    1945       41126.17
1958    13    1944       59456.17
1958    14    1944       58718.83
1958    14    1943       61798.83
1958    15    1943       61004.00
1958    15    1942       61217.00
1958    16    1942       60442.67
1958    16    1941       75272.00
1958    17    1941       74344.00
1958    17    1940       79511.67
1958    18    1940       78169.00
1958    18    1939       77836.83
1958    19    1939       76445.17
1958    19    1938       71540.17
1958    20    1938       70458.50
1958    20    1937       66676.00
1958    21    1937       65729.00
1958    21    1936       67729.17
1958    22    1936       66845.33
1958    22    1935       67721.33
1958    23    1935       66817.67
1958    23    1934       64708.67
1958    24    1934       63916.50
1958    24    1933       52157.00
1958    25    1933       51639.17
1958    25    1932       52526.17
1958    26    1932       51935.83
1958    26    1931       53592.33
1958    27    1931       53090.00
1958    27    1930       59383.50
1958    28    1930       58794.83
1958    28    1929       57885.00
1958    29    1929       57308.50
1958    29    1928       58248.67
1958    30    1928       57669.67
1958    30    1927       55561.00
1958    31    1927       54956.33
1958    31    1926       57554.00
1958    32    1926       56911.33
1958    32    1925       59490.17
1958    33    1925       58858.83
1958    33    1924       55809.17
1958    34    1924       55158.67
1958    34    1923       56571.50
1958    35    1923       55876.83
1958    35    1922       61171.00
1958    36    1922       60457.50
1958    36    1921       67204.17
1958    37    1921       66403.83
1958    37    1920       71849.67
1958    38    1920       70959.50
1958    38    1919       53066.33
1958    39    1919       52384.00
1958    39    1918       33678.00
1958    40    1918       33230.67
1958    40    1917       31982.67
1958    41    1917       31523.83
1958    41    1916       36456.50
1958    42    1916       35935.50
1958    42    1915       52045.67
1958    43    1915       51317.67
1958    43    1914       67945.83
1958    44    1914       66984.00
1958    44    1913       72104.50
1958    45    1913       71096.83
1958    45    1912       75202.83
1958    46    1912       74179.00
1958    46    1911       72030.67
1958    47    1911       71082.83
1958    47    1910       76929.17
1958    48    1910       75875.83
1958    48    1909       79716.50
1958    49    1909       78637.67
1958    49    1908       79232.83
1958    50    1908       78223.83
1958    50    1907       78425.50
1958    51    1907       77451.83
1958    51    1906       78723.50
1958    52    1906       77671.17
1958    52    1905       75639.83
1958    53    1905       74697.17
1958    53    1904       76224.50
1958    54    1904       75242.83
1958    54    1903       73863.83
1958    55    1903       72914.67
1958    55    1902       76930.17
1959    12    1947       48089.64
