East Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1956     12     1944        60168.83
1956     13     1943       126567.83
1956     14     1942       125777.67
1956     15     1941       155193.83
1956     16     1940       165196.83
1956     17     1939       165042.83
1956     18     1938       153947.33
1956     19     1937       143390.50
1956     20     1936       144145.83
1956     21     1935       142970.50
1956     22     1934       135408.00
1956     23     1933       108616.83
1956     24     1932       108765.17
1956     25     1931       110746.33
1956     26     1930       122279.50
1956     27     1929       119156.17
1956     28     1928       119705.00
1956     29     1927       114400.83
1956     30     1926       118309.00
1956     31     1925       122411.67
1956     32     1924       114877.33
1956     33     1923       116142.83
1956     34     1922       125846.50
1956     35     1921       138118.33
1956     36     1920       147686.83
1956     37     1919       109038.00
1956     38     1918        69358.83
1956     39     1917        65901.50
1956     40     1916        75089.17
1956     41     1915       106928.17
1956     42     1914       139663.17
1956     43     1913       148006.50
1956     44     1912       154351.50
1956     45     1911       147777.33
1956     46     1910       157738.67
1956     47     1909       163451.83
1956     48     1908       162339.33
1956     49     1907       160584.67
1956     50     1906       161155.83
1956     51     1905       154908.83
1956     52     1904       156172.83
1956     53     1903       151262.83
1956     54     1902       157596.67
1956     55     1901       152277.50
1957     12     1945        41601.83
1957     13     1944       119626.50
1957     14     1943       124534.00
1957     15     1942       123482.17
1957     16     1941       151970.17
1957     17     1940       161106.67
1957     18     1939       159204.17
1957     19     1938       146961.17
1957     20     1937       136705.00
1957     21     1936       138220.67
1957     22     1935       137803.33
1957     23     1934       131282.67
1957     24     1933       105630.50
1957     25     1932       106186.33
1957     26     1931       108297.17
1957     27     1930       119809.17
1957     28     1929       116812.00
1957     29     1928       117477.50
1957     30     1927       112117.17
1957     31     1926       116071.50
1957     32     1925       120010.50
1957     33     1924       112583.17
1957     34     1923       114022.33
1957     35     1922       123414.50
1957     36     1921       135533.83
1957     37     1920       144894.17
1957     38     1919       107016.00
1957     39     1918        67975.17
1957     40     1917        64564.00
1957     41     1916        73591.67
1957     42     1915       104975.83
1957     43     1914       137064.33
1957     44     1913       145419.17
1957     45     1912       151656.50
1957     46     1911       145238.00
1957     47     1910       155115.17
1957     48     1909       160720.00
1957     49     1908       159757.17
1957     50     1907       158083.83
1957     51     1906       158672.17
1957     52     1905       152510.33
1957     53     1904       153724.83
1957     54     1903       148940.67
1957     55     1902       155146.67
1958     12     1946        32129.44
1958     13     1945        82723.00
1958     14     1944       118175.00
1958     15     1943       122802.83
1958     16     1942       121659.67
1958     17     1941       149616.00
1958     18     1940       157680.67
1958     19     1939       154282.00
1958     20     1938       141998.67
1958     21     1937       132405.00
