East Germany, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 04/02/2019
Year       MAB     MAB40
1956     26.76     26.40
1957     26.68     26.32
1958     26.64     26.31
1959     26.52     26.20
1960     26.43     26.10
1961     26.29     25.98
1962     26.18     25.88
1963     26.16     25.85
1964     26.13     25.83
1965     26.02     25.73
1966     25.90     25.67
1967     25.76     25.55
1968     25.67     25.48
1969     25.53     25.36
1970     25.42     25.26
1971     25.34     25.17
1972     25.06     24.88
1973     24.66     24.50
1974     24.61     24.45
1975     24.56     24.42
1976     24.58     24.45
1977     24.71     24.60
1978     24.66     24.56
1979     24.61     24.51
1980     24.52     24.43
1981     24.56     24.48
1982     24.62     24.55
1983     24.66     24.59
1984     24.69     24.62
1985     24.82     24.75
1986     24.89     24.82
1987     25.10     25.02
1988     25.16     25.08
1989     25.23     25.15
1990     25.06     24.98
1991     24.77     24.65
1992     25.24     25.12
1993     25.74     25.61
1994     26.14     25.99
1995     26.45     26.32
1996     26.76     26.63
1997     27.05     26.93
1998     27.25     27.11
1999     27.46     27.31
2000     27.67     27.52
2001     27.78     27.63
2002     27.97     27.82
2003     28.16     27.99
2004     28.36     28.19
2005     28.49     28.31
2006     28.64     28.44
2007     28.88     28.68
2008     29.08     28.85
2009     29.22     28.96
2010     29.28     29.01
2011     29.36     29.08
2012     29.45     29.14
2013     29.54     29.21
2014     29.66     29.33
2015     29.73     29.37
2016     29.70     29.32
2017     29.90     29.50
