East Germany, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 04/02/2019
Cohort    CMAB    CMAB40
1941     24.71     24.65
1942     24.54     24.48
1943     24.36     24.30
1944     24.20     24.14
1945     24.15     24.08
1946     24.06     23.98
1947     24.10     24.03
1948     24.18     24.11
1949     24.31     24.25
1950     24.42     24.36
1951     24.51     24.44
1952     24.58     24.51
1953     24.59     24.52
1954     24.60     24.52
1955     24.57     24.49
1956     24.53     24.44
1957     24.49     24.38
1958     24.44     24.32
1959     24.40     24.27
1960     24.35     24.22
1961     24.37     24.22
1962     24.47     24.30
1963     24.61     24.43
1964     24.84     24.64
1965     25.19     24.96
1966     25.56     25.30
1967     26.04     25.75
1968         .     26.23
1969         .     26.72
1970         .     27.23
1971         .     27.68
1972         .     28.07
1973         .     28.45
1974         .     28.70
1975         .     28.95
1976         .     29.12
1977         .     29.18
