East Germany, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 04/02/2019
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1941         .         .         .         .         .         .     24.65     22.67     25.59     26.89     27.76     29.54
1942         .         .         .         .         .         .     24.48     22.57     25.51     26.70     27.61     29.64
1943         .         .         .         .         .         .     24.30     22.43     25.42     26.54     27.54     29.67
1944         .         .         .         .         .         .     24.14     22.29     25.29     26.45     27.59     30.04
1945         .         .         .         .         .         .     24.08     22.21     25.25     26.45     27.81     30.43
1946         .         .         .         .         .         .     23.98     22.03     25.18     26.63     28.24     30.87
1947         .         .         .         .         .         .     24.03     22.06     25.29     27.02     28.77     31.18
1948         .         .         .         .         .         .     24.11     22.04     25.39     27.58     29.36     31.74
1949         .         .         .         .         .         .     24.25     22.11     25.62     28.18     30.00     32.17
1950         .         .         .         .         .         .     24.36     22.15     25.81     28.67     30.29     32.41
