East Germany, Conditional fertility rates by calendar year, age and birth order
Last modified: 04/02/2019
Year  Age       m1x       m2x       m3x       m4x      m5px
1986   12-  0.00000         .         .         .         .
1986   13   0.00000         .         .         .         .
1986   14   0.00010   0.00000         .         .         .
1986   15   0.00142   0.00511         .         .         .
1986   16   0.00623   0.02954   0.00000         .         .
1986   17   0.01996   0.03072   0.00477         .         .
1986   18   0.05714   0.04565   0.04790   0.02092         .
1986   19   0.12050   0.06676   0.06337   0.11130         .
1986   20   0.16427   0.08600   0.06069   0.09297   0.02210
1986   21   0.19779   0.10730   0.06334   0.09816   0.13748
1986   22   0.22034   0.12597   0.06106   0.09552   0.10912
1986   23   0.23516   0.14436   0.05729   0.09278   0.13228
1986   24   0.23467   0.15908   0.05330   0.08901   0.12130
1986   25   0.21316   0.16409   0.04860   0.08126   0.11767
1986   26   0.17524   0.16074   0.04585   0.07488   0.12077
1986   27   0.14000   0.14435   0.04134   0.06594   0.09600
1986   28   0.11555   0.12004   0.03829   0.05683   0.09027
1986   29   0.09126   0.09610   0.03404   0.04802   0.08867
1986   30   0.07389   0.07879   0.02901   0.04194   0.08912
1986   31   0.05829   0.06025   0.02535   0.04005   0.09110
1986   32   0.04392   0.04157   0.02108   0.03448   0.08052
1986   33   0.03605   0.03154   0.01836   0.03106   0.07094
1986   34   0.02752   0.02189   0.01468   0.02651   0.05717
1986   35   0.02050   0.01587   0.01186   0.02112   0.05092
1986   36   0.01546   0.01079   0.00911   0.01793   0.04422
1986   37   0.01285   0.00729   0.00673   0.01314   0.03550
1986   38   0.00883   0.00489   0.00445   0.00775   0.02406
1986   39   0.00476   0.00336   0.00276   0.00580   0.01789
1986   40   0.00227   0.00155   0.00157   0.00367   0.01322
1986   41   0.00160   0.00080   0.00126   0.00240   0.00735
1986   42   0.00136   0.00054   0.00099   0.00193   0.00494
1986   43   0.00068   0.00027   0.00039   0.00076   0.00240
1986   44   0.00034   0.00025   0.00025   0.00035   0.00158
1986   45         .         .         .         .         .
1986   46         .         .         .         .         .
1986   47         .         .         .         .         .
1986   48         .         .         .         .         .
1986   49         .         .         .         .         .
1986   50         .         .         .         .         .
1986   51         .         .         .         .         .
