East Germany, Period fertility tables, birth orders 1 to 5+
Last modified: 04/02/2019
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1986    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1986    13   1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1986    14   0.99995   0.00010   0.00010   10000      1    9999      0   0.00005   0.00000   0.00000      0      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1986    15   0.99912   0.00142   0.00142    9999     14    9992      1   0.00087   0.00511   0.00509      1      0       8      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1986    16   0.99501   0.00623   0.00621    9985     62    9954     15   0.00493   0.02954   0.02911     15      1      46      0   0.00006   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1986    17   0.98105   0.01996   0.01976    9923    196    9825     77   0.01859   0.03072   0.03025     76      5     173      1   0.00035   0.00477   0.00476      1      0       3      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1986    18   0.94198   0.05714   0.05556    9727    540    9456    273   0.05610   0.04565   0.04463    267     24     531      7   0.00183   0.04790   0.04678      7      1      12      0   0.00009   0.02092   0.02070      0      0       0      0   0.00000         .         .      0      0       0      0
1986    19   0.85987   0.12050   0.11365    9186   1044    8664    814   0.13245   0.06676   0.06461    783     85    1279     31   0.00731   0.06337   0.06142     30      3      55      1   0.00035   0.11130   0.10543      1      0       2      0   0.00002         .         .      0      0       0      0
1986    20   0.73816   0.16427   0.15181    8142   1236    7524   1858   0.23870   0.08600   0.08245   1741    197    2288    116   0.02182   0.06069   0.05890    112     11     181      4   0.00123   0.09297   0.08884      4      1       7      0   0.00008   0.02210   0.02186      0      0       0      0
1986    21   0.60199   0.19779   0.17999    6906   1243    6285   3094   0.34385   0.10730   0.10183   2781    350    3261    313   0.05039   0.06334   0.06140    298     27     430     15   0.00346   0.09816   0.09357     14      2      23      1   0.00030   0.13748   0.12864      1      0       1      0
1986    22   0.47039   0.22034   0.19848    5663   1124    5101   4337   0.42677   0.12597   0.11851   3674    506    4018    663   0.09451   0.06106   0.05925    621     50     820     42   0.00748   0.09552   0.09116     39      5      56      3   0.00085   0.10912   0.10347      3      1       5      0
1986    23   0.35541   0.23516   0.21042    4539    955    4062   5461   0.47456   0.14436   0.13464   4292    647    4480   1169   0.15402   0.05729   0.05569   1077     77    1336     92   0.01415   0.09278   0.08866     84     10     110      8   0.00187   0.13228   0.12407      8      2      12      1
1986    24   0.26407   0.23467   0.21003    3584    753    3208   6416   0.48348   0.15908   0.14736   4600    738    4637   1816   0.22508   0.05330   0.05191   1647    104    1943    169   0.02379   0.08901   0.08522    150     17     187     19   0.00358   0.12130   0.11436     19      3      25      2
1986    25   0.19934   0.21316   0.19263    2831    545    2559   7169   0.46304   0.16409   0.15165   4615    745    4538   2554   0.29609   0.04860   0.04745   2281    125    2577    272   0.03535   0.08126   0.07809    237     23     282     35   0.00618   0.11767   0.11113     35      5      44      5
1986    26   0.15855   0.17524   0.16113    2286    368    2102   7714   0.42548   0.16074   0.14878   4416    687    4272   3298   0.35889   0.04585   0.04482   2901    145    3164    398   0.04761   0.07488   0.07218    340     29     392     58   0.00947   0.12077   0.11389     58      9      70     11
1986    27   0.13263   0.14000   0.13084    1918    251    1792   8082   0.38789   0.14435   0.13464   4098    570    3947   3985   0.40780   0.04134   0.04051   3442    151    3648    543   0.05883   0.06594   0.06383    455     34     510     88   0.01285   0.09600   0.09160     88     10     102     19
1986    28   0.11578   0.11555   0.10924    1667    182    1576   8333   0.35766   0.12004   0.11325   3779    439    3656   4555   0.44158   0.03829   0.03757   3861    153    4002    694   0.06893   0.05683   0.05526    572     36     629    121   0.01605   0.09027   0.08637    121     12     137     29
1986    29   0.10539   0.09126   0.08727    1485    130    1420   8515   0.33345   0.09610   0.09169   3522    329    3425   4993   0.46498   0.03404   0.03347   4147    144    4239    847   0.07723   0.04802   0.04690    690     36     743    157   0.01895   0.08867   0.08491    157     15     173     41
1986    30   0.09748   0.07389   0.07126    1355     97    1307   8645   0.31635   0.07879   0.07580   3322    256    3245   5323   0.48013   0.02901   0.02860   4332    128    4395    991   0.08379   0.04194   0.04108    799     35     844    193   0.02225   0.08912   0.08531    193     19     209     57
