East Germany, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 04/02/2019
Year      sdMAB    sdMAB40
1956       5.77       5.33
1957       5.73       5.29
1958       5.71       5.29
1959       5.69       5.27
1960       5.70       5.29
1961       5.69       5.29
1962       5.68       5.28
1963       5.69       5.30
1964       5.72       5.33
1965       5.69       5.32
1966       5.57       5.26
1967       5.49       5.21
1968       5.44       5.19
1969       5.39       5.16
1970       5.38       5.14
1971       5.40       5.16
1972       5.31       5.04
1973       5.06       4.80
1974       4.97       4.72
1975       4.83       4.59
1976       4.71       4.49
1977       4.63       4.43
1978       4.57       4.40
1979       4.55       4.38
1980       4.51       4.35
1981       4.50       4.35
1982       4.51       4.38
1983       4.49       4.36
1984       4.51       4.38
1985       4.51       4.39
1986       4.52       4.40
1987       4.55       4.43
1988       4.54       4.41
1989       4.53       4.41
1990       4.53       4.38
1991       4.71       4.50
1992       4.80       4.60
1993       4.76       4.54
1994       4.79       4.56
1995       4.73       4.53
1996       4.72       4.52
1997       4.72       4.54
1998       4.77       4.58
1999       4.84       4.65
2000       4.91       4.71
2001       4.99       4.79
2002       5.02       4.84
2003       5.07       4.87
2004       5.09       4.89
2005       5.16       4.96
2006       5.24       5.02
2007       5.28       5.06
2008       5.36       5.12
2009       5.42       5.16
2010       5.48       5.21
2011       5.54       5.27
2012       5.56       5.26
2013       5.56       5.25
2014       5.55       5.24
2015       5.55       5.22
2016       5.61       5.26
2017       5.54       5.17
