East Germany, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 04/02/2019
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1956       5.77        4.39        4.90        5.16        5.24        5.21        5.33        4.25        4.64        4.73        4.67        4.38
1957       5.73        4.41        4.85        5.13        5.25        5.22        5.29        4.25        4.60        4.72        4.64        4.36
1958       5.71        4.36        4.82        5.08        5.17        5.17        5.29        4.21        4.60        4.69        4.58        4.36
1959       5.69        4.23        4.77        5.06        5.08        5.11        5.27        4.11        4.55        4.65        4.52        4.29
1960       5.70        4.20        4.78        5.01        5.06        5.06        5.29        4.07        4.55        4.62        4.51        4.21
1961       5.69        4.12        4.76        5.03        5.04        4.95        5.29        4.00        4.54        4.65        4.47        4.14
1962       5.68        4.09        4.72        5.03        5.01        4.85        5.28        3.96        4.49        4.65        4.47        4.07
1963       5.69        4.08        4.75        5.09        4.97        4.78        5.30        3.94        4.52        4.67        4.44        4.04
1964       5.72        4.08        4.75        5.12        5.03        4.75        5.33        3.96        4.51        4.70        4.48        4.00
1965       5.69        4.12        4.70        5.06        5.01        4.72        5.32        3.97        4.47        4.69        4.52        4.02
1966       5.57        4.05        4.62        5.00        4.92        4.64        5.26        3.91        4.45        4.69        4.52        4.04
1967       5.49        4.00        4.59        4.97        4.92        4.66        5.21        3.87        4.42        4.70        4.55        4.06
1968       5.44        3.97        4.54        4.93        4.92        4.67        5.19        3.86        4.41        4.70        4.61        4.10
1969       5.39        3.90        4.49        4.90        4.85        4.71        5.16        3.80        4.37        4.68        4.56        4.16
1970       5.38        3.87        4.48        4.89        4.90        4.79        5.14        3.77        4.36        4.68        4.60        4.21
1971       5.40        3.84        4.50        4.93        4.96        4.86        5.16        3.75        4.38        4.72        4.63        4.26
1972       5.31        3.83        4.45        4.95        5.03        4.97        5.04        3.73        4.33        4.67        4.65        4.26
1973       5.06        3.74        4.32        4.98        5.23        5.06        4.80        3.65        4.21        4.70        4.70        4.32
1974       4.97        3.70        4.24        4.92        5.11        5.06        4.72        3.62        4.14        4.63        4.59        4.22
1975       4.83        3.65        4.10        4.85        5.02        5.13        4.59        3.57        3.99        4.55        4.46        4.26
1976       4.71        3.58        3.99        4.75        5.00        5.08        4.49        3.51        3.90        4.45        4.41        4.19
1977       4.63        3.52        3.87        4.57        4.86        5.01        4.43        3.44        3.79        4.30        4.31        4.10
1978       4.57        3.43        3.84        4.48        4.74        5.03        4.40        3.36        3.77        4.26        4.24        4.08
1979       4.55        3.40        3.83        4.39        4.69        4.99        4.38        3.32        3.75        4.20        4.26        4.02
1980       4.51        3.34        3.78        4.39        4.71        5.06        4.35        3.28        3.70        4.18        4.26        4.13
1981       4.50        3.33        3.74        4.38        4.64        5.00        4.35        3.27        3.67        4.20        4.25        4.06
1982       4.51        3.36        3.72        4.40        4.66        4.85        4.38        3.31        3.67        4.24        4.29        4.07
1983       4.49        3.32        3.69        4.32        4.57        4.86        4.36        3.27        3.63        4.14        4.27        4.13
1984       4.51        3.31        3.68        4.38        4.61        4.86        4.38        3.27        3.62        4.21        4.27        4.16
1985       4.51        3.29        3.65        4.27        4.53        4.75        4.39        3.25        3.59        4.10        4.23        4.07
1986       4.52        3.31        3.63        4.29        4.61        4.63        4.40        3.27        3.58        4.11        4.24        4.02
1987       4.55        3.32        3.64        4.24        4.54        4.63        4.43        3.28        3.59        4.08        4.21        4.00
1988       4.54        3.30        3.64        4.31        4.52        4.58        4.41        3.26        3.58        4.14        4.16        3.96
1989       4.53        3.31        3.64        4.27        4.41        4.62        4.41        3.27        3.58        4.11        4.09        3.95
1990          .           .           .           .           .           .           .           .           .           .           .           .
1991          .           .           .           .           .           .           .           .           .           .           .           .
1992          .           .           .           .           .           .           .           .           .           .           .           .
1993          .           .           .           .           .           .           .           .           .           .           .           .
1994          .           .           .           .           .           .           .           .           .           .           .           .
1995          .           .           .           .           .           .           .           .           .           .           .           .
1996          .           .           .           .           .           .           .           .           .           .           .           .
1997          .           .           .           .           .           .           .           .           .           .           .           .
1998          .           .           .           .           .           .           .           .           .           .           .           .
1999          .           .           .           .           .           .           .           .           .           .           .           .
2000          .           .           .           .           .           .           .           .           .           .           .           .
2001          .           .           .           .           .           .           .           .           .           .           .           .
2002          .           .           .           .           .           .           .           .           .           .           .           .
2003          .           .           .           .           .           .           .           .           .           .           .           .
2004          .           .           .           .           .           .           .           .           .           .           .           .
2005          .           .           .           .           .           .           .           .           .           .           .           .
2006          .           .           .           .           .           .           .           .           .           .           .           .
2007          .           .           .           .           .           .           .           .           .           .           .           .
2008          .           .           .           .           .           .           .           .           .           .           .           .
2009       5.42        5.18        4.69        4.95        5.06        5.02        5.16        5.04        4.49        4.53        4.46        4.14
2010       5.48        5.24        4.77        4.98        5.01        4.92        5.21        5.09        4.55        4.57        4.39        4.11
2011       5.54        5.28        4.83        5.05        5.14        4.87        5.27        5.13        4.60        4.64        4.50        4.04
2012       5.56        5.30        4.87        5.08        5.16        4.71        5.26        5.12        4.64        4.61        4.48        3.93
2013       5.56        5.30        4.92        5.10        5.11        4.97        5.25        5.10        4.66        4.67        4.50        4.14
2014       5.55        5.32        4.91        5.17        5.13        4.87        5.24        5.11        4.66        4.71        4.55        4.14
2015       5.55        5.30        4.98        5.21        5.20        5.07        5.22        5.07        4.71        4.79        4.53        4.19
2016       5.61        5.35        5.09        5.34        5.39        4.99        5.26        5.11        4.79        4.89        4.78        4.16
2017       5.54        5.27        5.06        5.44        5.45        5.01        5.17        5.02        4.76        4.94        4.81        4.08
