East Germany, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 04/02/2019
Cohort   sdCMAB   sdCMAB40
1941       4.44       4.32
1942       4.46       4.34
1943       4.44       4.33
1944       4.49       4.37
1945       4.57       4.44
1946       4.63       4.49
1947       4.67       4.54
1948       4.71       4.59
1949       4.73       4.62
1950       4.72       4.60
1951       4.68       4.57
1952       4.65       4.53
1953       4.56       4.44
1954       4.51       4.36
1955       4.43       4.27
1956       4.41       4.22
1957       4.42       4.22
1958       4.42       4.19
1959       4.48       4.23
1960       4.53       4.28
1961       4.67       4.39
1962       4.80       4.49
1963       4.96       4.66
1964       5.18       4.87
1965       5.45       5.12
1966       5.65       5.30
1967       5.84       5.48
1968          .       5.59
1969          .       5.62
1970          .       5.62
1971          .       5.53
1972          .       5.43
1973          .       5.32
1974          .       5.27
1975          .       5.23
1976          .       5.22
1977          .       5.22
