East Germany, Period total fertility rates and period total fertility rates by age 40
Last modified: 04/02/2019
Year       TFR     TFR40
1956     2.293     2.240
1957     2.242     2.191
1958     2.221     2.173
1959     2.358     2.309
1960     2.349     2.300
1961     2.424     2.376
1962     2.422     2.376
1963     2.477     2.430
1964     2.482     2.435
1965     2.485     2.440
1966     2.423     2.389
1967     2.334     2.305
1968     2.292     2.267
1969     2.232     2.210
1970     2.188     2.167
1971     2.129     2.108
1972     1.784     1.765
1973     1.573     1.559
1974     1.537     1.524
1975     1.540     1.528
1976     1.636     1.624
1977     1.850     1.838
1978     1.898     1.888
1979     1.895     1.885
1980     1.942     1.932
1981     1.858     1.850
1982     1.859     1.852
1983     1.791     1.783
1984     1.738     1.731
1985     1.736     1.729
1986     1.700     1.694
1987     1.737     1.729
1988     1.670     1.662
1989     1.580     1.573
1990     1.512     1.505
1991     0.996     0.989
1992     0.845     0.838
1993     0.784     0.778
1994     0.780     0.773
1995     0.848     0.841
1996     0.967     0.959
1997     1.061     1.052
1998     1.114     1.104
1999     1.178     1.166
2000     1.254     1.241
2001     1.244     1.231
2002     1.252     1.239
2003     1.280     1.265
2004     1.329     1.312
2005     1.314     1.296
2006     1.324     1.304
2007     1.391     1.369
2008     1.435     1.409
2009     1.430     1.401
2010     1.487     1.455
2011     1.462     1.429
2012     1.488     1.452
2013     1.494     1.455
2014     1.546     1.504
2015     1.562     1.517
2016     1.646     1.595
2017     1.616     1.563
