East Germany, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 04/02/2019
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1956     2.293     0.883     0.684     0.367     0.176     0.183     2.240     0.880     0.676     0.357     0.167     0.160
1957     2.242     0.856     0.665     0.359     0.178     0.185     2.191     0.852     0.658     0.349     0.169     0.163
1958     2.221     0.846     0.647     0.355     0.181     0.192     2.173     0.843     0.640     0.346     0.172     0.171
1959     2.358     0.893     0.674     0.378     0.197     0.216     2.309     0.891     0.668     0.368     0.188     0.195
1960     2.349     0.907     0.655     0.373     0.192     0.221     2.300     0.904     0.648     0.364     0.184     0.199
1961     2.424     0.955     0.663     0.376     0.196     0.235     2.376     0.953     0.657     0.367     0.187     0.214
1962     2.422     0.971     0.659     0.365     0.193     0.233     2.376     0.968     0.653     0.356     0.185     0.213
1963     2.477     0.992     0.680     0.370     0.195     0.240     2.430     0.988     0.674     0.361     0.187     0.221
1964     2.482     0.991     0.690     0.365     0.190     0.245     2.435     0.988     0.684     0.355     0.182     0.225
1965     2.485     0.997     0.702     0.361     0.188     0.237     2.440     0.994     0.695     0.352     0.181     0.218
1966     2.423     0.973     0.705     0.364     0.181     0.200     2.389     0.970     0.700     0.357     0.175     0.186
1967     2.334     0.959     0.690     0.347     0.168     0.170     2.305     0.956     0.686     0.342     0.163     0.158
1968     2.292     0.951     0.688     0.340     0.162     0.151     2.267     0.949     0.684     0.335     0.158     0.140
1969     2.232     0.957     0.677     0.325     0.145     0.129     2.210     0.954     0.674     0.321     0.141     0.119
1970     2.188     0.976     0.670     0.303     0.128     0.112     2.167     0.974     0.667     0.299     0.125     0.103
1971     2.129     0.970     0.657     0.285     0.117     0.101     2.108     0.968     0.654     0.281     0.113     0.092
1972     1.784     0.901     0.543     0.195     0.075     0.070     1.765     0.900     0.541     0.191     0.072     0.061
1973     1.573     0.878     0.482     0.120     0.043     0.050     1.559     0.876     0.480     0.117     0.041     0.044
1974     1.537     0.867     0.480     0.110     0.038     0.042     1.524     0.866     0.478     0.108     0.036     0.036
1975     1.540     0.868     0.498     0.104     0.036     0.035     1.528     0.867     0.496     0.102     0.034     0.029
1976     1.636     0.907     0.550     0.110     0.036     0.033     1.624     0.906     0.548     0.108     0.034     0.028
1977     1.850     0.965     0.679     0.131     0.040     0.033     1.838     0.964     0.678     0.129     0.038     0.028
1978     1.898     0.987     0.701     0.139     0.041     0.030     1.888     0.986     0.699     0.138     0.039     0.026
1979     1.895     0.986     0.696     0.143     0.041     0.028     1.885     0.985     0.694     0.142     0.040     0.024
1980     1.942     1.011     0.705     0.155     0.043     0.027     1.932     1.011     0.703     0.153     0.042     0.024
1981     1.858     0.948     0.688     0.152     0.043     0.027     1.850     0.947     0.687     0.151     0.042     0.024
1982     1.859     0.929     0.698     0.162     0.045     0.026     1.852     0.928     0.697     0.161     0.043     0.023
1983     1.791     0.889     0.667     0.163     0.045     0.026     1.783     0.888     0.666     0.161     0.044     0.024
1984     1.738     0.856     0.649     0.164     0.044     0.026     1.731     0.855     0.647     0.162     0.043     0.024
1985     1.736     0.827     0.644     0.191     0.047     0.028     1.729     0.826     0.643     0.189     0.046     0.025
1986     1.700     0.813     0.629     0.183     0.048     0.027     1.694     0.812     0.628     0.181     0.047     0.025
1987     1.737     0.808     0.650     0.198     0.051     0.030     1.729     0.808     0.648     0.196     0.050     0.027
1988     1.670     0.781     0.623     0.188     0.049     0.029     1.662     0.780     0.622     0.186     0.048     0.027
1989     1.580     0.747     0.580     0.176     0.048     0.029     1.573     0.746     0.578     0.174     0.047     0.027
1990         .         .         .         .         .         .         .         .         .         .         .         .
1991         .         .         .         .         .         .         .         .         .         .         .         .
1992         .         .         .         .         .         .         .         .         .         .         .         .
1993         .         .         .         .         .         .         .         .         .         .         .         .
1994         .         .         .         .         .         .         .         .         .         .         .         .
1995         .         .         .         .         .         .         .         .         .         .         .         .
1996         .         .         .         .         .         .         .         .         .         .         .         .
1997         .         .         .         .         .         .         .         .         .         .         .         .
1998         .         .         .         .         .         .         .         .         .         .         .         .
1999         .         .         .         .         .         .         .         .         .         .         .         .
2000         .         .         .         .         .         .         .         .         .         .         .         .
2001         .         .         .         .         .         .         .         .         .         .         .         .
2002         .         .         .         .         .         .         .         .         .         .         .         .
