East Germany, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 04/02/2019
Cohort     CCF     CCF40
1941     1.952     1.945
1942     1.901     1.893
1943     1.891     1.884
1944     1.873     1.867
1945     1.861     1.854
1946     1.866     1.858
1947     1.836     1.829
1948     1.828     1.821
1949     1.804     1.797
1950     1.791     1.784
1951     1.795     1.788
1952     1.803     1.796
1953     1.809     1.802
1954     1.809     1.801
1955     1.817     1.808
1956     1.814     1.804
1957     1.827     1.816
1958     1.822     1.809
1959     1.820     1.807
1960     1.796     1.783
1961     1.764     1.748
1962     1.725     1.708
1963     1.680     1.663
1964     1.640     1.621
1965     1.610     1.588
1966     1.574     1.550
1967     1.567     1.539
1968         .     1.509
1969         .     1.490
1970         .     1.472
1971         .     1.480
1972         .     1.486
1973         .     1.505
1974         .     1.505
1975         .     1.510
1976         .     1.502
1977         .     1.497
