East Germany, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 04/02/2019
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1941         .         .         .         .         .         .     1.945     0.902     0.623     0.260     0.098     0.061
1942         .         .         .         .         .         .     1.893     0.894     0.618     0.244     0.087     0.051
1943         .         .         .         .         .         .     1.884     0.907     0.625     0.231     0.078     0.042
1944         .         .         .         .         .         .     1.867     0.914     0.626     0.220     0.069     0.037
1945         .         .         .         .         .         .     1.854     0.914     0.626     0.211     0.067     0.037
1946         .         .         .         .         .         .     1.858     0.925     0.634     0.203     0.062     0.035
1947         .         .         .         .         .         .     1.829     0.926     0.634     0.186     0.054     0.029
1948         .         .         .         .         .         .     1.821     0.925     0.639     0.178     0.050     0.027
1949         .         .         .         .         .         .     1.797     0.927     0.632     0.168     0.046     0.024
1950         .         .         .         .         .         .     1.784     0.927     0.631     0.159     0.043     0.024
