East Germany, Total live births
Last modified: 04/02/2019
Year         Total
1956     281282.01
1957     273326.99
1958     271404.99
1959     291980.01
1960     292985.00
1961     300817.99
1962     297981.99
1963     301471.99
1964     291867.00
1965     281057.97
1966     267957.99
1967     252817.02
1968     245142.99
1969     238909.98
1970     236929.00
1971     234870.02
1972     200443.01
1973     180336.02
1974     179127.00
1975     181798.05
1976     195482.99
1977     223152.00
1978     232151.01
1979     235233.02
1980     245132.02
1981     237543.03
1982     240102.00
1983     233756.01
1984     228134.99
1985     227648.01
1986     222268.99
1987     225959.01
1988     215734.01
1989     198921.99
1990     163030.02
1991      99057.01
1992      80541.01
1993      73010.00
1994      71112.00
1995      75731.99
1996      84651.01
1997      91092.99
1998      93702.00
1999      97001.99
2000     101201.99
2001      98026.99
2002      96350.00
2003      96631.01
2004      98884.00
2005      96727.00
2006      96406.01
2007      99795.99
2008     101346.02
2009      99641.99
2010     102209.01
2011      99250.00
2012     100113.03
2013      99938.02
2014     103055.00
2015     104224.99
2016     108883.00
2017     106220.00
