East Germany, Total live births by birth order
Last modified: 04/02/2019
Year         Total            B1            B2            B3            B4           B5p
1956     281282.01     113877.24      82531.14      43272.50      20567.94      21033.10
1957     273326.99     110389.63      79774.59      41785.09      20456.81      20920.92
1958     271404.99     110204.24      77719.87      41301.84      20665.45      21513.58
1959     291980.01     118622.30      82292.45      44231.16      22512.33      24321.76
1960     292985.00     120642.25      81215.47      44113.10      22142.77      24871.27
1961     300817.99     124206.77      82899.50      44760.15      22631.21      26320.40
1962     297981.99     122362.57      82848.55      43944.14      22555.57      26271.27
1963     301471.99     120296.61      85410.15      45210.29      23180.25      27374.62
1964     291867.00     112605.07      84555.44      44224.86      22607.66      27873.90
1965     281057.97     105923.45      82853.16      43203.93      22268.37      26809.03
1966     267957.99      99499.60      80805.59      43153.68      21506.83      22992.33
1967     252817.02      96224.99      76475.79      40502.73      19883.25      19730.15
1968     245142.99      95889.23      73863.81      38679.89      19031.30      17678.78
1969     238909.98      99058.45      71723.62      36298.89      16757.85      15071.28
1970     236929.00     104997.39      70670.65      33482.02      14702.17      13076.74
1971     234870.02     108771.49      69888.45      31242.47      13235.10      11732.49
1972     200443.01     104374.66      58356.74      21251.02       8406.35       8054.21
1973     180336.02     104399.40      52317.45      13056.28       4770.28       5792.59
1974     179127.00     105134.43      52943.66      12002.19       4214.14       4832.55
1975     181798.05     106605.53      55946.09      11382.72       3883.35       3980.34
1976     195482.99     112551.52      63164.51      12175.51       3906.68       3684.72
1977     223152.00     120894.18      79570.71      14597.64       4381.77       3707.72
1978     232151.01     125036.83      83599.54      15702.38       4498.35       3313.89
1979     235233.02     126611.12      84615.50      16345.16       4572.69       3088.41
1980     245132.02     132177.79      87113.12      17987.37       4870.96       2982.66
1981     237543.03     125660.05      86057.74      17969.97       4859.44       2995.79
1982     240102.00     124540.08      88206.63      19390.08       5157.30       2807.81
1983     233756.01     120217.53      85555.78      19814.95       5280.44       2887.28
1984     228134.99     115537.64      84207.89      20242.07       5210.17       2937.23
1985     227648.01     110461.47      84414.09      23934.86       5688.83       3148.78
1986     222268.99     106831.16      83127.26      23198.61       5907.92       3204.13
1987     225959.01     104488.20      86198.72      25328.72       6401.22       3542.13
1988     215734.01      99019.27      82672.84      24275.84       6245.28       3520.78
1989     198921.99      91273.65      75357.81      22625.41       6079.66       3585.49
2009      99641.99      51390.99      33726.00       9738.99       2967.00       1819.00
2010     102209.01      52015.00      35211.00      10123.00       3027.00       1833.00
2011      99250.00      50751.00      33986.99       9918.00       2791.00       1803.00
2012     100113.03      50315.97      34772.01      10190.03       2978.00       1857.00
2013      99938.02      49648.99      35006.00      10370.01       3105.00       1808.00
2014     103055.00      51298.00      35923.00      10671.01       3172.00       1991.00
2015     104224.99      50675.99      36712.00      11300.00       3435.99       2100.99
2016     108883.00      51371.93      38732.98      12253.01       3989.00       2536.01
2017     106220.00      48672.04      38412.02      12605.99       3966.01       2563.98
