Germany, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2009     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     13     0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
2009     14     0.00036     0.00035     0.00000     0.00000     0.00000     0.00000
2009     15     0.00133     0.00131     0.00003     0.00000     0.00000     0.00000
2009     16     0.00371     0.00360     0.00011     0.00000     0.00000     0.00000
2009     17     0.00730     0.00687     0.00040     0.00002     0.00000     0.00000
2009     18     0.01296     0.01169     0.00116     0.00010     0.00001     0.00000
2009     19     0.02018     0.01741     0.00253     0.00023     0.00001     0.00000
2009     20     0.02722     0.02188     0.00470     0.00057     0.00005     0.00000
2009     21     0.03384     0.02513     0.00736     0.00116     0.00015     0.00004
2009     22     0.04045     0.02799     0.01007     0.00200     0.00032     0.00007
2009     23     0.04774     0.03118     0.01289     0.00292     0.00061     0.00015
2009     24     0.05654     0.03551     0.01601     0.00387     0.00091     0.00025
2009     25     0.06587     0.04017     0.01922     0.00488     0.00122     0.00038
2009     26     0.07476     0.04370     0.02291     0.00605     0.00152     0.00058
2009     27     0.08278     0.04625     0.02670     0.00718     0.00185     0.00080
2009     28     0.08970     0.04824     0.02995     0.00824     0.00223     0.00104
2009     29     0.09527     0.04917     0.03291     0.00940     0.00261     0.00118
2009     30     0.09823     0.04839     0.03522     0.01038     0.00288     0.00136
2009     31     0.09741     0.04514     0.03657     0.01106     0.00306     0.00158
2009     32     0.09320     0.04029     0.03649     0.01155     0.00324     0.00163
2009     33     0.08707     0.03485     0.03510     0.01187     0.00351     0.00174
2009     34     0.07811     0.02910     0.03185     0.01177     0.00351     0.00187
2009     35     0.06778     0.02395     0.02723     0.01141     0.00332     0.00188
2009     36     0.05635     0.01894     0.02241     0.01006     0.00310     0.00184
2009     37     0.04445     0.01433     0.01762     0.00812     0.00270     0.00167
2009     38     0.03414     0.01054     0.01324     0.00663     0.00227     0.00147
2009     39     0.02523     0.00768     0.00939     0.00505     0.00185     0.00125
2009     40     0.01764     0.00542     0.00625     0.00349     0.00141     0.00107
2009     41     0.01117     0.00330     0.00383     0.00227     0.00096     0.00080
2009     42     0.00652     0.00184     0.00216     0.00134     0.00063     0.00056
2009     43     0.00366     0.00101     0.00106     0.00075     0.00041     0.00043
2009     44     0.00190     0.00053     0.00047     0.00040     0.00022     0.00028
2009     45     0.00089     0.00026     0.00022     0.00018     0.00009     0.00013
2009     46     0.00038     0.00012     0.00009     0.00007     0.00004     0.00006
2009     47     0.00019     0.00007     0.00004     0.00004     0.00002     0.00002
2009     48     0.00011     0.00004     0.00003     0.00003     0.00001     0.00001
2009     49     0.00006     0.00002     0.00001     0.00001     0.00001     0.00001
2009     50     0.00004     0.00002     0.00001     0.00001     0.00000     0.00001
2009     51     0.00003     0.00001     0.00001     0.00000     0.00000     0.00000
2009     52     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
2009     53     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2009     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     13     0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
2010     14     0.00035     0.00034     0.00000     0.00000     0.00000     0.00000
