Germany, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2009   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   13     1996    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   13     1995    0.00008     0.00008     0.00000     0.00000     0.00000     0.00000
2009   14     1995    0.00020     0.00020     0.00000     0.00000     0.00000     0.00000
2009   14     1994    0.00051     0.00051     0.00000     0.00000     0.00000     0.00000
2009   15     1994    0.00076     0.00074     0.00002     0.00000     0.00000     0.00000
2009   15     1993    0.00190     0.00186     0.00004     0.00000     0.00000     0.00000
2009   16     1993    0.00272     0.00267     0.00006     0.00000     0.00000     0.00000
2009   16     1992    0.00470     0.00454     0.00016     0.00000     0.00000     0.00000
2009   17     1992    0.00592     0.00566     0.00024     0.00000     0.00000     0.00000
2009   17     1991    0.00867     0.00806     0.00056     0.00004     0.00000     0.00000
2009   18     1991    0.01041     0.00952     0.00081     0.00007     0.00000     0.00000
2009   18     1990    0.01533     0.01371     0.00149     0.00012     0.00001     0.00000
2009   19     1990    0.01789     0.01578     0.00195     0.00015     0.00001     0.00000
2009   19     1989    0.02252     0.01908     0.00312     0.00030     0.00002     0.00000
2009   20     1989    0.02490     0.02063     0.00384     0.00041     0.00003     0.00000
2009   20     1988    0.02949     0.02312     0.00556     0.00073     0.00008     0.00000
2009   21     1988    0.03174     0.02419     0.00648     0.00094     0.00012     0.00003
2009   21     1987    0.03600     0.02609     0.00828     0.00140     0.00018     0.00005
2009   22     1987    0.03819     0.02703     0.00920     0.00167     0.00023     0.00006
2009   22     1986    0.04274     0.02895     0.01096     0.00233     0.00041     0.00008
2009   23     1986    0.04516     0.03000     0.01189     0.00265     0.00051     0.00010
2009   23     1985    0.05043     0.03242     0.01392     0.00320     0.00071     0.00019
2009   24     1985    0.05331     0.03380     0.01496     0.00351     0.00081     0.00023
2009   24     1984    0.05981     0.03723     0.01707     0.00423     0.00101     0.00027
2009   25     1984    0.06294     0.03879     0.01816     0.00458     0.00112     0.00030
2009   25     1983    0.06882     0.04155     0.02029     0.00519     0.00133     0.00046
2009   26     1983    0.07180     0.04277     0.02150     0.00557     0.00143     0.00053
2009   26     1982    0.07770     0.04462     0.02430     0.00653     0.00161     0.00064
2009   27     1982    0.08043     0.04550     0.02559     0.00692     0.00172     0.00070
2009   27     1981    0.08516     0.04701     0.02784     0.00744     0.00198     0.00089
2009   28     1981    0.08749     0.04768     0.02894     0.00778     0.00211     0.00098
2009   28     1980    0.09191     0.04880     0.03096     0.00869     0.00235     0.00110
2009   29     1980    0.09380     0.04912     0.03196     0.00909     0.00248     0.00115
2009   29     1979    0.09682     0.04922     0.03391     0.00974     0.00274     0.00122
2009   30     1979    0.09782     0.04895     0.03470     0.01006     0.00284     0.00127
2009   30     1978    0.09866     0.04780     0.03576     0.01071     0.00293     0.00146
2009   31     1978    0.09841     0.04671     0.03623     0.01095     0.00299     0.00153
2009   31     1977    0.09638     0.04351     0.03693     0.01117     0.00313     0.00164
2009   32     1977    0.09501     0.04190     0.03691     0.01134     0.00319     0.00166
2009   32     1976    0.09133     0.03861     0.03606     0.01177     0.00329     0.00159
2009   33     1976    0.08925     0.03677     0.03560     0.01189     0.00338     0.00162
2009   33     1975    0.08474     0.03280     0.03456     0.01186     0.00365     0.00186
2009   34     1975    0.08173     0.03090     0.03343     0.01183     0.00365     0.00191
2009   34     1974    0.07440     0.02725     0.03023     0.01170     0.00337     0.00184
2009   35     1974    0.07096     0.02553     0.02871     0.01157     0.00332     0.00184
2009   35     1973    0.06446     0.02230     0.02569     0.01124     0.00332     0.00192
2009   36     1973    0.06057     0.02061     0.02406     0.01076     0.00324     0.00190
2009   36     1972    0.05216     0.01729     0.02077     0.00937     0.00295     0.00178
2009   37     1972    0.04823     0.01576     0.01918     0.00874     0.00283     0.00172
2009   37     1971    0.04074     0.01293     0.01610     0.00752     0.00258     0.00162
2009   38     1971    0.03731     0.01167     0.01463     0.00702     0.00243     0.00155
2009   38     1970    0.03093     0.00939     0.01183     0.00623     0.00211     0.00138
2009   39     1970    0.02796     0.00846     0.01055     0.00567     0.00197     0.00131
2009   39     1969    0.02252     0.00691     0.00824     0.00444     0.00174     0.00119
2009   40     1969    0.01994     0.00612     0.00718     0.00393     0.00158     0.00113
2009   40     1968    0.01529     0.00469     0.00530     0.00304     0.00124     0.00102
2009   41     1968    0.01309     0.00396     0.00449     0.00262     0.00109     0.00092
2009   41     1967    0.00919     0.00263     0.00314     0.00191     0.00083     0.00068
2009   42     1967    0.00770     0.00218     0.00259     0.00160     0.00072     0.00061
2009   42     1966    0.00533     0.00150     0.00172     0.00107     0.00054     0.00050
2009   43     1966    0.00438     0.00123     0.00134     0.00089     0.00046     0.00046
2009   43     1965    0.00290     0.00078     0.00076     0.00061     0.00034     0.00041
2009   44     1965    0.00232     0.00063     0.00059     0.00049     0.00028     0.00034
2009   44     1964    0.00146     0.00043     0.00036     0.00030     0.00016     0.00022
2009   45     1964    0.00112     0.00033     0.00028     0.00023     0.00012     0.00017
2009   45     1963    0.00064     0.00018     0.00017     0.00013     0.00007     0.00010
2009   46     1963    0.00049     0.00014     0.00012     0.00009     0.00005     0.00008
2009   46     1962    0.00027     0.00009     0.00006     0.00005     0.00002     0.00005
2009   47     1962    0.00022     0.00008     0.00005     0.00004     0.00002     0.00004
2009   47     1961    0.00016     0.00006     0.00004     0.00004     0.00002     0.00001
2009   48     1961    0.00013     0.00004     0.00003     0.00003     0.00002     0.00001
2009   48     1960    0.00008     0.00003     0.00002     0.00002     0.00001     0.00001
2009   49     1960    0.00007     0.00002     0.00002     0.00002     0.00001     0.00001
2009   49     1959    0.00005     0.00002     0.00001     0.00001     0.00001     0.00001
2009   50     1959    0.00005     0.00002     0.00001     0.00001     0.00000     0.00001
2009   50     1958    0.00003     0.00002     0.00001     0.00001     0.00000     0.00001
2009   51     1958    0.00003     0.00001     0.00001     0.00000     0.00000     0.00000
2009   51     1957    0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
2009   52     1957    0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
2009   52     1956    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2009   53     1956    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2009   53     1955    0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2009   54     1955    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   54     1954    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009   55+       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010   13     1997    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010   13     1996    0.00008     0.00008     0.00000     0.00000     0.00000     0.00000
2010   14     1996    0.00020     0.00020     0.00000     0.00000     0.00000     0.00000
2010   14     1995    0.00049     0.00049     0.00000     0.00000     0.00000     0.00000
2010   15     1995    0.00073     0.00072     0.00000     0.00000     0.00000     0.00000
2010   15     1994    0.00186     0.00182     0.00004     0.00000     0.00000     0.00000
2010   16     1994    0.00268     0.00261     0.00007     0.00000     0.00000     0.00000
2010   16     1993    0.00455     0.00437     0.00017     0.00000     0.00000     0.00000
2010   17     1993    0.00573     0.00546     0.00025     0.00002     0.00000     0.00000
2010   17     1992    0.00861     0.00802     0.00056     0.00003     0.00000     0.00000
2010   18     1992    0.01041     0.00957     0.00080     0.00004     0.00000     0.00000
2010   18     1991    0.01533     0.01362     0.00160     0.00010     0.00001     0.00000
2010   19     1991    0.01782     0.01554     0.00212     0.00014     0.00001     0.00000
2010   19     1990    0.02186     0.01839     0.00311     0.00032     0.00004     0.00000
2010   20     1990    0.02402     0.01978     0.00373     0.00044     0.00006     0.00000
2010   20     1989    0.02848     0.02231     0.00531     0.00074     0.00010     0.00001
2010   21     1989    0.03069     0.02343     0.00618     0.00094     0.00013     0.00002
2010   21     1988    0.03506     0.02534     0.00808     0.00140     0.00021     0.00003
2010   22     1988    0.03728     0.02628     0.00903     0.00167     0.00027     0.00003
2010   22     1987    0.04178     0.02822     0.01077     0.00230     0.00044     0.00006
2010   23     1987    0.04422     0.02931     0.01170     0.00262     0.00053     0.00007
2010   23     1986    0.04953     0.03186     0.01368     0.00322     0.00064     0.00014
2010   24     1986    0.05253     0.03336     0.01471     0.00355     0.00072     0.00019
2010   24     1985    0.05959     0.03711     0.01681     0.00436     0.00103     0.00027
2010   25     1985    0.06298     0.03880     0.01796     0.00473     0.00116     0.00033
2010   25     1984    0.06935     0.04180     0.02053     0.00530     0.00129     0.00043
2010   26     1984    0.07244     0.04314     0.02179     0.00563     0.00137     0.00050
2010   26     1983    0.07799     0.04518     0.02413     0.00641     0.00158     0.00069
2010   27     1983    0.08088     0.04622     0.02540     0.00680     0.00170     0.00076
2010   27     1982    0.08676     0.04819     0.02823     0.00756     0.00196     0.00082
2010   28     1982    0.08938     0.04897     0.02949     0.00796     0.00209     0.00087
2010   28     1981    0.09377     0.05004     0.03153     0.00880     0.00234     0.00106
2010   29     1981    0.09574     0.05039     0.03254     0.00919     0.00246     0.00116
2010   29     1980    0.09897     0.05065     0.03439     0.00989     0.00265     0.00138
2010   30     1980    0.10018     0.05045     0.03524     0.01025     0.00276     0.00148
2010   30     1979    0.10175     0.04946     0.03669     0.01096     0.00301     0.00162
2010   31     1979    0.10165     0.04833     0.03730     0.01123     0.00311     0.00167
2010   31     1978    0.09945     0.04481     0.03823     0.01150     0.00324     0.00166
2010   32     1978    0.09817     0.04316     0.03831     0.01171     0.00330     0.00170
2010   32     1977    0.09504     0.03994     0.03761     0.01225     0.00335     0.00189
2010   33     1977    0.09291     0.03811     0.03712     0.01238     0.00337     0.00193
2010   33     1976    0.08751     0.03414     0.03579     0.01235     0.00339     0.00183
2010   34     1976    0.08473     0.03231     0.03477     0.01237     0.00344     0.00184
2010   34     1975    0.07899     0.02890     0.03210     0.01244     0.00362     0.00194
2010   35     1975    0.07557     0.02704     0.03060     0.01232     0.00363     0.00197
2010   35     1974    0.06795     0.02322     0.02731     0.01188     0.00351     0.00204
