Germany, Cohort fertility rates by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 04/02/2019
Cohort  Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1954     12-          .           .           .           .           .           .
1954     13           .           .           .           .           .           .
1954     14           .           .           .           .           .           .
1954     15           .           .           .           .           .           .
1954     16           .           .           .           .           .           .
1954     17           .           .           .           .           .           .
1954     18           .           .           .           .           .           .
1954     19           .           .           .           .           .           .
1954     20           .           .           .           .           .           .
1954     21           .           .           .           .           .           .
1954     22           .           .           .           .           .           .
1954     23           .           .           .           .           .           .
1954     24           .           .           .           .           .           .
1954     25           .           .           .           .           .           .
1954     26           .           .           .           .           .           .
1954     27           .           .           .           .           .           .
1954     28           .           .           .           .           .           .
1954     29           .           .           .           .           .           .
1954     30           .           .           .           .           .           .
1954     31           .           .           .           .           .           .
1954     32           .           .           .           .           .           .
1954     33           .           .           .           .           .           .
1954     34           .           .           .           .           .           .
1954     35           .           .           .           .           .           .
1954     36           .           .           .           .           .           .
1954     37           .           .           .           .           .           .
1954     38           .           .           .           .           .           .
1954     39           .           .           .           .           .           .
1954     40           .           .           .           .           .           .
1954     41           .           .           .           .           .           .
1954     42           .           .           .           .           .           .
1954     43           .           .           .           .           .           .
1954     44           .           .           .           .           .           .
1954     45           .           .           .           .           .           .
1954     46           .           .           .           .           .           .
1954     47           .           .           .           .           .           .
1954     48           .           .           .           .           .           .
1954     49           .           .           .           .           .           .
1954     50           .           .           .           .           .           .
1954     51           .           .           .           .           .           .
1954     52           .           .           .           .           .           .
1954     53           .           .           .           .           .           .
1954     54           .           .           .           .           .           .
1954     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1955     12-          .           .           .           .           .           .
1955     13           .           .           .           .           .           .
1955     14           .           .           .           .           .           .
1955     15           .           .           .           .           .           .
1955     16           .           .           .           .           .           .
1955     17           .           .           .           .           .           .
1955     18           .           .           .           .           .           .
1955     19           .           .           .           .           .           .
1955     20           .           .           .           .           .           .
1955     21           .           .           .           .           .           .
1955     22           .           .           .           .           .           .
1955     23           .           .           .           .           .           .
1955     24           .           .           .           .           .           .
1955     25           .           .           .           .           .           .
1955     26           .           .           .           .           .           .
1955     27           .           .           .           .           .           .
1955     28           .           .           .           .           .           .
1955     29           .           .           .           .           .           .
1955     30           .           .           .           .           .           .
1955     31           .           .           .           .           .           .
1955     32           .           .           .           .           .           .
1955     33           .           .           .           .           .           .
1955     34           .           .           .           .           .           .
1955     35           .           .           .           .           .           .
1955     36           .           .           .           .           .           .
1955     37           .           .           .           .           .           .
1955     38           .           .           .           .           .           .
1955     39           .           .           .           .           .           .
1955     40           .           .           .           .           .           .
1955     41           .           .           .           .           .           .
1955     42           .           .           .           .           .           .
1955     43           .           .           .           .           .           .
1955     44           .           .           .           .           .           .
1955     45           .           .           .           .           .           .
1955     46           .           .           .           .           .           .
1955     47           .           .           .           .           .           .
1955     48           .           .           .           .           .           .
1955     49           .           .           .           .           .           .
1955     50           .           .           .           .           .           .
1955     51           .           .           .           .           .           .
1955     52           .           .           .           .           .           .
1955     53           .           .           .           .           .           .
1955     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1955     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     12-          .           .           .           .           .           .
1956     13           .           .           .           .           .           .
1956     14           .           .           .           .           .           .
1956     15           .           .           .           .           .           .
1956     16           .           .           .           .           .           .
1956     17           .           .           .           .           .           .
1956     18           .           .           .           .           .           .
1956     19           .           .           .           .           .           .
1956     20           .           .           .           .           .           .
1956     21           .           .           .           .           .           .
1956     22           .           .           .           .           .           .
1956     23           .           .           .           .           .           .
1956     24           .           .           .           .           .           .
1956     25           .           .           .           .           .           .
1956     26           .           .           .           .           .           .
1956     27           .           .           .           .           .           .
1956     28           .           .           .           .           .           .
1956     29           .           .           .           .           .           .
1956     30           .           .           .           .           .           .
1956     31           .           .           .           .           .           .
1956     32           .           .           .           .           .           .
1956     33           .           .           .           .           .           .
1956     34           .           .           .           .           .           .
1956     35           .           .           .           .           .           .
1956     36           .           .           .           .           .           .
1956     37           .           .           .           .           .           .
1956     38           .           .           .           .           .           .
1956     39           .           .           .           .           .           .
1956     40           .           .           .           .           .           .
1956     41           .           .           .           .           .           .
1956     42           .           .           .           .           .           .
1956     43           .           .           .           .           .           .
1956     44           .           .           .           .           .           .
1956     45           .           .           .           .           .           .
1956     46           .           .           .           .           .           .
1956     47           .           .           .           .           .           .
1956     48           .           .           .           .           .           .
1956     49           .           .           .           .           .           .
1956     50           .           .           .           .           .           .
1956     51           .           .           .           .           .           .
1956     52           .           .           .           .           .           .
1956     53     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1956     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1956     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1957     12-          .           .           .           .           .           .
1957     13           .           .           .           .           .           .
1957     14           .           .           .           .           .           .
1957     15           .           .           .           .           .           .
1957     16           .           .           .           .           .           .
1957     17           .           .           .           .           .           .
1957     18           .           .           .           .           .           .
1957     19           .           .           .           .           .           .
1957     20           .           .           .           .           .           .
1957     21           .           .           .           .           .           .
1957     22           .           .           .           .           .           .
1957     23           .           .           .           .           .           .
1957     24           .           .           .           .           .           .
1957     25           .           .           .           .           .           .
1957     26           .           .           .           .           .           .
1957     27           .           .           .           .           .           .
1957     28           .           .           .           .           .           .
1957     29           .           .           .           .           .           .
1957     30           .           .           .           .           .           .
1957     31           .           .           .           .           .           .
1957     32           .           .           .           .           .           .
1957     33           .           .           .           .           .           .
1957     34           .           .           .           .           .           .
1957     35           .           .           .           .           .           .
1957     36           .           .           .           .           .           .
1957     37           .           .           .           .           .           .
1957     38           .           .           .           .           .           .
1957     39           .           .           .           .           .           .
1957     40           .           .           .           .           .           .
1957     41           .           .           .           .           .           .
1957     42           .           .           .           .           .           .
1957     43           .           .           .           .           .           .
1957     44           .           .           .           .           .           .
1957     45           .           .           .           .           .           .
1957     46           .           .           .           .           .           .
1957     47           .           .           .           .           .           .
1957     48           .           .           .           .           .           .
1957     49           .           .           .           .           .           .
1957     50           .           .           .           .           .           .
1957     51           .           .           .           .           .           .
1957     52     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
1957     53     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1957     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1957     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1958     12-          .           .           .           .           .           .
1958     13           .           .           .           .           .           .
1958     14           .           .           .           .           .           .
1958     15           .           .           .           .           .           .
1958     16           .           .           .           .           .           .
1958     17           .           .           .           .           .           .
1958     18           .           .           .           .           .           .
1958     19           .           .           .           .           .           .
1958     20           .           .           .           .           .           .
1958     21           .           .           .           .           .           .
1958     22           .           .           .           .           .           .
1958     23           .           .           .           .           .           .
1958     24           .           .           .           .           .           .
1958     25           .           .           .           .           .           .
1958     26           .           .           .           .           .           .
1958     27           .           .           .           .           .           .
1958     28           .           .           .           .           .           .
1958     29           .           .           .           .           .           .
1958     30           .           .           .           .           .           .
1958     31           .           .           .           .           .           .
1958     32           .           .           .           .           .           .
1958     33           .           .           .           .           .           .
1958     34           .           .           .           .           .           .
1958     35           .           .           .           .           .           .
1958     36           .           .           .           .           .           .
1958     37           .           .           .           .           .           .
1958     38           .           .           .           .           .           .
1958     39           .           .           .           .           .           .
1958     40           .           .           .           .           .           .
1958     41           .           .           .           .           .           .
1958     42           .           .           .           .           .           .
1958     43           .           .           .           .           .           .
1958     44           .           .           .           .           .           .
1958     45           .           .           .           .           .           .
1958     46           .           .           .           .           .           .
1958     47           .           .           .           .           .           .
1958     48           .           .           .           .           .           .
1958     49           .           .           .           .           .           .
1958     50           .           .           .           .           .           .
1958     51     0.00003     0.00001     0.00001     0.00000     0.00000     0.00001
1958     52     0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
1958     53     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1958     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1958     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     12-          .           .           .           .           .           .
1959     13           .           .           .           .           .           .
1959     14           .           .           .           .           .           .
1959     15           .           .           .           .           .           .
1959     16           .           .           .           .           .           .
1959     17           .           .           .           .           .           .
1959     18           .           .           .           .           .           .
1959     19           .           .           .           .           .           .
1959     20           .           .           .           .           .           .
1959     21           .           .           .           .           .           .
1959     22           .           .           .           .           .           .
1959     23           .           .           .           .           .           .
1959     24           .           .           .           .           .           .
1959     25           .           .           .           .           .           .
1959     26           .           .           .           .           .           .
1959     27           .           .           .           .           .           .
1959     28           .           .           .           .           .           .
1959     29           .           .           .           .           .           .
1959     30           .           .           .           .           .           .
1959     31           .           .           .           .           .           .
1959     32           .           .           .           .           .           .
1959     33           .           .           .           .           .           .
1959     34           .           .           .           .           .           .
1959     35           .           .           .           .           .           .
1959     36           .           .           .           .           .           .
1959     37           .           .           .           .           .           .
1959     38           .           .           .           .           .           .
1959     39           .           .           .           .           .           .
1959     40           .           .           .           .           .           .
1959     41           .           .           .           .           .           .
1959     42           .           .           .           .           .           .
1959     43           .           .           .           .           .           .
1959     44           .           .           .           .           .           .
1959     45           .           .           .           .           .           .
1959     46           .           .           .           .           .           .
1959     47           .           .           .           .           .           .
1959     48           .           .           .           .           .           .
1959     49           .           .           .           .           .           .
1959     50     0.00004     0.00002     0.00001     0.00001     0.00000     0.00001
1959     51     0.00004     0.00001     0.00001     0.00000     0.00000     0.00001
1959     52     0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
1959     53     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1959     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1960     12-          .           .           .           .           .           .
1960     13           .           .           .           .           .           .
1960     14           .           .           .           .           .           .
1960     15           .           .           .           .           .           .
1960     16           .           .           .           .           .           .
1960     17           .           .           .           .           .           .
1960     18           .           .           .           .           .           .
1960     19           .           .           .           .           .           .
1960     20           .           .           .           .           .           .
1960     21           .           .           .           .           .           .
1960     22           .           .           .           .           .           .
1960     23           .           .           .           .           .           .
1960     24           .           .           .           .           .           .
1960     25           .           .           .           .           .           .
1960     26           .           .           .           .           .           .
1960     27           .           .           .           .           .           .
1960     28           .           .           .           .           .           .
1960     29           .           .           .           .           .           .
1960     30           .           .           .           .           .           .
1960     31           .           .           .           .           .           .
1960     32           .           .           .           .           .           .
1960     33           .           .           .           .           .           .
1960     34           .           .           .           .           .           .
1960     35           .           .           .           .           .           .
1960     36           .           .           .           .           .           .
1960     37           .           .           .           .           .           .
1960     38           .           .           .           .           .           .
1960     39           .           .           .           .           .           .
1960     40           .           .           .           .           .           .
1960     41           .           .           .           .           .           .
1960     42           .           .           .           .           .           .
1960     43           .           .           .           .           .           .
1960     44           .           .           .           .           .           .
1960     45           .           .           .           .           .           .
1960     46           .           .           .           .           .           .
1960     47           .           .           .           .           .           .
1960     48           .           .           .           .           .           .
1960     49     0.00007     0.00002     0.00002     0.00001     0.00001     0.00001
1960     50     0.00005     0.00002     0.00002     0.00001     0.00000     0.00001
1960     51     0.00004     0.00002     0.00001     0.00001     0.00000     0.00001
1960     52     0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
1960     53     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1960     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1960     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1961     12-          .           .           .           .           .           .
1961     13           .           .           .           .           .           .
1961     14           .           .           .           .           .           .
1961     15           .           .           .           .           .           .
1961     16           .           .           .           .           .           .
1961     17           .           .           .           .           .           .
1961     18           .           .           .           .           .           .
1961     19           .           .           .           .           .           .
1961     20           .           .           .           .           .           .
1961     21           .           .           .           .           .           .
1961     22           .           .           .           .           .           .
1961     23           .           .           .           .           .           .
1961     24           .           .           .           .           .           .
1961     25           .           .           .           .           .           .
1961     26           .           .           .           .           .           .
1961     27           .           .           .           .           .           .
1961     28           .           .           .           .           .           .
1961     29           .           .           .           .           .           .
1961     30           .           .           .           .           .           .
1961     31           .           .           .           .           .           .
1961     32           .           .           .           .           .           .
1961     33           .           .           .           .           .           .
1961     34           .           .           .           .           .           .
1961     35           .           .           .           .           .           .
1961     36           .           .           .           .           .           .
1961     37           .           .           .           .           .           .
1961     38           .           .           .           .           .           .
1961     39           .           .           .           .           .           .
1961     40           .           .           .           .           .           .
1961     41           .           .           .           .           .           .
1961     42           .           .           .           .           .           .
1961     43           .           .           .           .           .           .
1961     44           .           .           .           .           .           .
1961     45           .           .           .           .           .           .
1961     46           .           .           .           .           .           .
1961     47           .           .           .           .           .           .
1961     48     0.00012     0.00004     0.00003     0.00002     0.00001     0.00002
1961     49     0.00007     0.00003     0.00002     0.00001     0.00001     0.00001
1961     50     0.00005     0.00002     0.00001     0.00001     0.00000     0.00001
1961     51     0.00004     0.00001     0.00001     0.00001     0.00000     0.00001
1961     52     0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
1961     53     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1961     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1961     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1962     12-          .           .           .           .           .           .
1962     13           .           .           .           .           .           .
1962     14           .           .           .           .           .           .
1962     15           .           .           .           .           .           .
1962     16           .           .           .           .           .           .
1962     17           .           .           .           .           .           .
1962     18           .           .           .           .           .           .
1962     19           .           .           .           .           .           .
1962     20           .           .           .           .           .           .
1962     21           .           .           .           .           .           .
1962     22           .           .           .           .           .           .
1962     23           .           .           .           .           .           .
1962     24           .           .           .           .           .           .
1962     25           .           .           .           .           .           .
1962     26           .           .           .           .           .           .
1962     27           .           .           .           .           .           .
1962     28           .           .           .           .           .           .
1962     29           .           .           .           .           .           .
1962     30           .           .           .           .           .           .
1962     31           .           .           .           .           .           .
1962     32           .           .           .           .           .           .
1962     33           .           .           .           .           .           .
1962     34           .           .           .           .           .           .
