Germany, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort        ASFR
1956     12-    1944+     0.00000
1956     13     1943      0.00000
1956     14     1942      0.00003
1956     15     1941      0.00047
1956     16     1940      0.00241
1956     17     1939      0.01059
1956     18     1938      0.03106
1956     19     1937      0.06163
1956     20     1936      0.09026
1956     21     1935      0.11516
1956     22     1934      0.13525
1956     23     1933      0.14734
1956     24     1932      0.15042
1956     25     1931      0.15085
1956     26     1930      0.14493
1956     27     1929      0.13926
1956     28     1928      0.13216
1956     29     1927      0.12346
1956     30     1926      0.11341
1956     31     1925      0.10057
1956     32     1924      0.09433
1956     33     1923      0.08391
1956     34     1922      0.07364
1956     35     1921      0.06469
1956     36     1920      0.05483
1956     37     1919      0.04758
1956     38     1918      0.03927
1956     39     1917      0.03297
1956     40     1916      0.02592
1956     41     1915      0.01962
1956     42     1914      0.01425
1956     43     1913      0.00950
1956     44     1912      0.00598
1956     45     1911      0.00329
1956     46     1910      0.00133
1956     47     1909      0.00068
1956     48     1908      0.00033
1956     49     1907      0.00016
1956     50     1906      0.00008
1956     51     1905      0.00004
1956     52     1904      0.00002
1956     53     1903      0.00001
1956     54     1902      0.00000
1956     55+    1901-     0.00000
1957     12-    1945+     0.00000
1957     13     1944      0.00000
1957     14     1943      0.00004
1957     15     1942      0.00056
1957     16     1941      0.00247
1957     17     1940      0.01167
1957     18     1939      0.03179
1957     19     1938      0.06192
1957     20     1937      0.09292
1957     21     1936      0.11651
1957     22     1935      0.13723
1957     23     1934      0.15057
1957     24     1933      0.15711
1957     25     1932      0.15783
1957     26     1931      0.15446
1957     27     1930      0.14386
1957     28     1929      0.13635
1957     29     1928      0.12583
1957     30     1927      0.11572
1957     31     1926      0.10455
1957     32     1925      0.09240
1957     33     1924      0.08505
1957     34     1923      0.07541
1957     35     1922      0.06556
1957     36     1921      0.05677
1957     37     1920      0.04679
1957     38     1919      0.04010
1957     39     1918      0.03181
1957     40     1917      0.02600
1957     41     1916      0.01938
1957     42     1915      0.01370
1957     43     1914      0.00941
1957     44     1913      0.00578
1957     45     1912      0.00314
1957     46     1911      0.00141
1957     47     1910      0.00075
1957     48     1909      0.00037
1957     49     1908      0.00018
1957     50     1907      0.00008
1957     51     1906      0.00004
1957     52     1905      0.00002
1957     53     1904      0.00001
1957     54     1903      0.00000
1957     55+    1902-     0.00000
1958     12-    1946+     0.00000
1958     13     1945      0.00000
1958     14     1944      0.00004
1958     15     1943      0.00055
1958     16     1942      0.00270
1958     17     1941      0.01120
1958     18     1940      0.03219
1958     19     1939      0.06083
1958     20     1938      0.09086
1958     21     1937      0.11577
1958     22     1936      0.13683
1958     23     1935      0.15101
1958     24     1934      0.15827
1958     25     1933      0.16028
1958     26     1932      0.15441
1958     27     1931      0.14954
1958     28     1930      0.13636
1958     29     1929      0.12804
1958     30     1928      0.11561
1958     31     1927      0.10510
1958     32     1926      0.09457
1958     33     1925      0.08211
1958     34     1924      0.07471
1958     35     1923      0.06579
1958     36     1922      0.05590
1958     37     1921      0.04717
1958     38     1920      0.03825
1958     39     1919      0.03196
1958     40     1918      0.02475
1958     41     1917      0.01873
1958     42     1916      0.01343
1958     43     1915      0.00855
1958     44     1914      0.00526
1958     45     1913      0.00302
1958     46     1912      0.00128
1958     47     1911      0.00067
1958     48     1910      0.00033
1958     49     1909      0.00016
1958     50     1908      0.00008
1958     51     1907      0.00004
1958     52     1906      0.00002
1958     53     1905      0.00001
1958     54     1904      0.00000
1958     55+    1903-     0.00000
1959     12-    1947+     0.00000
1959     13     1946      0.00000
1959     14     1945      0.00005
1959     15     1944      0.00071
1959     16     1943      0.00305
1959     17     1942      0.01336
1959     18     1941      0.03508
1959     19     1940      0.06716
1959     20     1939      0.09720
1959     21     1938      0.12188
1959     22     1937      0.14354
1959     23     1936      0.15570
1959     24     1935      0.16444
1959     25     1934      0.16620
1959     26     1933      0.16393
1959     27     1932      0.15483
1959     28     1931      0.14520
1959     29     1930      0.13074
1959     30     1929      0.11862
1959     31     1928      0.10747
1959     32     1927      0.09618
1959     33     1926      0.08479
1959     34     1925      0.07387
1959     35     1924      0.06599
1959     36     1923      0.05807
1959     37     1922      0.04900
1959     38     1921      0.04078
1959     39     1920      0.03179
1959     40     1919      0.02572
1959     41     1918      0.01907
1959     42     1917      0.01333
1959     43     1916      0.00899
1959     44     1915      0.00515
1959     45     1914      0.00307
1959     46     1913      0.00127
1959     47     1912      0.00066
1959     48     1911      0.00032
1959     49     1910      0.00016
1959     50     1909      0.00008
1959     51     1908      0.00004
1959     52     1907      0.00002
1959     53     1906      0.00001
1959     54     1905      0.00000
1959     55+    1904-     0.00000
1960     12-    1948+     0.00000
1960     13     1947      0.00000
1960     14     1946      0.00005
1960     15     1945      0.00091
1960     16     1944      0.00394
1960     17     1943      0.01507
1960     18     1942      0.03764
1960     19     1941      0.06974
1960     20     1940      0.09976
1960     21     1939      0.12245
1960     22     1938      0.14089
1960     23     1937      0.15650
1960     24     1936      0.16278
1960     25     1935      0.16655
1960     26     1934      0.16202
1960     27     1933      0.15545
1960     28     1932      0.14362
1960     29     1931      0.13335
1960     30     1930      0.11837
1960     31     1929      0.10781
1960     32     1928      0.09572
1960     33     1927      0.08395
1960     34     1926      0.07379
1960     35     1925      0.06344
1960     36     1924      0.05674
1960     37     1923      0.04861
1960     38     1922      0.04013
1960     39     1921      0.03219
1960     40     1920      0.02409
1960     41     1919      0.01939
1960     42     1918      0.01308
1960     43     1917      0.00860
1960     44     1916      0.00530
1960     45     1915      0.00275
1960     46     1914      0.00120
1960     47     1913      0.00064
1960     48     1912      0.00032
1960     49     1911      0.00016
1960     50     1910      0.00008
1960     51     1909      0.00004
1960     52     1908      0.00002
1960     53     1907      0.00001
1960     54     1906      0.00000
1960     55+    1905-     0.00000
1961     12-    1949+     0.00000
1961     13     1948      0.00000
1961     14     1947      0.00006
1961     15     1946      0.00104
1961     16     1945      0.00505
1961     17     1944      0.01793
1961     18     1943      0.04199
1961     19     1942      0.07445
1961     20     1941      0.10664
1961     21     1940      0.13153
1961     22     1939      0.14920
1961     23     1938      0.16234
1961     24     1937      0.16907
1961     25     1936      0.16907
1961     26     1935      0.16673
1961     27     1934      0.15842
1961     28     1933      0.14846
1961     29     1932      0.13575
1961     30     1931      0.12287
1961     31     1930      0.10776
1961     32     1929      0.09665
1961     33     1928      0.08454
1961     34     1927      0.07471
1961     35     1926      0.06476
1961     36     1925      0.05563
1961     37     1924      0.04836
1961     38     1923      0.04037
1961     39     1922      0.03285
1961     40     1921      0.02507
1961     41     1920      0.01838
1961     42     1919      0.01327
1961     43     1918      0.00863
1961     44     1917      0.00490
1961     45     1916      0.00292
1961     46     1915      0.00112
1961     47     1914      0.00056
1961     48     1913      0.00027
1961     49     1912      0.00013
1961     50     1911      0.00007
1961     51     1910      0.00003
1961     52     1909      0.00002
1961     53     1908      0.00001
1961     54     1907      0.00000
1961     55+    1906-     0.00000
1962     12-    1950+     0.00000
1962     13     1949      0.00000
1962     14     1948      0.00006
1962     15     1947      0.00109
1962     16     1946      0.00508
1962     17     1945      0.01969
1962     18     1944      0.04537
1962     19     1943      0.07784
1962     20     1942      0.10876
1962     21     1941      0.13196
1962     22     1940      0.15336
1962     23     1939      0.16557
1962     24     1938      0.17086
1962     25     1937      0.17046
1962     26     1936      0.16625
1962     27     1935      0.15587
1962     28     1934      0.14620
1962     29     1933      0.13398
1962     30     1932      0.12176
1962     31     1931      0.10817
1962     32     1930      0.09360
1962     33     1929      0.08336
1962     34     1928      0.07228
1962     35     1927      0.06279
1962     36     1926      0.05391
1962     37     1925      0.04586
1962     38     1924      0.03857
1962     39     1923      0.03145
1962     40     1922      0.02446
1962     41     1921      0.01805
1962     42     1920      0.01272
1962     43     1919      0.00879
1962     44     1918      0.00499
1962     45     1917      0.00267
1962     46     1916      0.00102
1962     47     1915      0.00050
1962     48     1914      0.00024
1962     49     1913      0.00012
1962     50     1912      0.00006
1962     51     1911      0.00003
1962     52     1910      0.00002
1962     53     1909      0.00001
1962     54     1908      0.00000
1962     55+    1907-     0.00000
1963     12-    1951+     0.00000
1963     13     1950      0.00000
1963     14     1949      0.00006
1963     15     1948      0.00103
1963     16     1947      0.00532
1963     17     1946      0.02131
1963     18     1945      0.05101
1963     19     1944      0.08541
1963     20     1943      0.11415
1963     21     1942      0.13610
1963     22     1941      0.15704
1963     23     1940      0.16822
1963     24     1939      0.17471
1963     25     1938      0.17499
1963     26     1937      0.17035
1963     27     1936      0.16076
1963     28     1935      0.14850
1963     29     1934      0.13695
1963     30     1933      0.12477
1963     31     1932      0.11127
1963     32     1931      0.09798
1963     33     1930      0.08480
1963     34     1929      0.07371
1963     35     1928      0.06394
1963     36     1927      0.05521
1963     37     1926      0.04646
1963     38     1925      0.03846
1963     39     1924      0.03162
1963     40     1923      0.02502
1963     41     1922      0.01878
1963     42     1921      0.01278
1963     43     1920      0.00816
1963     44     1919      0.00534
1963     45     1918      0.00280
1963     46     1917      0.00100
1963     47     1916      0.00047
1963     48     1915      0.00023
1963     49     1914      0.00011
1963     50     1913      0.00006
1963     51     1912      0.00003
1963     52     1911      0.00002
1963     53     1910      0.00001
1963     54     1909      0.00000
1963     55+    1908-     0.00000
1964     12-    1952+     0.00000
1964     13     1951      0.00000
1964     14     1950      0.00006
1964     15     1949      0.00099
1964     16     1948      0.00520
1964     17     1947      0.02207
1964     18     1946      0.05290
1964     19     1945      0.09266
1964     20     1944      0.12127
1964     21     1943      0.14011
1964     22     1942      0.15585
1964     23     1941      0.16800
1964     24     1940      0.17423
1964     25     1939      0.17400
1964     26     1938      0.17030
1964     27     1937      0.16162
1964     28     1936      0.14896
1964     29     1935      0.13656
1964     30     1934      0.12458
1964     31     1933      0.11228
1964     32     1932      0.09921
1964     33     1931      0.08716
1964     34     1930      0.07455
1964     35     1929      0.06439
1964     36     1928      0.05506
1964     37     1927      0.04686
1964     38     1926      0.03882
1964     39     1925      0.03073
1964     40     1924      0.02472
1964     41     1923      0.01865
1964     42     1922      0.01314
1964     43     1921      0.00871
1964     44     1920      0.00498
1964     45     1919      0.00291
1964     46     1918      0.00108
1964     47     1917      0.00051
1964     48     1916      0.00025
1964     49     1915      0.00012
1964     50     1914      0.00006
1964     51     1913      0.00003
1964     52     1912      0.00002
1964     53     1911      0.00001
1964     54     1910      0.00000
1964     55+    1909-     0.00000
1965     12-    1953+     0.00000
1965     13     1952      0.00000
1965     14     1951      0.00005
1965     15     1950      0.00096
1965     16     1949      0.00541
1965     17     1948      0.02205
1965     18     1947      0.05541
1965     19     1946      0.09439
1965     20     1945      0.12694
1965     21     1944      0.14504
1965     22     1943      0.15812
1965     23     1942      0.16356
1965     24     1941      0.16899
1965     25     1940      0.17032
1965     26     1939      0.16680
1965     27     1938      0.15789
1965     28     1937      0.14696
1965     29     1936      0.13289
1965     30     1935      0.12117
1965     31     1934      0.10829
1965     32     1933      0.09668
1965     33     1932      0.08472
1965     34     1931      0.07329
1965     35     1930      0.06238
1965     36     1929      0.05356
1965     37     1928      0.04470
1965     38     1927      0.03731
1965     39     1926      0.03005
1965     40     1925      0.02373
1965     41     1924      0.01813
1965     42     1923      0.01245
1965     43     1922      0.00821
1965     44     1921      0.00482
1965     45     1920      0.00265
1965     46     1919      0.00109
1965     47     1918      0.00055
1965     48     1917      0.00027
1965     49     1916      0.00014
1965     50     1915      0.00007
1965     51     1914      0.00003
1965     52     1913      0.00002
1965     53     1912      0.00001
1965     54     1911      0.00000
1965     55+    1910-     0.00000
1966     12-    1954+     0.00000
1966     13     1953      0.00000
1966     14     1952      0.00005
1966     15     1951      0.00092
1966     16     1950      0.00530
1966     17     1949      0.02267
1966     18     1948      0.05562
1966     19     1947      0.09946
1966     20     1946      0.13355
1966     21     1945      0.15171
1966     22     1944      0.16321
1966     23     1943      0.16733
1966     24     1942      0.16918
1966     25     1941      0.16856
1966     26     1940      0.16501
1966     27     1939      0.15737
1966     28     1938      0.14622
1966     29     1937      0.13277
1966     30     1936      0.11986
1966     31     1935      0.10636
1966     32     1934      0.09427
1966     33     1933      0.08401
1966     34     1932      0.07254
1966     35     1931      0.06186
1966     36     1930      0.05303
1966     37     1929      0.04389
1966     38     1928      0.03628
1966     39     1927      0.02891
1966     40     1926      0.02229
1966     41     1925      0.01632
1966     42     1924      0.01186
1966     43     1923      0.00766
1966     44     1922      0.00465
1966     45     1921      0.00252
1966     46     1920      0.00098
1966     47     1919      0.00052
1966     48     1918      0.00026
1966     49     1917      0.00013
1966     50     1916      0.00006
1966     51     1915      0.00003
1966     52     1914      0.00002
1966     53     1913      0.00001
1966     54     1912      0.00000
1966     55+    1911-     0.00000
1967     12-    1955+     0.00000
1967     13     1954      0.00000
1967     14     1953      0.00005
1967     15     1952      0.00091
1967     16     1951      0.00495
1967     17     1950      0.02172
1967     18     1949      0.05586
1967     19     1948      0.09923
1967     20     1947      0.13572
1967     21     1946      0.15710
1967     22     1945      0.16689
1967     23     1944      0.16720
1967     24     1943      0.16574
1967     25     1942      0.16230
1967     26     1941      0.15771
1967     27     1940      0.14999
1967     28     1939      0.14041
1967     29     1938      0.12865
1967     30     1937      0.11585
1967     31     1936      0.10238
1967     32     1935      0.08960
1967     33     1934      0.07953
1967     34     1933      0.07033
1967     35     1932      0.06043
1967     36     1931      0.05127
1967     37     1930      0.04204
1967     38     1929      0.03480
1967     39     1928      0.02759
1967     40     1927      0.02126
1967     41     1926      0.01557
1967     42     1925      0.01041
1967     43     1924      0.00727
1967     44     1923      0.00439
1967     45     1922      0.00253
1967     46     1921      0.00093
1967     47     1920      0.00049
1967     48     1919      0.00025
1967     49     1918      0.00012
1967     50     1917      0.00006
1967     51     1916      0.00003
1967     52     1915      0.00002
1967     53     1914      0.00001
1967     54     1913      0.00000
1967     55+    1912-     0.00000
1968     12-    1956+     0.00000
1968     13     1955      0.00000
1968     14     1954      0.00006
1968     15     1953      0.00099
1968     16     1952      0.00502
1968     17     1951      0.02214
1968     18     1950      0.05568
1968     19     1949      0.09877
1968     20     1948      0.13402
1968     21     1947      0.15699
1968     22     1946      0.16540
1968     23     1945      0.16200
1968     24     1944      0.15825
1968     25     1943      0.15347
1968     26     1942      0.14857
1968     27     1941      0.14149
1968     28     1940      0.13206
1968     29     1939      0.12209
1968     30     1938      0.10970
1968     31     1937      0.09757
1968     32     1936      0.08586
1968     33     1935      0.07422
1968     34     1934      0.06642
1968     35     1933      0.05853
1968     36     1932      0.05012
1968     37     1931      0.04141
1968     38     1930      0.03358
1968     39     1929      0.02713
1968     40     1928      0.02054
1968     41     1927      0.01498
1968     42     1926      0.01036
1968     43     1925      0.00675
1968     44     1924      0.00422
1968     45     1923      0.00235
1968     46     1922      0.00088
1968     47     1921      0.00047
1968     48     1920      0.00024
1968     49     1919      0.00012
1968     50     1918      0.00006
1968     51     1917      0.00003
1968     52     1916      0.00001
1968     53     1915      0.00001
1968     54     1914      0.00000
1968     55+    1913-     0.00000
1969     12-    1957+     0.00000
1969     13     1956      0.00000
1969     14     1955      0.00005
1969     15     1954      0.00101
1969     16     1953      0.00530
1969     17     1952      0.02341
1969     18     1951      0.05775
1969     19     1950      0.09870
1969     20     1949      0.13072
1969     21     1948      0.14663
1969     22     1947      0.15384
1969     23     1946      0.15143
1969     24     1945      0.14371
1969     25     1944      0.14166
1969     26     1943      0.13683
1969     27     1942      0.12827
1969     28     1941      0.12072
1969     29     1940      0.11151
1969     30     1939      0.10223
1969     31     1938      0.09117
1969     32     1937      0.08055
1969     33     1936      0.07059
1969     34     1935      0.06117
1969     35     1934      0.05430
1969     36     1933      0.04718
1969     37     1932      0.03943
1969     38     1931      0.03267
1969     39     1930      0.02539
1969     40     1929      0.01891
1969     41     1928      0.01405
1969     42     1927      0.00980
1969     43     1926      0.00630
1969     44     1925      0.00378
1969     45     1924      0.00214
1969     46     1923      0.00082
1969     47     1922      0.00044
1969     48     1921      0.00023
1969     49     1920      0.00011
1969     50     1919      0.00006
1969     51     1918      0.00003
1969     52     1917      0.00001
1969     53     1916      0.00001
1969     54     1915      0.00000
1969     55+    1914-     0.00000
1970     12-    1958+     0.00000
1970     13     1957      0.00000
1970     14     1956      0.00006
1970     15     1955      0.00117
1970     16     1954      0.00599
1970     17     1953      0.02460
1970     18     1952      0.05734
1970     19     1951      0.09841
1970     20     1950      0.12454
1970     21     1949      0.13696
1970     22     1948      0.14109
1970     23     1947      0.13969
1970     24     1946      0.13430
1970     25     1945      0.12735
1970     26     1944      0.12243
1970     27     1943      0.11581
1970     28     1942      0.10747
1970     29     1941      0.09956
1970     30     1940      0.09044
1970     31     1939      0.08161
1970     32     1938      0.07173
1970     33     1937      0.06259
1970     34     1936      0.05494
1970     35     1935      0.04794
1970     36     1934      0.04180
1970     37     1933      0.03665
1970     38     1932      0.03024
1970     39     1931      0.02358
1970     40     1930      0.01766
1970     41     1929      0.01305
1970     42     1928      0.00906
1970     43     1927      0.00587
1970     44     1926      0.00339
1970     45     1925      0.00189
1970     46     1924      0.00081
1970     47     1923      0.00045
1970     48     1922      0.00024
1970     49     1921      0.00012
1970     50     1920      0.00006
1970     51     1919      0.00003
1970     52     1918      0.00001
1970     53     1917      0.00001
1970     54     1916      0.00000
1970     55+    1915-     0.00000
1971     12-    1959+     0.00000
1971     13     1958      0.00000
1971     14     1957      0.00007
1971     15     1956      0.00137
1971     16     1955      0.00680
1971     17     1954      0.02626
1971     18     1953      0.05942
1971     19     1952      0.09581
1971     20     1951      0.12110
1971     21     1950      0.13441
1971     22     1949      0.13903
1971     23     1948      0.13636
1971     24     1947      0.13322
1971     25     1946      0.12858
1971     26     1945      0.12002
1971     27     1944      0.11158
1971     28     1943      0.10375
1971     29     1942      0.09415
1971     30     1941      0.08537
1971     31     1940      0.07541
1971     32     1939      0.06634
1971     33     1938      0.05895
1971     34     1937      0.05114
1971     35     1936      0.04429
1971     36     1935      0.03844
1971     37     1934      0.03316
1971     38     1933      0.02829
1971     39     1932      0.02292
1971     40     1931      0.01709
1971     41     1930      0.01260
1971     42     1929      0.00871
1971     43     1928      0.00584
1971     44     1927      0.00332
1971     45     1926      0.00179
1971     46     1925      0.00072
1971     47     1924      0.00039
1971     48     1923      0.00020
1971     49     1922      0.00010
1971     50     1921      0.00005
1971     51     1920      0.00003
1971     52     1919      0.00001
1971     53     1918      0.00001
1971     54     1917      0.00000
1971     55+    1916-     0.00000
1972     12-    1960+     0.00000
1972     13     1959      0.00000
1972     14     1958      0.00007
1972     15     1957      0.00141
