Germany, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2009     12-    1997+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     13     1996      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     14     1995      0.00014     0.00014     0.00000     0.00000     0.00000     0.00000
2009     15     1994      0.00064     0.00063     0.00001     0.00000     0.00000     0.00000
2009     16     1993      0.00232     0.00227     0.00005     0.00000     0.00000     0.00000
2009     17     1992      0.00531     0.00511     0.00020     0.00000     0.00000     0.00000
2009     18     1991      0.00956     0.00881     0.00069     0.00005     0.00000     0.00000
2009     19     1990      0.01662     0.01475     0.00172     0.00013     0.00001     0.00000
2009     20     1989      0.02372     0.01986     0.00348     0.00036     0.00002     0.00000
2009     21     1988      0.03063     0.02366     0.00602     0.00084     0.00010     0.00001
2009     22     1987      0.03711     0.02657     0.00874     0.00154     0.00021     0.00005
2009     23     1986      0.04395     0.02948     0.01143     0.00249     0.00046     0.00009
2009     24     1985      0.05189     0.03312     0.01445     0.00335     0.00076     0.00021
2009     25     1984      0.06139     0.03802     0.01762     0.00441     0.00106     0.00028
2009     26     1983      0.07033     0.04217     0.02091     0.00538     0.00138     0.00050
2009     27     1982      0.07907     0.04506     0.02495     0.00673     0.00167     0.00067
2009     28     1981      0.08634     0.04735     0.02840     0.00761     0.00205     0.00094
2009     29     1980      0.09286     0.04896     0.03147     0.00889     0.00242     0.00113
2009     30     1979      0.09732     0.04909     0.03431     0.00990     0.00279     0.00124
2009     31     1978      0.09853     0.04724     0.03600     0.01084     0.00296     0.00149
2009     32     1977      0.09569     0.04270     0.03692     0.01126     0.00316     0.00165
2009     33     1976      0.09027     0.03767     0.03582     0.01183     0.00333     0.00161
2009     34     1975      0.08320     0.03183     0.03398     0.01185     0.00365     0.00189
2009     35     1974      0.07264     0.02637     0.02945     0.01163     0.00334     0.00184
2009     36     1973      0.06246     0.02143     0.02485     0.01099     0.00328     0.00191
2009     37     1972      0.05009     0.01649     0.01993     0.00904     0.00289     0.00175
2009     38     1971      0.03898     0.01228     0.01535     0.00726     0.00250     0.00158
2009     39     1970      0.02941     0.00891     0.01117     0.00594     0.00204     0.00135
2009     40     1969      0.02118     0.00650     0.00769     0.00417     0.00166     0.00116
2009     41     1968      0.01415     0.00431     0.00488     0.00282     0.00117     0.00097
2009     42     1967      0.00843     0.00240     0.00286     0.00175     0.00078     0.00064
2009     43     1966      0.00484     0.00136     0.00153     0.00098     0.00050     0.00048
2009     44     1965      0.00261     0.00070     0.00067     0.00055     0.00031     0.00037
2009     45     1964      0.00129     0.00038     0.00032     0.00026     0.00014     0.00019
2009     46     1963      0.00056     0.00016     0.00014     0.00011     0.00006     0.00009
2009     47     1962      0.00025     0.00009     0.00005     0.00004     0.00002     0.00004
2009     48     1961      0.00015     0.00005     0.00004     0.00003     0.00002     0.00001
2009     49     1960      0.00008     0.00002     0.00002     0.00002     0.00001     0.00001
2009     50     1959      0.00005     0.00002     0.00001     0.00001     0.00000     0.00001
2009     51     1958      0.00003     0.00002     0.00001     0.00000     0.00000     0.00001
2009     52     1957      0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
2009     53     1956      0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2009     54     1955      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2009     55+    1954-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     12-    1998+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     13     1997      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2010     14     1996      0.00014     0.00014     0.00000     0.00000     0.00000     0.00000
2010     15     1995      0.00061     0.00061     0.00000     0.00000     0.00000     0.00000
2010     16     1994      0.00227     0.00222     0.00005     0.00000     0.00000     0.00000
2010     17     1993      0.00515     0.00492     0.00021     0.00001     0.00000     0.00000
2010     18     1992      0.00953     0.00881     0.00068     0.00003     0.00000     0.00000
2010     19     1991      0.01660     0.01460     0.00186     0.00012     0.00001     0.00000
2010     20     1990      0.02295     0.01909     0.00342     0.00038     0.00005     0.00000
2010     21     1989      0.02960     0.02287     0.00575     0.00084     0.00011     0.00001
2010     22     1988      0.03618     0.02581     0.00856     0.00154     0.00024     0.00003
2010     23     1987      0.04301     0.02877     0.01124     0.00246     0.00048     0.00006
2010     24     1986      0.05104     0.03261     0.01420     0.00339     0.00068     0.00016
2010     25     1985      0.06131     0.03797     0.01739     0.00455     0.00110     0.00030
2010     26     1984      0.07091     0.04247     0.02117     0.00547     0.00133     0.00047
2010     27     1983      0.07946     0.04571     0.02477     0.00661     0.00164     0.00072
2010     28     1982      0.08808     0.04858     0.02886     0.00776     0.00203     0.00085
2010     29     1981      0.09477     0.05022     0.03204     0.00900     0.00240     0.00111
2010     30     1980      0.09958     0.05055     0.03482     0.01007     0.00270     0.00143
2010     31     1979      0.10170     0.04889     0.03700     0.01110     0.00306     0.00165
2010     32     1978      0.09880     0.04397     0.03827     0.01161     0.00327     0.00168
2010     33     1977      0.09396     0.03901     0.03736     0.01231     0.00336     0.00191
2010     34     1976      0.08609     0.03321     0.03527     0.01236     0.00341     0.00184
2010     35     1975      0.07724     0.02795     0.03134     0.01238     0.00362     0.00195
2010     36     1974      0.06592     0.02229     0.02647     0.01165     0.00348     0.00204
2010     37     1973      0.05380     0.01715     0.02153     0.00993     0.00325     0.00194
2010     38     1972      0.04157     0.01295     0.01628     0.00803     0.00259     0.00171
2010     39     1971      0.03153     0.00949     0.01221     0.00630     0.00219     0.00135
2010     40     1970      0.02310     0.00686     0.00843     0.00480     0.00180     0.00121
2010     41     1969      0.01513     0.00465     0.00524     0.00300     0.00128     0.00096
2010     42     1968      0.00903     0.00259     0.00307     0.00185     0.00080     0.00073
2010     43     1967      0.00505     0.00145     0.00164     0.00102     0.00053     0.00041
2010     44     1966      0.00262     0.00070     0.00081     0.00053     0.00028     0.00030
2010     45     1965      0.00142     0.00039     0.00042     0.00028     0.00014     0.00018
2010     46     1964      0.00063     0.00015     0.00018     0.00014     0.00007     0.00008
2010     47     1963      0.00030     0.00009     0.00008     0.00006     0.00003     0.00005
2010     48     1962      0.00012     0.00004     0.00004     0.00001     0.00001     0.00002
2010     49     1961      0.00009     0.00003     0.00002     0.00001     0.00000     0.00002
2010     50     1960      0.00006     0.00002     0.00002     0.00001     0.00000     0.00000
2010     51     1959      0.00004     0.00001     0.00001     0.00001     0.00000     0.00001
2010     52     1958      0.00003     0.00001     0.00001     0.00000     0.00000     0.00001
2010     53     1957      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2010     54     1956      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2010     55+    1955-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2011     12-    1999+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2011     13     1998      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2011     14     1997      0.00013     0.00013     0.00000     0.00000     0.00000     0.00000
2011     15     1996      0.00068     0.00068     0.00001     0.00000     0.00000     0.00000
2011     16     1995      0.00210     0.00206     0.00003     0.00000     0.00000     0.00000
2011     17     1994      0.00475     0.00457     0.00018     0.00000     0.00000     0.00000
2011     18     1993      0.00866     0.00796     0.00065     0.00004     0.00001     0.00000
2011     19     1992      0.01566     0.01387     0.00164     0.00014     0.00001     0.00000
2011     20     1991      0.02174     0.01811     0.00319     0.00040     0.00004     0.00001
2011     21     1990      0.02791     0.02172     0.00539     0.00068     0.00010     0.00001
2011     22     1989      0.03326     0.02414     0.00762     0.00127     0.00020     0.00003
2011     23     1988      0.03985     0.02704     0.01028     0.00204     0.00042     0.00008
2011     24     1987      0.04785     0.03113     0.01286     0.00298     0.00069     0.00020
2011     25     1986      0.05781     0.03648     0.01611     0.00399     0.00094     0.00028
2011     26     1985      0.06764     0.04103     0.01957     0.00532     0.00125     0.00047
