Germany, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Total
1956     12-        0.07
1956     13         4.19
1956     14       104.87
1956     15       799.17
1956     16      3719.30
1956     17     12404.15
1956     18     27391.94
1956     19     44608.76
1956     20     59796.62
1956     21     70471.15
1956     22     70068.41
1956     23     66843.50
1956     24     69139.81
1956     25     71825.03
1956     26     71360.73
1956     27     68281.32
1956     28     64052.15
1956     29     59795.33
1956     30     56578.55
1956     31     52286.83
1956     32     47314.46
1956     33     43118.24
1956     34     40302.60
1956     35     36487.05
1956     36     28147.15
1956     37     17295.76
1956     38     11167.49
1956     39      9363.98
1956     40      8884.74
1956     41      8678.40
1956     42      6973.07
1956     43      4650.97
1956     44      2772.90
1956     45      1298.78
1956     46       598.59
1956     47       308.31
1956     48       146.89
1956     49        68.37
1956     50        31.93
1956     51        15.04
1956     52         7.25
1956     53         3.52
1956     54         1.45
1956     55+        0.17
1957     12-        0.07
1957     13         4.93
1957     14       104.75
1957     15       762.13
1957     16      3901.61
1957     17     13646.08
1957     18     29169.17
1957     19     46207.55
1957     20     60886.78
1957     21     72842.46
1957     22     79679.48
1957     23     74929.11
1957     24     69522.74
1957     25     70687.75
1957     26     71321.71
1957     27     69460.56
1957     28     65174.86
1957     29     59843.48
1957     30     55025.27
1957     31     51615.36
1957     32     47233.00
1957     33     42272.02
1957     34     38356.59
1957     35     35447.61
1957     36     31404.70
1957     37     23788.23
1957     38     14290.95
1957     39      8893.61
1957     40      7171.90
1957     41      6377.41
1957     42      5869.09
1957     43      4433.24
1957     44      2648.29
1957     45      1311.22
1957     46       623.16
1957     47       336.54
1957     48       166.21
1957     49        78.11
1957     50        36.35
1957     51        17.13
1957     52         8.15
1957     53         3.93
1957     54         1.58
1957     55+        0.20
1958     12-        0.05
1958     13         4.75
1958     14       103.44
1958     15       698.47
1958     16      3523.52
1958     17     13205.22
1958     18     30363.62
1958     19     48036.47
1958     20     61533.74
1958     21     72684.26
1958     22     81747.82
1958     23     84536.66
1958     24     76880.47
1958     25     68798.15
1958     26     68141.62
1958     27     67826.26
1958     28     65163.40
1958     29     60250.87
1958     30     54403.82
1958     31     49717.06
1958     32     46174.54
1958     33     41635.50
1958     34     36983.16
1958     35     33067.74
1958     36     29806.12
1958     37     25868.67
1958     38     19229.56
1958     39     11292.60
1958     40      6675.61
1958     41      5076.61
1958     42      4198.38
1958     43      3459.62
1958     44      2418.82
1958     45      1230.97
1958     46       564.10
1958     47       288.20
1958     48       146.35
1958     49        70.96
1958     50        33.59
1958     51        16.03
1958     52         7.78
1958     53         3.76
1958     54         1.53
1958     55+        0.18
1959     12-        0.08
1959     13         4.81
1959     14       128.15
1959     15       832.11
1959     16      3555.56
1959     17     13278.19
1959     18     32380.52
1959     19     54303.84
1959     20     69639.32
1959     21     79048.39
