Germany, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Total          B1          B2          B3          B4         B5p
2009     12-        0.17        0.17        0.00        0.00        0.00        0.00
2009     13        15.63       15.63        0.00        0.00        0.00        0.00
2009     14       134.29      133.70        0.59        0.00        0.00        0.00
2009     15       517.06      505.84       11.21        0.00        0.00        0.00
2009     16      1481.61     1438.91       42.44        0.13        0.15        0.00
2009     17      2987.38     2811.29      165.56        8.70        1.83        0.00
2009     18      5754.91     5194.19      516.09       42.27        2.35        0.00
2009     19      9339.88     8059.17     1170.62      104.18        5.91        0.00
2009     20     12813.89    10302.72     2214.87      269.62       25.81        0.88
2009     21     16165.31    12002.49     3517.01      555.99       71.78       18.03
2009     22     19213.49    13294.42     4784.31      948.84      151.97       33.95
2009     23     22228.53    14518.65     5999.91     1359.16      283.30       67.52
2009     24     26306.19    16520.88     7447.19     1798.50      423.62      115.99
2009     25     30770.34    18762.81     8978.03     2281.80      570.07      177.63
2009     26     35991.56    21037.89    11028.00     2912.29      731.82      281.55
2009     27     40353.28    22544.57    13017.95     3499.49      902.30      388.98
2009     28     44162.76    23750.43    14745.76     4055.70     1099.35      511.52
2009     29     45891.04    23684.20    15852.12     4529.02     1255.22      570.49
2009     30     45732.66    22526.51    16396.70     4834.24     1341.13      634.06
2009     31     45368.25    21023.18    17032.50     5151.54     1422.86      738.18
2009     32     42691.19    18454.37    16715.81     5291.77     1483.64      745.60
2009     33     39058.52    15634.71    15743.47     5326.67     1573.22      780.46
2009     34     35004.33    13041.64    14275.18     5273.97     1574.41      839.12
2009     35     30829.75    10892.08    12385.34     5188.38     1509.42      854.54
2009     36     26656.61     8961.05    10601.63     4759.49     1464.34      870.09
2009     37     23567.94     7597.46     9345.16     4307.65     1431.51      886.15
2009     38     19241.11     5938.62     7460.81     3735.74     1279.68      826.26
2009     39     14883.37     4532.18     5539.14     2980.17     1093.80      738.09
2009     40     11157.26     3426.30     3952.01     2205.22      893.79      679.94
2009     41      7361.47     2177.33     2521.92     1497.35      635.41      529.46
2009     42      4416.67     1248.04     1460.92      904.08      427.62      376.02
2009     43      2518.17      693.88      728.15      517.52      279.58      299.04
2009     44      1321.35      369.21      328.99      275.88      151.71      195.56
2009     45       625.10      181.44      156.50      126.12       66.61       94.42
2009     46       265.45       82.24       64.14       49.02       25.83       44.22
2009     47       130.57       45.40       30.41       25.18       12.79       16.79
2009     48        73.22       23.88       18.66       16.92        8.34        5.42
2009     49        39.97       12.95        9.02        8.04        4.98        4.99
2009     50        25.01       10.39        5.01        3.98        0.85        4.78
2009     51        15.51        7.83        3.25        2.31        0.00        2.12
2009     52         8.81        4.78        1.99        1.24        0.00        0.81
2009     53         4.39        2.45        1.10        0.59        0.00        0.26
2009     54         1.77        1.00        0.48        0.23        0.00        0.07
2009     55+        0.22        0.12        0.06        0.03        0.00        0.01
2010     12-        0.17        0.17        0.00        0.00        0.00        0.00
2010     13        16.47       16.47        0.00        0.00        0.00        0.00
2010     14       131.65      131.50        0.14        0.00        0.00        0.00
2010     15       488.93      481.41        7.53        0.00        0.00        0.00
2010     16      1404.38     1356.86       46.81        0.70        0.00        0.00
2010     17      2867.87     2695.14      161.91       10.54        0.14        0.14
2010     18      5293.15     4767.62      493.49       27.67        2.51        1.87
2010     19      8914.61     7619.24     1177.85      104.06       11.54        1.92
2010     20     12268.53     9839.99     2110.28      276.37       37.96        3.93
2010     21     15633.23    11592.83     3392.16      556.73       80.83       10.66
2010     22     19014.65    13110.59     4759.84      952.30      170.14       21.79
2010     23     22417.95    14626.79     6067.00     1394.56      278.32       51.28
2010     24     26235.89    16493.38     7373.99     1851.54      409.67      107.31
2010     25     30917.33    18833.23     8991.26     2343.74      571.58      177.54
2010     26     35241.63    20692.91    10755.99     2822.18      693.00      277.54
2010     27     40443.40    22773.91    12940.58     3464.16      883.67      381.08
2010     28     44713.84    24173.69    14895.31     4089.76     1082.84      472.23
2010     29     47973.38    24898.36    16489.47     4701.66     1258.54      625.36
2010     30     48658.47    24087.93    17327.24     5108.08     1388.93      746.29
2010     31     46847.84    21709.26    17589.64     5295.09     1479.47      774.37
2010     32     45042.00    19381.34    17696.38     5579.85     1548.65      835.79
2010     33     41370.58    16576.41    16714.45     5667.52     1550.06      862.13
2010     34     36794.68    13766.25    15031.33     5568.36     1581.78      846.97
2010     35     32194.60    11277.73    12992.34     5425.75     1601.04      897.75
2010     36     27310.34     8963.99    10952.54     4938.90     1544.08      910.83
2010     37     22515.22     7092.71     8921.11     4249.16     1382.15      870.07
2010     38     19293.79     5911.48     7527.60     3786.92     1260.12      807.67
2010     39     15385.43     4586.72     5805.86     3142.65     1130.37      719.84
2010     40     11215.29     3393.03     3988.63     2282.78      911.18      639.67
2010     41      7557.43     2257.55     2593.74     1518.58      649.59      537.97
2010     42      4562.81     1307.81     1519.51      930.76      436.68      368.04
2010     43      2524.02      700.33      803.21      511.19      268.10      241.19
2010     44      1365.56      369.90      414.03      273.36      140.08      168.20
2010     45       685.39      179.72      201.83      143.53       74.19       86.12
2010     46       317.29       84.08       89.35       66.82       32.88       44.15
2010     47       137.73       43.44       40.22       19.49       12.44       22.14
2010     48        71.03       25.18       20.72        7.21        5.08       12.84
2010     49        48.77       18.44       13.81        7.16        2.53        6.84
2010     50        31.34       11.08       10.31        4.76        1.16        4.02
2010     51        20.95        6.59        6.78        2.69        0.37        4.54
2010     52        11.49        3.84        3.89        1.43        0.19        2.14
2010     53         5.52        2.10        1.99        0.69        0.10        0.63
2010     54         2.12        0.89        0.78        0.27        0.04        0.14
2010     55+        0.25        0.11        0.09        0.03        0.01        0.01
2011     12-        0.15        0.13        0.00        0.02        0.00        0.00
2011     13        14.64       14.16        0.00        0.47        0.00        0.00
2011     14       145.34      144.36        0.46        0.51        0.00        0.00
2011     15       494.75      486.84        7.92        0.00        0.00        0.00
2011     16      1255.19     1221.88       32.98        0.32        0.00        0.00
2011     17      2553.88     2401.53      146.07        6.00        0.28        0.00
2011     18      4799.53     4320.94      440.50       34.42        3.54        0.14
2011     19      7804.91     6706.66      981.89      105.39        8.75        2.22
2011     20     11296.56     9079.41     1935.24      247.08       30.15        4.68
2011     21     14472.43    10872.14     3073.65      448.09       67.73       10.81
2011     22     17495.73    12253.53     4285.93      788.39      143.10       24.79
2011     23     21240.70    14084.76     5613.42     1211.35      267.69       63.48
2011     24     25450.99    16295.05     6966.23     1675.97      395.59      118.15
2011     25     29608.79    18320.10     8405.11     2194.82      515.50      173.26
2011     26     33841.89    20182.96    10039.74     2685.76      670.26      263.16
2011     27     38100.13    21953.56    11882.45     3093.42      818.37      352.34
2011     28     43240.28    23766.55    14257.03     3759.99      986.78      469.92
2011     29     46676.58    24596.06    16031.21     4347.36     1134.35      567.61
2011     30     49010.96    24652.65    17402.73     4983.45     1322.55      649.57
2011     31     48246.14    22681.63    17950.62     5437.87     1451.63      724.40
2011     32     44694.35    19322.12    17636.66     5504.07     1456.87      774.63
2011     33     41682.68    16629.72    17131.19     5583.13     1516.08      822.57
2011     34     37517.72    14118.47    15510.23     5478.54     1542.70      867.77
2011     35     32525.01    11556.92    13314.54     5247.71     1512.20      893.64
2011     36     27458.31     9165.75    11080.89     4880.26     1454.54      876.87
2011     37     22193.91     6980.90     8843.98     4185.86     1351.41      831.76
2011     38     17755.28     5411.20     6913.57     3493.56     1188.46      748.49
2011     39     14915.05     4526.39     5706.39     2934.39     1046.79      701.09
2011     40     11066.62     3308.07     4097.65     2173.72      866.93      620.24
2011     41      7245.53     2102.70     2554.42     1479.01      655.75      453.66
2011     42      4549.88     1294.72     1550.49      936.83      437.22      330.62
2011     43      2603.62      724.06      847.47      537.59      248.82      245.68
2011     44      1390.70      377.33      407.87      304.65      143.59      157.26
2011     45       680.76      184.98      174.21      145.41       84.24       91.91
2011     46       293.56       86.61       78.05       50.44       37.51       40.96
2011     47       142.77       46.28       37.73       22.26       14.53       21.96
2011     48        82.63       26.24       22.82       12.85        6.69       14.05
2011     49        50.70       17.76       13.85        6.18        4.47        8.44
2011     50        35.91       14.71        7.91        3.34        3.38        6.55
2011     51        26.40       11.21        7.27        2.31        2.09        3.52
2011     52        14.72        6.57        4.54        1.31        0.98        1.33
2011     53         6.60        3.08        2.18        0.61        0.36        0.37
2011     54         2.44        1.17        0.83        0.24        0.11        0.10
2011     55+        0.29        0.14        0.10        0.03        0.01        0.01
2012     12-        0.15        0.14        0.02        0.00        0.00        0.00
2012     13        15.01       14.63        0.38        0.00        0.00        0.00
2012     14       137.11      135.68        1.43        0.00        0.00        0.00
2012     15       490.03      483.05        6.81        0.17        0.00        0.00
2012     16      1261.69     1225.04       35.36        1.29        0.00        0.00
2012     17      2493.27     2348.36      137.49        7.42        0.00        0.00
2012     18      4495.19     4020.03      438.61       35.89        0.65        0.00
2012     19      7554.03     6423.51     1018.59      101.34       10.60        0.00
2012     20     10577.07     8402.76     1887.54      259.50       26.78        0.50
2012     21     13871.83    10249.26     3047.09      489.48       75.70       10.31
2012     22     17115.37    11928.78     4205.86      815.38      143.51       21.85
2012     23     20918.96    13783.90     5601.75     1239.05      250.22       44.04
2012     24     25462.81    16215.93     7064.19     1682.81      409.31       90.56
2012     25     30404.60    18806.98     8674.03     2167.50      586.64      169.48
2012     26     34579.17    20580.72    10384.42     2640.30      716.85      256.89
2012     27     38667.20    22135.29    12197.00     3149.69      831.84      353.37
2012     28     42312.31    23253.56    13920.66     3730.89      975.16      432.04
2012     29     47027.29    24953.26    16035.54     4344.69     1156.01      537.78
2012     30     50170.78    25334.66    17849.37     5005.94     1327.67      653.14
2012     31     50486.31    23790.06    18881.77     5549.96     1512.30      752.22
2012     32     47513.38    20718.30    18681.64     5734.10     1559.82      819.52
2012     33     42981.04    17203.93    17701.62     5684.06     1547.69      843.74
2012     34     39154.22    14545.50    16486.31     5619.20     1607.01      896.20
2012     35     34173.92    12012.28    14298.77     5371.45     1603.15      888.27
2012     36     28449.00     9370.60    11719.69     4952.47     1548.74      857.52
2012     37     22819.69     7042.05     9236.41     4338.23     1421.17      781.84
2012     38     18021.65     5362.22     7092.23     3609.77     1253.93      703.49
2012     39     14112.40     4182.40     5349.26     2880.93     1032.86      666.95
2012     40     10883.53     3275.47     3969.08     2186.93      854.09      597.94
2012     41      7311.32     2147.02     2569.21     1467.45      651.52      476.12
2012     42      4545.33     1290.57     1543.44      928.39      429.88      353.05
2012     43      2649.66      750.24      861.80      538.54      256.52      242.55
2012     44      1411.51      393.52      428.33      283.14      145.17      161.37
2012     45       730.88      198.61      204.86      144.67       82.57      100.16
2012     46       345.83      111.16       91.93       61.51       38.33       42.90
2012     47       173.78       67.35       47.68       21.61       19.77       17.37
