Germany, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total
1956    12-        .            0.07
1956    13      1943            0.24
1956    13      1942            3.95
1956    14      1942           11.42
1956    14      1941           93.45
1956    15      1941          190.93
1956    15      1940          608.24
1956    16      1940          978.08
1956    16      1939         2741.22
1956    17      1939         4200.16
1956    17      1938         8203.99
1956    18      1938        10950.82
1956    18      1937        16441.12
1956    19      1937        19423.01
1956    19      1936        25185.75
1956    20      1936        27543.73
1956    20      1935        32252.89
1956    21      1935        34034.28
1956    21      1934        36436.87
1956    22      1934        37522.83
1956    22      1933        32545.58
1956    23      1933        32765.40
1956    23      1932        34078.10
1956    24      1932        33853.40
1956    24      1931        35286.41
1956    25      1931        34719.50
1956    25      1930        37105.53
1956    26      1930        36247.05
1956    26      1929        35113.68
1956    27      1929        34262.10
1956    27      1928        34019.22
1956    28      1928        33059.12
1956    28      1927        30993.03
1956    29      1927        29941.08
1956    29      1926        29854.25
1956    30      1926        28613.37
1956    30      1925        27965.18
1956    31      1925        26892.72
1956    31      1924        25394.11
1956    32      1924        24418.79
1956    32      1923        22895.67
1956    33      1923        21785.21
1956    33      1922        21333.03
1956    34      1922        20267.23
1956    34      1921        20035.37
1956    35      1921        18918.37
1956    35      1920        17568.68
1956    36      1920        16563.10
1956    36      1919        11584.05
1956    37      1919        10874.41
1956    37      1918         6421.35
1956    38      1918         5997.12
1956    38      1917         5170.37
1956    39      1917         4782.61
1956    39      1916         4581.37
1956    40      1916         4170.37
1956    40      1915         4714.37
1956    41      1915         4232.41
1956    41      1914         4445.99
1956    42      1914         3907.67
1956    42      1913         3065.40
1956    43      1913         2633.73
1956    43      1912         2017.24
1956    44      1912         1674.49
1956    44      1911         1098.41
1956    45      1911          835.97
1956    45      1910          462.81
1956    46      1910          357.12
1956    46      1909          241.47
1956    47      1909          190.08
1956    47      1908          118.23
1956    48      1908           91.91
1956    48      1907           54.98
1956    49      1907           42.51
1956    49      1906           25.86
1956    50      1906           20.04
1956    50      1905           11.89
1956    51      1905            9.27
1956    51      1904            5.77
1956    52      1904            4.53
1956    52      1903            2.72
1956    53      1903            2.15
1956    53      1902            1.37
1956    54      1902            0.95
1956    54      1901            0.50
1956    55+        .            0.17
1957    12-        .            0.07
1957    13      1944            0.24
1957    13      1943            4.69
1957    14      1943           14.12
1957    14      1942           90.63
1957    15      1942          183.28
1957    15      1941          578.85
1957    16      1941          917.31
1957    16      1940         2984.30
1957    17      1940         4688.48
1957    17      1939         8957.60
1957    18      1939        11833.53
1957    18      1938        17335.64
1957    19      1938        20685.24
1957    19      1937        25522.31
1957    20      1937        28073.16
