Germany, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
2009    12-        .            0.17           0.17           0.00           0.00           0.00           0.00
2009    13      1996            0.79           0.79           0.00           0.00           0.00           0.00
2009    13      1995           14.84          14.84           0.00           0.00           0.00           0.00
2009    14      1995           37.19          37.19           0.00           0.00           0.00           0.00
2009    14      1994           97.10          96.51           0.59           0.00           0.00           0.00
2009    15      1994          146.90         143.49           3.41           0.00           0.00           0.00
2009    15      1993          370.16         362.35           7.80           0.00           0.00           0.00
2009    16      1993          546.84         535.65          11.20           0.00           0.00           0.00
2009    16      1992          934.77         903.26          31.24           0.13           0.15           0.00
2009    17      1992         1207.23        1155.74          49.76           0.87           0.85           0.00
2009    17      1991         1780.15        1655.55         115.80           7.83           0.98           0.00
2009    18      1991         2228.85        2039.45         173.20          15.17           1.02           0.00
2009    18      1990         3526.06        3154.74         342.89          27.10           1.33           0.00
2009    19      1990         4177.94        3685.26         456.11          34.90           1.67           0.00
2009    19      1989         5161.94        4373.91         714.51          69.28           4.24           0.00
2009    20      1989         5814.06        4816.09         895.49          95.72           6.76           0.00
2009    20      1988         6999.83        5486.63        1319.38         173.90          19.05           0.88
2009    21      1988         7690.17        5859.37        1568.62         227.10          28.95           6.12
2009    21      1987         8475.14        6143.12        1948.39         328.89          42.83          11.91
2009    22      1987         9134.86        6465.88        2199.61         400.11          55.17          14.09
2009    22      1986        10078.63        6828.54        2584.70         548.73          96.80          19.86
2009    23      1986        10730.37        7128.46        2825.30         630.27         122.20          24.14
2009    23      1985        11498.16        7390.19        3174.61         728.89         161.10          43.38
2009    24      1985        12487.84        7918.81        3503.39         821.11         189.90          54.62
2009    24      1984        13818.35        8602.07        3943.80         977.39         233.72          61.37
2009    25      1984        14745.65        9087.93        4253.20        1072.61         261.28          70.63
2009    25      1983        16024.69        9674.88        4724.83        1209.19         308.79         107.00
2009    26      1983        17205.31       10249.12        5152.17        1333.81         342.21         128.00
2009    26      1982        18786.25       10788.77        5875.83        1578.48         389.61         153.55
2009    27      1982        19719.75       11155.23        6273.17        1697.52         421.39         172.45
2009    27      1981        20633.53       11389.34        6744.78        1801.97         480.91         216.53
2009    28      1981        21624.47       11783.66        7153.22        1924.03         522.09         241.47
2009    28      1980        22538.29       11966.77        7592.54        2131.67         577.26         270.05
2009    29      1980        23228.71       12163.23        7915.46        2250.33         613.74         285.95
2009    29      1979        22662.33       11520.97        7936.66        2278.69         641.48         284.54
2009    30      1979        23192.67       11606.03        8226.34        2386.31         672.52         301.46
2009    30      1978        22539.99       10920.48        8170.36        2447.93         668.61         332.60
2009    31      1978        23333.01       11075.52        8589.64        2597.07         708.39         362.40
2009    31      1977        22035.24        9947.66        8442.86        2554.47         714.47         375.78
2009    32      1977        22213.76        9797.34        8630.14        2651.53         745.53         389.22
2009    32      1976        20477.43        8657.03        8085.67        2640.24         738.11         356.38
2009    33      1976        20701.57        8528.97        8256.33        2756.76         782.89         376.62
2009    33      1975        18356.95        7105.74        7487.14        2569.91         790.33         403.84
2009    34      1975        18558.05        7017.26        7591.86        2687.09         828.67         433.16
2009    34      1974        16446.28        6024.38        6683.32        2586.88         745.74         405.96
2009    35      1974        16458.72        5920.62        6658.68        2683.12         769.26         427.04
2009    35      1973        14371.03        4971.46        5726.66        2505.26         740.16         427.50
2009    36      1973        14288.97        4861.54        5676.34        2538.74         763.84         448.50
2009    36      1972        12367.64        4099.51        4925.29        2220.75         700.50         421.59
2009    37      1972        12655.36        4135.49        5031.71        2294.25         741.50         452.41
2009    37      1971        10912.58        3461.97        4313.45        2013.40         690.01         433.74
2009    38      1971        10572.42        3308.03        4145.55        1990.60         688.99         439.26
2009    38      1970         8668.69        2630.59        3315.26        1745.14         590.69         387.00
2009    39      1970         8203.31        2482.41        3094.74        1662.86         578.31         385.00
2009    39      1969         6680.06        2049.77        2444.40        1317.31         515.49         353.09
2009    40      1969         6375.94        1958.23        2295.60        1255.69         505.51         360.91
2009    40      1968         4781.32        1468.07        1656.41         949.53         388.28         319.03
2009    41      1968         4375.68        1322.93        1501.59         877.47         365.72         307.97
2009    41      1967         2985.79         854.40        1020.33         619.88         269.69         221.49
2009    42      1967         2632.21         744.60         885.67         546.12         247.31         208.51
2009    42      1966         1784.46         503.44         575.25         357.96         180.31         167.51
2009    43      1966         1542.54         431.56         472.75         312.04         163.69         162.49
2009    43      1965          975.63         262.32         255.40         205.48         115.89         136.55
2009    44      1965          820.37         222.68         206.60         172.52          97.11         121.45
2009    44      1964          500.98         146.53         122.39         103.36          54.60          74.11
2009    45      1964          406.02         119.47          99.61          82.64          43.40          60.89
2009    45      1963          219.08          61.97          56.89          43.48          23.21          33.53
2009    46      1963          173.92          51.03          44.11          33.52          17.79          27.47
2009    46      1962           91.53          31.21          20.03          15.50           8.04          16.75
2009    47      1962           76.47          26.79          16.97          13.50           6.96          12.25
2009    47      1961           54.10          18.61          13.44          11.68           5.83           4.54
2009    48      1961           45.90          15.39          11.56          10.32           5.17           3.46
2009    48      1960           27.32           8.49           7.10           6.60           3.17           1.96
2009    49      1960           23.68           7.51           5.90           5.40           2.83           2.04
2009    49      1959           16.29           5.44           3.12           2.64           2.15           2.95
2009    50      1959           14.71           5.56           2.88           2.36           0.85           3.05
2009    50      1958           10.30           4.83           2.13           1.62           0.00           1.73
2009    51      1958            9.13           4.49           1.89           1.38           0.00           1.37
2009    51      1957            6.38           3.34           1.36           0.93           0.00           0.75
2009    52      1957            5.47           2.93           1.20           0.78           0.00           0.56
2009    52      1956            3.34           1.85           0.79           0.46           0.00           0.25
2009    53      1956            2.78           1.55           0.68           0.38           0.00           0.18
2009    53      1955            1.61           0.90           0.42           0.21           0.00           0.08
2009    54      1955            1.17           0.66           0.31           0.15           0.00           0.05
2009    54      1954            0.60           0.34           0.17           0.08           0.00           0.02
2009    55+        .            0.22           0.12           0.06           0.03           0.00           0.01
2010    12-        .            0.17           0.17           0.00           0.00           0.00           0.00
2010    13      1997            0.81           0.81           0.00           0.00           0.00           0.00
2010    13      1996           15.66          15.66           0.00           0.00           0.00           0.00
2010    14      1996           38.36          38.36           0.00           0.00           0.00           0.00
2010    14      1995           93.29          93.14           0.14           0.00           0.00           0.00
2010    15      1995          136.71         135.86           0.86           0.00           0.00           0.00
2010    15      1994          352.22         345.55           6.67           0.00           0.00           0.00
2010    16      1994          517.78         504.45          13.33           0.00           0.00           0.00
2010    16      1993          886.60         852.41          33.48           0.70           0.00           0.00
2010    17      1993         1152.40        1097.59          50.52           4.30           0.00           0.00
2010    17      1992         1715.47        1597.55         111.39           6.24           0.14           0.14
2010    18      1992         2134.53        1961.45         163.61           7.76           0.86           0.86
2010    18      1991         3158.62        2806.17         329.88          19.91           1.65           1.01
2010    19      1991         3850.38        3358.83         457.12          31.09           2.35           0.99
2010    19      1990         5064.23        4260.41         720.73          72.97           9.19           0.93
2010    20      1990         5676.77        4675.59         881.27         104.03          14.81           1.07
2010    20      1989         6591.76        5164.40        1229.01         172.34          23.15           2.86
2010    21      1989         7244.24        5529.60        1458.99         221.66          29.85           4.14
2010    21      1988         8388.99        6063.23        1933.17         335.07          50.98           6.52
2010    22      1988         9108.01        6419.77        2205.83         407.93          66.02           8.48
2010    22      1987         9906.64        6690.82        2554.01         544.37         104.12          13.31
2010    23      1987        10665.36        7068.18        2820.99         631.63         126.88          17.69
2010    23      1986        11752.59        7558.61        3246.01         762.93         151.44          33.59
2010    24      1986        12577.41        7987.39        3520.99         851.07         173.56          44.41
2010    24      1985        13658.48        8505.99        3853.00        1000.47         236.11          62.90
2010    25      1985        14834.52        9140.01        4230.00        1114.53         272.89          77.10
2010    25      1984        16082.81        9693.22        4761.26        1229.21         298.69         100.44
2010    26      1984        17046.19       10151.78        5127.74        1325.79         323.31         117.56
2010    26      1983        18195.44       10541.13        5628.25        1496.39         369.69         159.98
2010    27      1983        19445.56       11111.87        6107.75        1634.61         408.31         183.02
2010    27      1982        20997.84       11662.04        6832.83        1829.55         475.36         198.06
2010    28      1982        21974.16       12038.96        7249.17        1956.45         514.64         214.94
2010    28      1981        22739.68       12134.73        7646.14        2133.31         568.20         257.29
2010    29      1981        23705.32       12477.27        8056.86        2275.69         608.80         286.71
2010    29      1980        24268.06       12421.09        8432.61        2425.97         649.74         338.65
2010    30      1980        24845.94       12512.91        8740.39        2542.03         684.26         366.35
2010    30      1979        23812.53       11575.02        8586.85        2566.05         704.67         379.94
2010    31      1979        24129.47       11472.98        8855.15        2666.95         738.33         396.06
2010    31      1978        22718.37       10236.28        8734.49        2628.14         741.14         378.31
2010    32      1978        23317.63       10251.72        9099.51        2780.86         782.86         402.69
2010    32      1977        21724.37        9129.62        8596.87        2798.99         765.79         433.10
2010    33      1977        21755.63        8924.38        8691.13        2899.01         790.21         450.90
2010    33      1976        19614.95        7652.03        8023.32        2768.51         759.85         411.23
2010    34      1976        19684.05        7505.97        8077.68        2874.49         798.15         427.77
2010    34      1975        17110.63        6260.28        6953.65        2693.87         783.63         419.20
2010    35      1975        17176.37        6145.72        6956.35        2801.13         825.37         447.80
2010    35      1974        15018.23        5132.01        6035.99        2624.62         775.67         449.95
2010    36      1974        14847.77        4965.99        5954.01        2655.38         800.33         472.05
2010    36      1973        12462.57        3998.00        4998.53        2283.52         743.75         438.78
2010    37      1973        12214.43        3867.00        4876.47        2271.48         748.25         451.22
2010    37      1972        10300.79        3225.71        4044.64        1977.68         633.90         418.85
2010    38      1972        10444.21        3238.29        4080.36        2031.32         658.10         436.15
2010    38      1971         8849.58        2673.19        3447.24        1755.60         602.02         371.52
2010    39      1971         8513.42        2552.81        3274.76        1711.40         601.98         372.48
2010    39      1970         6872.01        2033.91        2531.10        1431.25         528.39         347.36
2010    40      1970         6365.99        1895.09        2300.90        1320.75         505.61         343.64
2010    40      1969         4849.30        1497.94        1687.73         962.03         405.57         296.03
2010    41      1969         4469.70        1368.06        1539.27         886.97         381.43         293.97
2010    41      1968         3087.73         889.49        1054.47         631.61         268.16         244.00
2010    42      1968         2749.27         784.51         927.53         563.39         248.84         225.00
2010    42      1967         1813.54         523.30         591.98         367.37         187.84         143.04
2010    43      1967         1553.46         441.70         500.02         314.63         165.16         131.96
2010    43      1966          970.56         258.63         303.19         196.56         102.94         109.23
2010    44      1966          829.44         220.37         254.81         167.44          87.06          99.77
2010    44      1965          536.12         149.53         159.22         105.92          53.02          68.43
2010    45      1965          440.88         120.47         129.78          89.08          44.98          56.57
2010    45      1964          244.51          59.25          72.05          54.45          29.21          29.55
2010    46      1964          199.49          49.75          57.95          43.55          22.79          25.45
2010    46      1963          117.80          34.33          31.40          23.27          10.09          18.70
