Germany, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total
1956    12-   1944+        0.00
1956    13    1943         0.31
1956    14    1942        15.37
1956    15    1941       284.38
1956    16    1940      1586.32
1956    17    1939      6941.38
1956    18    1938     19154.81
1956    19    1937     35864.13
1956    20    1936     52729.48
1956    21    1935     66287.17
1956    22    1934     73959.70
1956    23    1933     65310.98
1956    24    1932     67931.50
1956    25    1931     70005.91
1956    26    1930     73352.58
1956    27    1929     69375.78
1956    28    1928     67078.34
1956    29    1927     60934.11
1956    30    1926     58467.62
1956    31    1925     54857.90
1956    32    1924     49812.90
1956    33    1923     44680.88
1956    34    1922     41600.26
1956    35    1921     38953.74
1956    36    1920     34131.78
1956    37    1919     22458.46
1956    38    1918     12418.47
1956    39    1917      9952.98
1956    40    1916      8751.74
1956    41    1915      8946.78
1956    42    1914      8353.66
1956    43    1913      5699.13
1956    44    1912      3691.73
1956    45    1911      1934.38
1956    46    1910       819.93
1956    47    1909       431.55
1956    48    1908       210.14
1956    49    1907        97.49
1956    50    1906        45.90
1956    51    1905        21.16
1956    52    1904        10.30
1956    53    1903         4.87
1956    54    1902         2.32
1956    55+   1901-        0.67
1957    12-   1945+        0.00
1957    13    1944         0.31
1957    14    1943        18.81
1957    15    1942       273.91
1957    16    1941      1496.16
1957    17    1940      7672.78
1957    18    1939     20791.13
1957    19    1938     38020.88
1957    20    1937     53595.47
1957    21    1936     67195.86
1957    22    1935     77634.93
1957    23    1934     80921.27
1957    24    1933     68521.00
1957    25    1932     70267.18
1957    26    1931     70663.21
1957    27    1930     71880.34
1957    28    1929     67131.86
1957    29    1928     63207.45
1957    30    1927     56547.78
1957    31    1926     53446.46
1957    32    1925     50008.11
1957    33    1924     44581.55
1957    34    1923     39905.08
1957    35    1922     36819.76
1957    36    1921     33997.47
1957    37    1920     28960.96
1957    38    1919     18838.92
1957    39    1918     10007.03
1957    40    1917      7809.79
1957    41    1916      6514.66
1957    42    1915      6219.64
1957    43    1914      5492.56
1957    44    1913      3450.35
1957    45    1912      1930.20
1957    46    1911       828.03
1957    47    1910       461.58
1957    48    1909       234.45
1957    49    1908       111.89
1957    50    1907        51.59
1957    51    1906        24.45
1957    52    1905        11.40
1957    53    1904         5.57
1957    54    1903         2.48
1957    55+   1902-        0.76
1958    12-   1946+        0.00
1958    13    1945         0.25
1958    14    1944        17.85
1958    15    1943       274.93
1958    16    1942      1335.11
1958    17    1941      6818.60
1958    18    1940     21215.84
1958    19    1939     39841.45
1958    20    1938     55801.84
1958    21    1937     66538.77
1958    22    1936     78344.80
1958    23    1935     84432.32
1958    24    1934     84062.30
1958    25    1933     69185.01
1958    26    1932     68153.91
1958    27    1931     67829.89
1958    28    1930     67669.87
1958    29    1929     62643.44
1958    30    1928     57770.01
1958    31    1927     51117.44
1958    32    1926     48168.18
