Germany, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
2009    12-   1997+        0.00        0.00        0.00        0.00        0.00        0.00
2009    13    1996         0.96        0.96        0.00        0.00        0.00        0.00
2009    14    1995        52.03       52.03        0.00        0.00        0.00        0.00
2009    15    1994       244.00      240.00        4.00        0.00        0.00        0.00
2009    16    1993       917.00      898.00       19.00        0.00        0.00        0.00
2009    17    1992      2142.00     2059.00       81.00        1.00        1.00        0.00
2009    18    1991      4009.00     3695.00      289.00       23.00        2.00        0.00
2009    19    1990      7704.00     6840.00      799.00       62.00        3.00        0.00
2009    20    1989     10976.00     9190.00     1610.00      165.00       11.00        0.00
2009    21    1988     14690.00    11346.00     2888.00      401.00       48.00        7.00
2009    22    1987     17610.00    12609.00     4148.00      729.00       98.00       26.00
2009    23    1986     20809.00    13957.00     5410.00     1179.00      219.00       44.00
2009    24    1985     23986.00    15309.00     6678.00     1550.00      351.00       98.00
2009    25    1984     28564.00    17690.00     8197.00     2050.00      495.00      132.00
2009    26    1983     33230.00    19924.00     9877.00     2543.00      651.00      235.00
2009    27    1982     38506.00    21944.00    12149.00     3276.00      811.00      326.00
2009    28    1981     42258.00    23173.00    13898.00     3726.00     1003.00      458.00
2009    29    1980     45767.00    24130.00    15508.00     4382.00     1191.00      556.00
2009    30    1979     45855.00    23127.00    16163.00     4665.00     1314.00      586.00
2009    31    1978     45873.00    21996.00    16760.00     5045.00     1377.00      695.00
2009    32    1977     44249.00    19745.00    17073.00     5206.00     1460.00      765.00
2009    33    1976     41179.00    17186.00    16342.00     5397.00     1521.00      733.00
2009    34    1975     36915.00    14123.00    15079.00     5257.00     1619.00      837.00
2009    35    1974     32905.00    11945.00    13342.00     5270.00     1515.00      833.00
2009    36    1973     28660.00     9833.00    11403.00     5044.00     1504.00      876.00
2009    37    1972     25023.00     8235.00     9957.00     4515.00     1442.00      874.00
2009    38    1971     21485.00     6770.00     8459.00     4004.00     1379.00      873.00
2009    39    1970     16872.00     5113.00     6410.00     3408.00     1169.00      772.00
2009    40    1969     13056.00     4008.00     4740.00     2573.00     1021.00      714.00
2009    41    1968      9157.00     2791.00     3158.00     1827.00      754.00      627.00
2009    42    1967      5618.00     1599.00     1906.00     1166.00      517.00      430.00
2009    43    1966      3327.00      935.00     1048.00      670.00      344.00      330.00
2009    44    1965      1796.00      485.00      462.00      378.00      213.00      258.00
2009    45    1964       907.00      266.00      222.00      186.00       98.00      135.00
2009    46    1963       393.00      113.00      101.00       77.00       41.00       61.00
2009    47    1962       168.00       58.00       37.00       29.00       15.00       29.00
2009    48    1961       100.00       34.00       25.00       22.00       11.00        8.00
2009    49    1960        51.00       16.00       13.00       12.00        6.00        4.00
