Germany, Crude birth rate
Last modified: 04/02/2019
Year      CBR
1956    15.98
1957    16.36
1958    16.38
1959    17.20
1960    17.31
1961    17.89
1962    17.78
1963    18.14
1964    18.02
1965    17.44
1966    17.21
1967    16.53
1968    15.71
1969    14.66
1970    13.40
1971    12.94
1972    11.46
1973    10.34
1974    10.20
1975     9.94
1976    10.19
1977    10.31
1978    10.35
1979    10.46
1980    11.06
1981    11.00
1982    11.00
1983    10.60
1984    10.43
1985    10.48
1986    10.92
1987    11.15
1988    11.43
1989    11.19
1990    11.43
1991    10.40
1992    10.07
1993     9.88
1994     9.50
1995     9.43
1996     9.79
1997     9.98
1998     9.66
1999     9.48
2000     9.43
2001     9.03
2002     8.83
2003     8.68
2004     8.68
2005     8.44
2006     8.30
2007     8.47
2008     8.46
2009     8.26
2010     8.44
2011     8.25
2012     8.38
2013     8.46
2014     8.83
2015     9.03
2016     9.62
2017     9.50
