Germany, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 04/02/2019
Cohort  Age     CCFR
1941    12         .
1941    13         .
1941    14         .
1941    15     0.000
1941    16     0.001
1941    17     0.007
1941    18     0.029
1941    19     0.081
1941    20     0.170
1941    21     0.290
1941    22     0.435
1941    23     0.598
1941    24     0.767
1941    25     0.936
1941    26     1.099
1941    27     1.249
1941    28     1.380
1941    29     1.490
1941    30     1.583
1941    31     1.658
1941    32     1.716
1941    33     1.761
1941    34     1.798
1941    35     1.828
1941    36     1.852
1941    37     1.870
1941    38     1.884
1941    39     1.895
1941    40     1.902
1941    41     1.908
1941    42     1.911
1941    43     1.913
1941    44     1.915
1941    45     1.915
1941    46     1.916
1941    47     1.916
1941    48     1.916
1941    49     1.916
1941    50     1.916
1941    51     1.916
1941    52     1.916
1941    53     1.916
1941    54     1.916
1941    55     1.916
1942    12         .
1942    13         .
1942    14     0.000
1942    15     0.000
1942    16     0.002
1942    17     0.009
1942    18     0.033
1942    19     0.089
1942    20     0.181
1942    21     0.304
1942    22     0.450
1942    23     0.611
1942    24     0.778
1942    25     0.944
1942    26     1.099
1942    27     1.238
1942    28     1.356
1942    29     1.457
1942    30     1.541
1942    31     1.607
1942    32     1.661
1942    33     1.706
1942    34     1.743
1942    35     1.774
1942    36     1.798
1942    37     1.816
1942    38     1.831
1942    39     1.842
1942    40     1.851
1942    41     1.856
1942    42     1.860
1942    43     1.862
1942    44     1.863
1942    45     1.864
1942    46     1.864
1942    47     1.865
1942    48     1.865
1942    49     1.865
1942    50     1.865
1942    51     1.865
1942    52     1.865
1942    53     1.865
1942    54     1.865
1942    55     1.865
1943    12         .
1943    13     0.000
1943    14     0.000
1943    15     0.000
1943    16     0.002
1943    17     0.010
1943    18     0.037
1943    19     0.097
1943    20     0.193
1943    21     0.321
1943    22     0.471
1943    23     0.634
1943    24     0.801
1943    25     0.961
1943    26     1.106
1943    27     1.233
1943    28     1.343
1943    29     1.437
1943    30     1.513
1943    31     1.575
1943    32     1.628
1943    33     1.672
1943    34     1.709
1943    35     1.739
1943    36     1.763
1943    37     1.782
1943    38     1.797
1943    39     1.808
1943    40     1.815
1943    41     1.821
1943    42     1.824
1943    43     1.827
1943    44     1.828
1943    45     1.829
1943    46     1.829
1943    47     1.829
1943    48     1.829
1943    49     1.829
1943    50     1.829
1943    51     1.829
1943    52     1.829
1943    53     1.829
1943    54     1.829
1943    55     1.829
1944    12     0.000
1944    13     0.000
1944    14     0.000
1944    15     0.000
1944    16     0.002
1944    17     0.012
1944    18     0.043
1944    19     0.108
1944    20     0.212
1944    21     0.346
1944    22     0.501
1944    23     0.667
1944    24     0.830
1944    25     0.979
1944    26     1.112
1944    27     1.229
1944    28     1.330
1944    29     1.414
1944    30     1.484
1944    31     1.545
1944    32     1.598
1944    33     1.642
1944    34     1.679
1944    35     1.708
1944    36     1.733
1944    37     1.753
1944    38     1.768
1944    39     1.778
1944    40     1.786
1944    41     1.791
1944    42     1.795
1944    43     1.797
1944    44     1.799
1944    45     1.799
1944    46     1.800
1944    47     1.800
1944    48     1.800
1944    49     1.800
1944    50     1.800
1944    51     1.800
1944    52     1.800
1944    53     1.800
1944    54     1.800
1944    55     1.800
1945    12     0.000
1945    13     0.000
1945    14     0.000
1945    15     0.000
1945    16     0.003
1945    17     0.014
1945    18     0.048
1945    19     0.120
1945    20     0.231
1945    21     0.371
1945    22     0.531
1945    23     0.696
1945    24     0.849
1945    25     0.985
1945    26     1.109
1945    27     1.219
1945    28     1.311
1945    29     1.391
1945    30     1.463
1945    31     1.526
1945    32     1.580
1945    33     1.626
1945    34     1.665
1945    35     1.697
1945    36     1.724
1945    37     1.744
1945    38     1.760
1945    39     1.771
1945    40     1.779
1945    41     1.785
1945    42     1.789
1945    43     1.791
1945    44     1.793
1945    45     1.794
1945    46     1.794
1945    47     1.795
1945    48     1.795
1945    49     1.795
1945    50     1.795
1945    51     1.795
1945    52     1.795
1945    53     1.795
1945    54     1.795
1945    55     1.795
1946    12     0.000
1946    13     0.000
1946    14     0.000
1946    15     0.000
1946    16     0.003
1946    17     0.015
1946    18     0.053
1946    19     0.128
1946    20     0.244
1946    21     0.391
1946    22     0.553
1946    23     0.712
1946    24     0.854
1946    25     0.986
1946    26     1.104
1946    27     1.206
1946    28     1.297
1946    29     1.380
1946    30     1.454
1946    31     1.520
1946    32     1.576
1946    33     1.623
1946    34     1.662
1946    35     1.696
1946    36     1.723
1946    37     1.743
1946    38     1.758
1946    39     1.770
1946    40     1.778
1946    41     1.784
1946    42     1.789
1946    43     1.791
1946    44     1.793
1946    45     1.794
1946    46     1.794
1946    47     1.794
1946    48     1.794
1946    49     1.794
1946    50     1.794
1946    51     1.794
1946    52     1.795
1946    53     1.795
1946    54     1.795
1946    55     1.795
1947    12     0.000
1947    13     0.000
1947    14     0.000
1947    15     0.000
1947    16     0.003
1947    17     0.015
1947    18     0.052
1947    19     0.129
1947    20     0.247
1947    21     0.395
1947    22     0.551
1947    23     0.699
1947    24     0.835
1947    25     0.960
1947    26     1.069
1947    27     1.168
1947    28     1.260
1947    29     1.345
1947    30     1.422
1947    31     1.488
1947    32     1.546
1947    33     1.595
1947    34     1.636
1947    35     1.670
1947    36     1.697
1947    37     1.717
1947    38     1.732
1947    39     1.744
1947    40     1.753
1947    41     1.759
1947    42     1.764
1947    43     1.766
1947    44     1.768
1947    45     1.769
1947    46     1.769
1947    47     1.769
1947    48     1.769
1947    49     1.769
1947    50     1.769
1947    51     1.769
1947    52     1.769
1947    53     1.769
1947    54     1.769
1947    55     1.769
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.000
1948    16     0.003
1948    17     0.015
1948    18     0.053
1948    19     0.130
1948    20     0.248
1948    21     0.390
1948    22     0.534
1948    23     0.674
1948    24     0.802
1948    25     0.917
1948    26     1.023
1948    27     1.124
1948    28     1.219
1948    29     1.307
1948    30     1.387
1948    31     1.457
1948    32     1.517
1948    33     1.569
1948    34     1.611
1948    35     1.645
1948    36     1.672
1948    37     1.693
1948    38     1.709
1948    39     1.722
1948    40     1.731
1948    41     1.738
1948    42     1.743
1948    43     1.745
1948    44     1.747
1948    45     1.748
1948    46     1.748
1948    47     1.749
1948    48     1.749
1948    49     1.749
1948    50     1.749
1948    51     1.749
1948    52     1.749
1948    53     1.749
1948    54     1.749
1948    55     1.749
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.000
1949    16     0.003
1949    17     0.015
1949    18     0.053
1949    19     0.130
1949    20     0.246
1949    21     0.381
1949    22     0.520
1949    23     0.651
1949    24     0.768
1949    25     0.880
1949    26     0.988
1949    27     1.092
1949    28     1.191
1949    29     1.282
1949    30     1.363
1949    31     1.436
1949    32     1.499
1949    33     1.551
1949    34     1.593
1949    35     1.627
1949    36     1.654
1949    37     1.676
1949    38     1.694
1949    39     1.707
1949    40     1.717
1949    41     1.724
1949    42     1.729
1949    43     1.732
1949    44     1.733
1949    45     1.734
1949    46     1.734
1949    47     1.735
1949    48     1.735
1949    49     1.735
1949    50     1.735
1949    51     1.735
1949    52     1.735
1949    53     1.735
1949    54     1.735
1949    55     1.735
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.000
1950    16     0.003
1950    17     0.015
1950    18     0.052
1950    19     0.129
