Germany, Cumulative period fertility rates (Lexis squares)
Last modified: 04/02/2019
Year    Age     CPFR
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.000
1956    16     0.001
1956    17     0.007
1956    18     0.027
1956    19     0.072
1956    20     0.149
1956    21     0.252
1956    22     0.378
1956    23     0.519
1956    24     0.669
1956    25     0.820
1956    26     0.968
1956    27     1.110
1956    28     1.245
1956    29     1.373
1956    30     1.492
1956    31     1.599
1956    32     1.696
1956    33     1.785
1956    34     1.864
1956    35     1.933
1956    36     1.992
1956    37     2.044
1956    38     2.088
1956    39     2.124
1956    40     2.153
1956    41     2.176
1956    42     2.192
1956    43     2.204
1956    44     2.212
1956    45     2.216
1956    46     2.218
1956    47     2.219
1956    48     2.220
1956    49     2.220
1956    50     2.220
1956    51     2.220
1956    52     2.220
1956    53     2.220
1956    54     2.220
1956    55     2.220
1957    12     0.000
1957    13     0.000
1957    14     0.000
1957    15     0.000
1957    16     0.002
1957    17     0.008
1957    18     0.029
1957    19     0.075
1957    20     0.152
1957    21     0.257
1957    22     0.385
1957    23     0.529
1957    24     0.683
1957    25     0.841
1957    26     0.998
1957    27     1.147
1957    28     1.287
1957    29     1.418
1957    30     1.539
1957    31     1.649
1957    32     1.747
1957    33     1.836
1957    34     1.916
1957    35     1.987
1957    36     2.048
1957    37     2.099
1957    38     2.143
1957    39     2.179
1957    40     2.208
1957    41     2.231
1957    42     2.247
1957    43     2.258
1957    44     2.266
1957    45     2.270
1957    46     2.272
1957    47     2.273
1957    48     2.274
1957    49     2.274
1957    50     2.274
1957    51     2.274
1957    52     2.274
1957    53     2.274
1957    54     2.274
1957    55     2.274
1958    12     0.000
1958    13     0.000
1958    14     0.000
1958    15     0.000
1958    16     0.002
1958    17     0.008
1958    18     0.029
1958    19     0.075
1958    20     0.151
1958    21     0.254
1958    22     0.381
1958    23     0.525
1958    24     0.681
1958    25     0.840
1958    26     0.998
1958    27     1.150
1958    28     1.293
1958    29     1.425
1958    30     1.547
1958    31     1.657
1958    32     1.757
1958    33     1.845
1958    34     1.924
1958    35     1.994
1958    36     2.055
1958    37     2.106
1958    38     2.149
1958    39     2.184
1958    40     2.213
1958    41     2.234
1958    42     2.250
1958    43     2.261
1958    44     2.268
1958    45     2.272
1958    46     2.274
1958    47     2.275
1958    48     2.275
1958    49     2.276
1958    50     2.276
1958    51     2.276
1958    52     2.276
1958    53     2.276
1958    54     2.276
1958    55     2.276
1959    12     0.000
1959    13     0.000
1959    14     0.000
1959    15     0.000
1959    16     0.002
1959    17     0.009
1959    18     0.033
1959    19     0.084
1959    20     0.167
1959    21     0.277
1959    22     0.409
1959    23     0.560
1959    24     0.720
1959    25     0.886
1959    26     1.051
1959    27     1.211
1959    28     1.361
1959    29     1.499
1959    30     1.624
1959    31     1.737
1959    32     1.839
1959    33     1.929
1959    34     2.008
1959    35     2.078
1959    36     2.140
1959    37     2.193
1959    38     2.238
1959    39     2.274
1959    40     2.303
1959    41     2.326
1959    42     2.342
1959    43     2.353
1959    44     2.360
1959    45     2.364
1959    46     2.366
1959    47     2.367
1959    48     2.367
1959    49     2.368
1959    50     2.368
1959    51     2.368
1959    52     2.368
1959    53     2.368
1959    54     2.368
1959    55     2.368
1960    12     0.000
1960    13     0.000
1960    14     0.000
1960    15     0.000
1960    16     0.003
1960    17     0.011
1960    18     0.037
1960    19     0.091
1960    20     0.177
1960    21     0.288
1960    22     0.420
1960    23     0.569
1960    24     0.729
1960    25     0.894
1960    26     1.059
1960    27     1.218
1960    28     1.368
1960    29     1.506
1960    30     1.632
1960    31     1.745
1960    32     1.847
1960    33     1.937
1960    34     2.015
1960    35     2.084
1960    36     2.144
1960    37     2.197
1960    38     2.241
1960    39     2.277
1960    40     2.305
1960    41     2.327
1960    42     2.343
1960    43     2.354
1960    44     2.361
1960    45     2.365
1960    46     2.367
1960    47     2.367
1960    48     2.368
1960    49     2.368
1960    50     2.368
1960    51     2.368
1960    52     2.368
1960    53     2.368
1960    54     2.368
1960    55     2.368
1961    12     0.000
1961    13     0.000
1961    14     0.000
1961    15     0.000
