Germany, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 04/02/2019
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
2009    12     0.000     0.000     0.000     0.000     0.000     0.000
2009    13     0.000     0.000     0.000     0.000     0.000     0.000
2009    14     0.000     0.000     0.000     0.000     0.000     0.000
2009    15     0.000     0.000     0.000     0.000     0.000     0.000
2009    16     0.002     0.002     0.000     0.000     0.000     0.000
2009    17     0.005     0.005     0.000     0.000     0.000     0.000
2009    18     0.013     0.012     0.001     0.000     0.000     0.000
2009    19     0.026     0.024     0.002     0.000     0.000     0.000
2009    20     0.046     0.041     0.004     0.000     0.000     0.000
2009    21     0.073     0.063     0.009     0.001     0.000     0.000
2009    22     0.107     0.088     0.016     0.002     0.000     0.000
2009    23     0.147     0.116     0.026     0.004     0.001     0.000
2009    24     0.195     0.147     0.039     0.007     0.001     0.000
2009    25     0.252     0.183     0.055     0.011     0.002     0.001
2009    26     0.318     0.223     0.074     0.016     0.003     0.001
2009    27     0.392     0.267     0.097     0.022     0.005     0.001
2009    28     0.475     0.313     0.124     0.029     0.007     0.002
2009    29     0.565     0.361     0.154     0.037     0.009     0.003
2009    30     0.660     0.410     0.187     0.047     0.011     0.004
2009    31     0.758     0.459     0.222     0.057     0.014     0.006
2009    32     0.856     0.504     0.259     0.068     0.017     0.007
2009    33     0.949     0.544     0.295     0.080     0.021     0.009
2009    34     1.036     0.579     0.330     0.091     0.024     0.011
2009    35     1.114     0.608     0.362     0.103     0.028     0.013
2009    36     1.182     0.632     0.389     0.115     0.031     0.015
2009    37     1.238     0.651     0.412     0.125     0.034     0.016
2009    38     1.283     0.665     0.429     0.133     0.037     0.018
2009    39     1.317     0.676     0.443     0.139     0.039     0.020
2009    40     1.342     0.684     0.452     0.145     0.041     0.021
2009    41     1.360     0.689     0.458     0.148     0.042     0.022
2009    42     1.371     0.692     0.462     0.150     0.043     0.023
2009    43     1.377     0.694     0.464     0.152     0.044     0.023
2009    44     1.381     0.695     0.465     0.152     0.044     0.024
2009    45     1.383     0.696     0.466     0.153     0.045     0.024
2009    46     1.384     0.696     0.466     0.153     0.045     0.024
2009    47     1.384     0.696     0.466     0.153     0.045     0.024
2009    48     1.384     0.696     0.466     0.153     0.045     0.024
2009    49     1.384     0.696     0.466     0.153     0.045     0.024
2009    50     1.385     0.696     0.466     0.153     0.045     0.024
2009    51     1.385     0.696     0.466     0.153     0.045     0.024
2009    52     1.385     0.696     0.466     0.153     0.045     0.024
2009    53     1.385     0.696     0.466     0.153     0.045     0.024
2009    54     1.385     0.696     0.466     0.153     0.045     0.024
2009    55     1.385     0.696     0.466     0.153     0.045     0.024
2010    12     0.000     0.000     0.000     0.000     0.000     0.000
2010    13     0.000     0.000     0.000     0.000     0.000     0.000
2010    14     0.000     0.000     0.000     0.000     0.000     0.000
2010    15     0.000     0.000     0.000     0.000     0.000     0.000
2010    16     0.002     0.002     0.000     0.000     0.000     0.000
2010    17     0.005     0.005     0.000     0.000     0.000     0.000
2010    18     0.012     0.012     0.001     0.000     0.000     0.000
2010    19     0.025     0.023     0.002     0.000     0.000     0.000
2010    20     0.045     0.041     0.004     0.000     0.000     0.000
2010    21     0.071     0.062     0.009     0.001     0.000     0.000
2010    22     0.104     0.086     0.016     0.002     0.000     0.000
2010    23     0.144     0.113     0.026     0.004     0.001     0.000
2010    24     0.191     0.144     0.039     0.007     0.001     0.000
2010    25     0.247     0.179     0.054     0.011     0.002     0.000
2010    26     0.313     0.219     0.074     0.016     0.003     0.001
2010    27     0.388     0.263     0.097     0.022     0.005     0.001
2010    28     0.472     0.311     0.123     0.029     0.007     0.002
2010    29     0.563     0.360     0.154     0.038     0.009     0.003
2010    30     0.661     0.411     0.187     0.047     0.011     0.004
2010    31     0.762     0.461     0.223     0.058     0.014     0.006
2010    32     0.862     0.507     0.261     0.069     0.017     0.008
2010    33     0.959     0.549     0.299     0.081     0.021     0.009
2010    34     1.049     0.585     0.335     0.093     0.024     0.011
2010    35     1.131     0.616     0.369     0.106     0.028     0.013
2010    36     1.203     0.641     0.398     0.118     0.031     0.015
2010    37     1.263     0.660     0.422     0.129     0.035     0.017
2010    38     1.311     0.675     0.441     0.138     0.038     0.019
2010    39     1.347     0.687     0.455     0.145     0.040     0.021
2010    40     1.374     0.695     0.465     0.150     0.042     0.022
2010    41     1.393     0.701     0.472     0.154     0.044     0.023
2010    42     1.405     0.704     0.476     0.157     0.045     0.024
2010    43     1.412     0.706     0.479     0.158     0.045     0.024
2010    44     1.416     0.707     0.480     0.159     0.046     0.025
2010    45     1.418     0.708     0.480     0.159     0.046     0.025
2010    46     1.419     0.708     0.481     0.159     0.046     0.025
