Germany, Cumulative period fertility rates (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY  Cohort     CPFR
1956   12    1944     0.000
1956   13    1943     0.000
1956   14    1942     0.000
1956   15    1941     0.000
1956   16    1940     0.001
1956   17    1939     0.003
1956   18    1938     0.013
1956   19    1937     0.045
1956   20    1936     0.106
1956   21    1935     0.196
1956   22    1934     0.312
1956   23    1933     0.447
1956   24    1932     0.594
1956   25    1931     0.745
1956   26    1930     0.895
1956   27    1929     1.040
1956   28    1928     1.180
1956   29    1927     1.312
1956   30    1926     1.435
1956   31    1925     1.549
1956   32    1924     1.649
1956   33    1923     1.744
1956   34    1922     1.827
1956   35    1921     1.901
1956   36    1920     1.966
1956   37    1919     2.021
1956   38    1918     2.068
1956   39    1917     2.107
1956   40    1916     2.140
1956   41    1915     2.166
1956   42    1914     2.186
1956   43    1913     2.200
1956   44    1912     2.210
1956   45    1911     2.216
1956   46    1910     2.219
1956   47    1909     2.220
1956   48    1908     2.221
1956   49    1907     2.221
1956   50    1906     2.222
1956   51    1905     2.222
1956   52    1904     2.222
1956   53    1903     2.222
1956   54    1902     2.222
1956   55    1901     2.222
1957   12    1945     0.000
1957   13    1944     0.000
1957   14    1943     0.000
1957   15    1942     0.000
1957   16    1941     0.001
1957   17    1940     0.003
1957   18    1939     0.015
1957   19    1938     0.047
1957   20    1937     0.108
1957   21    1936     0.201
1957   22    1935     0.318
1957   23    1934     0.455
1957   24    1933     0.606
1957   25    1932     0.763
1957   26    1931     0.921
1957   27    1930     1.075
1957   28    1929     1.219
1957   29    1928     1.355
1957   30    1927     1.481
1957   31    1926     1.597
1957   32    1925     1.701
1957   33    1924     1.794
1957   34    1923     1.879
1957   35    1922     1.954
1957   36    1921     2.020
1957   37    1920     2.077
1957   38    1919     2.123
1957   39    1918     2.163
1957   40    1917     2.195
1957   41    1916     2.221
1957   42    1915     2.241
1957   43    1914     2.254
1957   44    1913     2.264
1957   45    1912     2.270
1957   46    1911     2.273
1957   47    1910     2.274
1957   48    1909     2.275
1957   49    1908     2.275
1957   50    1907     2.275
1957   51    1906     2.275
1957   52    1905     2.276
1957   53    1904     2.276
1957   54    1903     2.276
1957   55    1902     2.276
1958   12    1946     0.000
1958   13    1945     0.000
1958   14    1944     0.000
1958   15    1943     0.000
1958   16    1942     0.001
1958   17    1941     0.003
1958   18    1940     0.014
1958   19    1939     0.047
1958   20    1938     0.107
1958   21    1937     0.198
1958   22    1936     0.314
1958   23    1935     0.451
1958   24    1934     0.602
1958   25    1933     0.760
1958   26    1932     0.921
1958   27    1931     1.075
1958   28    1930     1.224
1958   29    1929     1.361
1958   30    1928     1.489
1958   31    1927     1.604
1958   32    1926     1.710
1958   33    1925     1.804
1958   34    1924     1.886
1958   35    1923     1.961
1958   36    1922     2.027
1958   37    1921     2.083
1958   38    1920     2.130
1958   39    1919     2.168
1958   40    1918     2.200
1958   41    1917     2.225
1958   42    1916     2.244
1958   43    1915     2.257
1958   44    1914     2.265
1958   45    1913     2.271
1958   46    1912     2.274
1958   47    1911     2.275
1958   48    1910     2.276
1958   49    1909     2.276
1958   50    1908     2.276
1958   51    1907     2.276
1958   52    1906     2.276
1958   53    1905     2.276
1958   54    1904     2.276
1958   55    1903     2.276
1959   12    1947     0.000
1959   13    1946     0.000
1959   14    1945     0.000
1959   15    1944     0.000
1959   16    1943     0.001
1959   17    1942     0.004
1959   18    1941     0.017
1959   19    1940     0.052
1959   20    1939     0.119
1959   21    1938     0.217
1959   22    1937     0.338
1959   23    1936     0.482
1959   24    1935     0.638
1959   25    1934     0.802
1959   26    1933     0.968
1959   27    1932     1.132
1959   28    1931     1.287
1959   29    1930     1.432
1959   30    1929     1.563
1959   31    1928     1.682
1959   32    1927     1.789
1959   33    1926     1.885
1959   34    1925     1.970
1959   35    1924     2.044
1959   36    1923     2.110
1959   37    1922     2.168
1959   38    1921     2.217
1959   39    1920     2.258
1959   40    1919     2.290
1959   41    1918     2.315
1959   42    1917     2.334
1959   43    1916     2.348
1959   44    1915     2.357
1959   45    1914     2.362
1959   46    1913     2.365
1959   47    1912     2.366
1959   48    1911     2.367
1959   49    1910     2.367
1959   50    1909     2.367
1959   51    1908     2.367
1959   52    1907     2.368
1959   53    1906     2.368
1959   54    1905     2.368
1959   55    1904     2.368
1960   12    1948     0.000
1960   13    1947     0.000
1960   14    1946     0.000
1960   15    1945     0.000
1960   16    1944     0.001
1960   17    1943     0.005
1960   18    1942     0.020
1960   19    1941     0.058
1960   20    1940     0.127
1960   21    1939     0.227
1960   22    1938     0.350
1960   23    1937     0.490
1960   24    1936     0.647
1960   25    1935     0.810
1960   26    1934     0.976
1960   27    1933     1.138
1960   28    1932     1.294
1960   29    1931     1.437
1960   30    1930     1.571
1960   31    1929     1.689
1960   32    1928     1.797
1960   33    1927     1.893
1960   34    1926     1.977
1960   35    1925     2.050
1960   36    1924     2.114
1960   37    1923     2.171
1960   38    1922     2.219
1960   39    1921     2.259
1960   40    1920     2.291
1960   41    1919     2.316
1960   42    1918     2.335
1960   43    1917     2.348
1960   44    1916     2.357
1960   45    1915     2.362
1960   46    1914     2.365
1960   47    1913     2.366
1960   48    1912     2.367
1960   49    1911     2.367
1960   50    1910     2.367
1960   51    1909     2.367
1960   52    1908     2.367
1960   53    1907     2.367
1960   54    1906     2.367
1960   55    1905     2.367
1961   12    1949     0.000
1961   13    1948     0.000
1961   14    1947     0.000
1961   15    1946     0.000
1961   16    1945     0.001
1961   17    1944     0.006
1961   18    1943     0.024
1961   19    1942     0.066
1961   20    1941     0.141
1961   21    1940     0.247
1961   22    1939     0.379
1961   23    1938     0.528
1961   24    1937     0.690
1961   25    1936     0.859
1961   26    1935     1.028
1961   27    1934     1.195
1961   28    1933     1.354
1961   29    1932     1.502
1961   30    1931     1.638
1961   31    1930     1.761
1961   32    1929     1.868
1961   33    1928     1.965
1961   34    1927     2.050
1961   35    1926     2.124
1961   36    1925     2.189
1961   37    1924     2.245
1961   38    1923     2.293
1961   39    1922     2.333
1961   40    1921     2.366
1961   41    1920     2.391
1961   42    1919     2.410
1961   43    1918     2.423
1961   44    1917     2.432
1961   45    1916     2.436
1961   46    1915     2.439
1961   47    1914     2.441
1961   48    1913     2.441
1961   49    1912     2.441
1961   50    1911     2.441
1961   51    1910     2.442
1961   52    1909     2.442
1961   53    1908     2.442
1961   54    1907     2.442
1961   55    1906     2.442
1962   12    1950     0.000
1962   13    1949     0.000
1962   14    1948     0.000
1962   15    1947     0.000
1962   16    1946     0.001
1962   17    1945     0.006
1962   18    1944     0.026
1962   19    1943     0.071
1962   20    1942     0.149
1962   21    1941     0.258
1962   22    1940     0.390
1962   23    1939     0.543
1962   24    1938     0.709
1962   25    1937     0.880
1962   26    1936     1.050
1962   27    1935     1.216
1962   28    1934     1.372
1962   29    1933     1.518
1962   30    1932     1.652
1962   31    1931     1.774
1962   32    1930     1.882
1962   33    1929     1.976
1962   34    1928     2.059
1962   35    1927     2.132
1962   36    1926     2.194
1962   37    1925     2.248
1962   38    1924     2.294
1962   39    1923     2.333
1962   40    1922     2.364
1962   41    1921     2.389
1962   42    1920     2.407
1962   43    1919     2.419
1962   44    1918     2.428
1962   45    1917     2.433
1962   46    1916     2.436
1962   47    1915     2.437
1962   48    1914     2.437
1962   49    1913     2.438
1962   50    1912     2.438
1962   51    1911     2.438
1962   52    1910     2.438
1962   53    1909     2.438
1962   54    1908     2.438
1962   55    1907     2.438
1963   12    1951     0.000
1963   13    1950     0.000
1963   14    1949     0.000
1963   15    1948     0.000
1963   16    1947     0.001
1963   17    1946     0.006
1963   18    1945     0.028
1963   19    1944     0.079
1963   20    1943     0.164
1963   21    1942     0.278
1963   22    1941     0.414
1963   23    1940     0.571
1963   24    1939     0.740
1963   25    1938     0.914
1963   26    1937     1.089
1963   27    1936     1.260
1963   28    1935     1.420
1963   29    1934     1.569
1963   30    1933     1.706
1963   31    1932     1.831
1963   32    1931     1.942
1963   33    1930     2.040
1963   34    1929     2.125
1963   35    1928     2.198
1963   36    1927     2.262
1963   37    1926     2.318
1963   38    1925     2.364
1963   39    1924     2.403
1963   40    1923     2.434
1963   41    1922     2.459
1963   42    1921     2.478
1963   43    1920     2.491
1963   44    1919     2.499
1963   45    1918     2.504
1963   46    1917     2.507
1963   47    1916     2.508
1963   48    1915     2.508
1963   49    1914     2.509
1963   50    1913     2.509
1963   51    1912     2.509
1963   52    1911     2.509
1963   53    1910     2.509
1963   54    1909     2.509
1963   55    1908     2.509
1964   12    1952     0.000
1964   13    1951     0.000
1964   14    1950     0.000
1964   15    1949     0.000
1964   16    1948     0.001
1964   17    1947     0.006
1964   18    1946     0.028
1964   19    1945     0.081
1964   20    1944     0.174
1964   21    1943     0.295
1964   22    1942     0.435
1964   23    1941     0.591
1964   24    1940     0.759
1964   25    1939     0.933
1964   26    1938     1.107
1964   27    1937     1.278
1964   28    1936     1.439
1964   29    1935     1.588
1964   30    1934     1.725
1964   31    1933     1.849
1964   32    1932     1.962
1964   33    1931     2.061
1964   34    1930     2.148
1964   35    1929     2.223
1964   36    1928     2.287
1964   37    1927     2.342
1964   38    1926     2.389
1964   39    1925     2.428
1964   40    1924     2.458
1964   41    1923     2.483
1964   42    1922     2.502
1964   43    1921     2.515
1964   44    1920     2.524
1964   45    1919     2.529
1964   46    1918     2.532
1964   47    1917     2.533
1964   48    1916     2.533
1964   49    1915     2.533
1964   50    1914     2.533
1964   51    1913     2.534
1964   52    1912     2.534
1964   53    1911     2.534
1964   54    1910     2.534
1964   55    1909     2.534
1965   12    1953     0.000
1965   13    1952     0.000
1965   14    1951     0.000
1965   15    1950     0.000
1965   16    1949     0.001
1965   17    1948     0.006
1965   18    1947     0.028
1965   19    1946     0.084
1965   20    1945     0.178
1965   21    1944     0.305
1965   22    1943     0.450
1965   23    1942     0.608
1965   24    1941     0.772
1965   25    1940     0.941
1965   26    1939     1.111
1965   27    1938     1.278
1965   28    1937     1.436
1965   29    1936     1.583
1965   30    1935     1.716
1965   31    1934     1.837
1965   32    1933     1.945
1965   33    1932     2.042
1965   34    1931     2.127
1965   35    1930     2.200
1965   36    1929     2.262
1965   37    1928     2.316
1965   38    1927     2.361
1965   39    1926     2.398
1965   40    1925     2.428
1965   41    1924     2.452
1965   42    1923     2.470
1965   43    1922     2.482
1965   44    1921     2.490
1965   45    1920     2.495
1965   46    1919     2.498
1965   47    1918     2.499
1965   48    1917     2.500
1965   49    1916     2.500
1965   50    1915     2.500
1965   51    1914     2.500
1965   52    1913     2.500
1965   53    1912     2.500
1965   54    1911     2.500
1965   55    1910     2.500
1966   12    1954     0.000
1966   13    1953     0.000
1966   14    1952     0.000
1966   15    1951     0.000
1966   16    1950     0.001
1966   17    1949     0.006
1966   18    1948     0.029
1966   19    1947     0.085
1966   20    1946     0.184
1966   21    1945     0.318
1966   22    1944     0.469
1966   23    1943     0.632
1966   24    1942     0.800
1966   25    1941     0.969
1966   26    1940     1.138
1966   27    1939     1.303
