Germany, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
2009   12    1997     0.000     0.000     0.000     0.000     0.000     0.000
2009   13    1996     0.000     0.000     0.000     0.000     0.000     0.000
2009   14    1995     0.000     0.000     0.000     0.000     0.000     0.000
2009   15    1994     0.000     0.000     0.000     0.000     0.000     0.000
2009   16    1993     0.001     0.001     0.000     0.000     0.000     0.000
2009   17    1992     0.003     0.003     0.000     0.000     0.000     0.000
2009   18    1991     0.008     0.008     0.000     0.000     0.000     0.000
2009   19    1990     0.018     0.017     0.001     0.000     0.000     0.000
2009   20    1989     0.035     0.032     0.003     0.000     0.000     0.000
2009   21    1988     0.058     0.052     0.006     0.001     0.000     0.000
2009   22    1987     0.089     0.075     0.012     0.001     0.000     0.000
2009   23    1986     0.126     0.102     0.021     0.003     0.000     0.000
2009   24    1985     0.170     0.131     0.032     0.005     0.001     0.000
2009   25    1984     0.222     0.164     0.047     0.009     0.002     0.000
2009   26    1983     0.283     0.202     0.064     0.013     0.003     0.001
2009   27    1982     0.354     0.245     0.085     0.019     0.004     0.001
2009   28    1981     0.433     0.290     0.110     0.025     0.006     0.002
2009   29    1980     0.519     0.337     0.139     0.033     0.008     0.003
2009   30    1979     0.612     0.386     0.170     0.042     0.010     0.004
2009   31    1978     0.709     0.435     0.204     0.052     0.013     0.005
2009   32    1977     0.808     0.482     0.240     0.063     0.016     0.007
2009   33    1976     0.903     0.525     0.277     0.074     0.019     0.008
2009   34    1975     0.994     0.563     0.313     0.086     0.022     0.010
2009   35    1974     1.077     0.594     0.347     0.097     0.026     0.012
2009   36    1973     1.150     0.621     0.377     0.109     0.029     0.014
2009   37    1972     1.212     0.642     0.401     0.120     0.033     0.016
2009   38    1971     1.262     0.659     0.421     0.129     0.036     0.017
2009   39    1970     1.301     0.671     0.437     0.136     0.038     0.019
2009   40    1969     1.330     0.680     0.448     0.142     0.040     0.020
2009   41    1968     1.352     0.686     0.456     0.147     0.042     0.021
2009   42    1967     1.366     0.691     0.460     0.149     0.043     0.022
2009   43    1966     1.374     0.693     0.463     0.151     0.044     0.023
2009   44    1965     1.379     0.695     0.465     0.152     0.044     0.023
2009   45    1964     1.382     0.695     0.466     0.153     0.044     0.024
2009   46    1963     1.383     0.696     0.466     0.153     0.045     0.024
2009   47    1962     1.384     0.696     0.466     0.153     0.045     0.024
2009   48    1961     1.384     0.696     0.466     0.153     0.045     0.024
2009   49    1960     1.384     0.696     0.466     0.153     0.045     0.024
2009   50    1959     1.384     0.696     0.466     0.153     0.045     0.024
2009   51    1958     1.384     0.696     0.466     0.153     0.045     0.024
2009   52    1957     1.384     0.696     0.466     0.153     0.045     0.024
2009   53    1956     1.384     0.696     0.466     0.153     0.045     0.024
2009   54    1955     1.384     0.696     0.466     0.153     0.045     0.024
2009   55    1954     1.384     0.696     0.466     0.153     0.045     0.024
2010   12    1998     0.000     0.000     0.000     0.000     0.000     0.000
2010   13    1997     0.000     0.000     0.000     0.000     0.000     0.000
2010   14    1996     0.000     0.000     0.000     0.000     0.000     0.000
2010   15    1995     0.000     0.000     0.000     0.000     0.000     0.000
2010   16    1994     0.001     0.001     0.000     0.000     0.000     0.000
2010   17    1993     0.003     0.003     0.000     0.000     0.000     0.000
2010   18    1992     0.008     0.008     0.000     0.000     0.000     0.000
2010   19    1991     0.018     0.017     0.001     0.000     0.000     0.000
2010   20    1990     0.034     0.031     0.003     0.000     0.000     0.000
2010   21    1989     0.057     0.050     0.006     0.001     0.000     0.000
2010   22    1988     0.087     0.073     0.012     0.001     0.000     0.000
2010   23    1987     0.123     0.099     0.021     0.003     0.000     0.000
2010   24    1986     0.166     0.128     0.032     0.005     0.001     0.000
2010   25    1985     0.217     0.160     0.046     0.009     0.002     0.000
2010   26    1984     0.278     0.198     0.063     0.013     0.003     0.001
2010   27    1983     0.349     0.241     0.085     0.019     0.004     0.001
2010   28    1982     0.429     0.287     0.109     0.025     0.006     0.002
2010   29    1981     0.517     0.335     0.138     0.033     0.008     0.003
2010   30    1980     0.612     0.385     0.170     0.042     0.010     0.004
2010   31    1979     0.711     0.436     0.205     0.052     0.013     0.005
2010   32    1978     0.813     0.485     0.242     0.063     0.016     0.007
2010   33    1977     0.912     0.529     0.280     0.075     0.019     0.008
2010   34    1976     1.006     0.568     0.318     0.087     0.022     0.010
2010   35    1975     1.092     0.601     0.353     0.100     0.026     0.012
2010   36    1974     1.169     0.629     0.384     0.112     0.030     0.014
2010   37    1973     1.235     0.651     0.411     0.124     0.033     0.016
2010   38    1972     1.289     0.668     0.432     0.134     0.036     0.018
2010   39    1971     1.330     0.681     0.449     0.142     0.039     0.020
2010   40    1970     1.362     0.691     0.461     0.148     0.041     0.021
2010   41    1969     1.385     0.698     0.469     0.153     0.043     0.022
2010   42    1968     1.400     0.702     0.474     0.156     0.044     0.023
2010   43    1967     1.409     0.705     0.477     0.158     0.045     0.024
2010   44    1966     1.414     0.706     0.479     0.159     0.045     0.025
2010   45    1965     1.417     0.707     0.480     0.159     0.046     0.025
2010   46    1964     1.418     0.708     0.480     0.159     0.046     0.025
2010   47    1963     1.419     0.708     0.481     0.160     0.046     0.025
2010   48    1962     1.419     0.708     0.481     0.160     0.046     0.025
2010   49    1961     1.419     0.708     0.481     0.160     0.046     0.025
2010   50    1960     1.419     0.708     0.481     0.160     0.046     0.025
2010   51    1959     1.419     0.708     0.481     0.160     0.046     0.025
2010   52    1958     1.419     0.708     0.481     0.160     0.046     0.025
2010   53    1957     1.419     0.708     0.481     0.160     0.046     0.025
2010   54    1956     1.419     0.708     0.481     0.160     0.046     0.025
2010   55    1955     1.419     0.708     0.481     0.160     0.046     0.025
2011   12    1999     0.000     0.000     0.000     0.000     0.000     0.000
2011   13    1998     0.000     0.000     0.000     0.000     0.000     0.000
2011   14    1997     0.000     0.000     0.000     0.000     0.000     0.000
2011   15    1996     0.000     0.000     0.000     0.000     0.000     0.000
2011   16    1995     0.001     0.001     0.000     0.000     0.000     0.000
2011   17    1994     0.003     0.003     0.000     0.000     0.000     0.000
2011   18    1993     0.008     0.007     0.000     0.000     0.000     0.000
2011   19    1992     0.016     0.015     0.001     0.000     0.000     0.000
2011   20    1991     0.032     0.029     0.003     0.000     0.000     0.000
2011   21    1990     0.054     0.047     0.006     0.001     0.000     0.000
2011   22    1989     0.082     0.069     0.011     0.001     0.000     0.000
2011   23    1988     0.115     0.093     0.019     0.003     0.000     0.000
2011   24    1987     0.155     0.120     0.029     0.005     0.001     0.000
2011   25    1986     0.203     0.151     0.042     0.008     0.001     0.000
2011   26    1985     0.260     0.188     0.058     0.012     0.002     0.001
2011   27    1984     0.328     0.229     0.078     0.017     0.004     0.001
2011   28    1983     0.404     0.274     0.101     0.023     0.005     0.002
