Germany, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Exposure
1956     12       493865.67
1956     13       497172.17
1956     14       550407.33
1956     15       633017.00
1956     16       657043.67
1956     17       636169.50
1956     18       599508.00
1956     19       583144.17
1956     20       580041.67
1956     21       561067.50
1956     22       494752.17
1956     23       447414.83
1956     24       457861.67
1956     25       485205.33
1956     26       502050.33
1956     27       502830.00
1956     28       500591.33
1956     29       504483.00
1956     30       530679.00
1956     31       536703.67
1956     32       530246.17
1956     33       548747.50
1956     34       583602.33
1956     35       612442.00
1956     36       546798.83
1956     37       393902.83
1956     38       309027.33
1956     39       319811.50
1956     40       397175.67
1956     41       521226.00
1956     42       593078.33
1956     43       608763.33
1956     44       603114.67
1956     45       603816.00
1956     46       625199.83
1956     47       629612.33
1956     48       619323.33
1956     49       608768.67
1956     50       595421.67
1956     51       583130.00
1956     52       570345.83
1956     53       564759.83
1956     54       561378.00
1956     55       542458.00
1957     12       420634.33
1957     13       493770.83
1957     14       497163.33
1957     15       549754.50
1957     16       632200.50
1957     17       655953.83
1957     18       634525.00
1957     19       596482.17
1957     20       577870.17
1957     21       572336.50
1957     22       551497.67
1957     23       485968.50
1957     24       440316.67
1957     25       451394.50
1957     26       478377.00
1957     27       495786.50
1957     28       497093.00
1957     29       495298.83
1957     30       499722.17
1957     31       525992.17
1957     32       532560.00
1957     33       526402.67
1957     34       545337.33
1957     35       580110.00
1957     36       608889.17
1957     37       544245.00
1957     38       392139.00
1957     39       307457.50
1957     40       318218.00
1957     41       394906.00
1957     42       518709.83
1957     43       590569.67
1957     44       606233.67
1957     45       600835.50
1957     46       601286.00
1957     47       622552.83
1957     48       626958.83
1957     49       616493.50
1957     50       605951.83
1957     51       592562.67
1957     52       579989.00
1957     53       567157.83
1957     54       561315.50
1957     55       557703.50
1958     12       360975.39
1958     13       422795.67
1958     14       495982.00
1958     15       499314.50
1958     16       552108.17
1958     17       634113.67
1958     18       657133.83
1958     19       634521.33
1958     20       594472.50
1958     21       573632.67
1958     22       565916.83
1958     23       545070.67
1958     24       481296.83
1958     25       436536.33
1958     26       447461.17
1958     27       474848.67
1958     28       492816.33
1958     29       494482.17
1958     30       493085.50
1958     31       497853.33
1958     32       524516.00
1958     33       531452.00
1958     34       525742.33
1958     35       544578.17
1958     36       579661.00
1958     37       608415.67
1958     38       543954.00
1958     39       391980.00
1958     40       307414.33
1958     41       318188.50
1958     42       395021.00
1958     43       518933.00
1958     44       590830.83
1958     45       606536.00
1958     46       601165.00
1958     47       601640.33
1958     48       622737.17
1958     49       626938.33
1958     50       616292.33
1958     51       605631.33
1958     52       591875.00
1958     53       579149.17
1958     54       566142.00
1958     55       560016.83
1959     12       432904.39
1959     13       361407.41
1959     14       423410.67
1959     15       496726.50
1959     16       500097.67
1959     17       552741.17
1959     18       634283.17
1959     19       656930.33
1959     20       634795.17
1959     21       594688.83
1959     22       573788.83
1959     23       565831.50
1959     24       545166.50
1959     25       481582.67
1959     26       436968.67
1959     27       447850.00
1959     28       475354.17
1959     29       493052.67
1959     30       494844.00
1959     31       493312.33
1959     32       498007.50
1959     33       524782.33
1959     34       531621.00
1959     35       525794.17
1959     36       544690.17
1959     37       579587.50
1959     38       608177.17
1959     39       543614.83
1959     40       391811.50
1959     41       307228.67
1959     42       317938.67
1959     43       394564.83
1959     44       518315.67
1959     45       589879.50
1959     46       605458.17
1959     47       599920.00
1959     48       600184.83
1959     49       621076.17
1959     50       624970.00
1959     51       614198.33
1959     52       603212.00
1959     53       589332.17
1959     54       576397.83
1959     55       563152.17
1960     12       445521.47
1960     13       432974.05
1960     14       361544.12
1960     15       423657.00
1960     16       497137.00
1960     17       500522.17
1960     18       552893.33
1960     19       634178.83
1960     20       657460.67
1960     21       635115.83
1960     22       594914.83
1960     23       573774.00
1960     24       565997.50
1960     25       545068.83
1960     26       481840.67
1960     27       437158.17
1960     28       447940.17
1960     29       475326.83
1960     30       493184.00
1960     31       494810.33
1960     32       493207.00
1960     33       497957.17
1960     34       524689.17
1960     35       531408.67
1960     36       525479.83
1960     37       544264.50
1960     38       579057.00
1960     39       607500.00
1960     40       542984.17
1960     41       391261.33
1960     42       306762.00
1960     43       317418.00
1960     44       393800.33
1960     45       517217.50
1960     46       588361.50
1960     47       603726.33
1960     48       598028.67
1960     49       598217.83
1960     50       618790.83
1960     51       622440.17
1960     52       611423.83
1960     53       600307.17
1960     54       586099.50
1960     55       572946.17
1961     12       482924.76
1961     13       445090.70
1961     14       433161.41
1961     15       362551.69
1961     16       423545.50
1961     17       497625.00
1961     18       499947.67
1961     19       549714.00
1961     20       631093.00
1961     21       650242.67
1961     22       627260.17
1961     23       588237.50
1961     24       569710.50
1961     25       563572.83
1961     26       545838.00
1961     27       481927.17
1961     28       438236.33
1961     29       448184.67
1961     30       478687.83
1961     31       494869.83
1961     32       497373.67
1961     33       495907.50
1961     34       500946.00
1961     35       527858.17
1961     36       531795.17
1961     37       527504.17
1961     38       546188.67
1961     39       580845.17
1961     40       610253.67
1961     41       542564.83
1961     42       391981.00
1961     43       306376.33
1961     44       317463.83
1961     45       393984.00
1961     46       516251.00
1961     47       587612.50
1961     48       602719.50
1961     49       595949.50
1961     50       597272.33
1961     51       615422.67
1961     52       619677.67
1961     53       608191.83
1961     54       597443.33
1961     55       583289.33
1962     12       503452.12
1962     13       482605.82
1962     14       445456.46
1962     15       434468.82
1962     16       362662.75
1962     17       424242.17
1962     18       497870.17
1962     19       497955.67
1962     20       547698.33
1962     21       624829.67
1962     22       643671.00
1962     23       621721.50
1962     24       585060.83
1962     25       568325.00
1962     26       565274.33
1962     27       546782.67
1962     28       483956.50
1962     29       439313.33
1962     30       452272.67
1962     31       481085.33
1962     32       498143.67
1962     33       500617.83
1962     34       499394.67
1962     35       504639.50
1962     36       528712.50
1962     37       534209.17
1962     38       529769.17
1962     39       548335.33
1962     40       583915.00
1962     41       610041.83
1962     42       543241.83
1962     43       391516.17
1962     44       306541.50
1962     45       317902.83
1962     46       393526.67
1962     47       515848.67
1962     48       586792.33
1962     49       600705.00
1962     50       595079.50
1962     51       594035.00
1962     52       612726.00
1962     53       616508.50
1962     54       605343.50
1962     55       594632.67
1963     12       506447.42
1963     13       503816.09
1963     14       483214.99
1963     15       446207.23
1963     16       435653.36
1963     17       363856.48
1963     18       426714.17
1963     19       500868.17
1963     20       501230.33
1963     21       550458.00
1963     22       627505.17
1963     23       646104.50
1963     24       623767.50
1963     25       587111.50
1963     26       570371.33
1963     27       567193.33
1963     28       548745.50
1963     29       485649.50
1963     30       440926.00
1963     31       453721.67
1963     32       482355.83
1963     33       499172.00
1963     34       501543.00
1963     35       500224.67
1963     36       505262.50
1963     37       529196.83
1963     38       534428.50
1963     39       529866.17
1963     40       548287.00
1963     41       583644.83
1963     42       609505.17
1963     43       542600.50
1963     44       391048.00
