Germany, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      Exposure
1956    12    1944      242266.50
1956    12    1943      251599.17
1956    13    1943      249723.67
1956    13    1942      247448.50
1956    14    1942      245785.00
1956    14    1941      304622.33
1956    15    1941      302478.33
1956    15    1940      330538.67
1956    16    1940      328030.50
1956    16    1939      329013.17
1956    17    1939      326587.00
1956    17    1938      309582.50
1956    18    1938      307124.67
1956    18    1937      292383.33
1956    19    1937      289548.33
1956    19    1936      293595.83
1956    20    1936      290630.00
1956    20    1935      289411.67
1956    21    1935      286205.17
1956    21    1934      274862.33
1956    22    1934      271990.50
1956    22    1933      222761.67
1956    23    1933      220514.67
1956    23    1932      226900.17
1956    24    1932      224712.33
1956    24    1931      233149.33
1956    25    1931      230915.50
1956    25    1930      254289.83
1956    26    1930      251824.00
1956    26    1929      250226.33
1956    27    1929      247965.17
1956    27    1928      254864.83
1956    28    1928      252696.67
1956    28    1927      247894.67
1956    29    1927      245662.50
1956    29    1926      258820.50
1956    30    1926      256717.00
1956    30    1925      273962.00
1956    31    1925      271506.67
1956    31    1924      265197.00
1956    32    1924      262853.17
1956    32    1923      267393.00
1956    33    1923      265106.84
1956    33    1922      283640.66
1956    34    1922      281300.00
1956    34    1921      302302.33
1956    35    1921      299842.50
1956    35    1920      312599.50
1956    36    1920      309912.17
1956    36    1919      236886.67
1956    37    1919      235117.17
1956    37    1918      158785.67
1956    38    1918      157440.67
1956    38    1917      151586.67
1956    39    1917      150284.00
1956    39    1916      169527.50
1956    40    1916      168154.17
1956    40    1915      229021.50
1956    41    1915      226926.00
1956    41    1914      294300.00
1956    42    1914      291872.34
1956    42    1913      301206.00
1956    43    1913      298577.67
1956    43    1912      310185.66
1956    44    1912      307481.84
1956    44    1911      295632.83
1956    45    1911      293012.84
1956    45    1910      310803.16
1956    46    1910      307949.84
1956    46    1909      317250.00
1956    47    1909      314235.34
1956    47    1908      315377.00
1956    48    1908      312362.67
1956    48    1907      306960.66
1956    49    1907      303851.00
1956    49    1906      304917.66
1956    50    1906      301913.67
1956    50    1905      293508.00
1956    51    1905      290517.50
1956    51    1904      292612.50
1956    52    1904      289604.67
1956    52    1903      280741.16
1956    53    1903      277804.00
1956    53    1902      286955.83
1956    54    1902      283910.17
1956    54    1901      277467.83
1956    55    1901      274360.01
1956    55    1900      268097.99
1957    12    1945      178393.33
1957    12    1944      242241.00
1957    13    1944      244073.67
1957    13    1943      249697.17
1957    14    1943      251407.33
1957    14    1942      245756.00
1957    15    1942      247323.33
1957    15    1941      302431.17
1957    16    1941      304221.17
1957    16    1940      327979.33
1957    17    1940      329422.50
1957    17    1939      326531.33
1957    18    1939      327459.00
1957    18    1938      307066.00
1957    19    1938      306996.50
1957    19    1937      289485.67
1957    20    1937      287312.50
1957    20    1936      290557.67
1957    21    1936      286199.50
1957    21    1935      286137.00
1957    22    1935      279573.00
1957    22    1934      271924.67
1957    23    1934      265511.00
1957    23    1933      220457.50
1957    24    1933      215667.17
1957    24    1932      224649.50
1957    25    1932      220549.17
1957    25    1931      230845.33
1957    26    1931      226632.00
1957    26    1930      251745.00
1957    27    1930      247905.00
1957    27    1929      247881.50
1957    28    1929      244479.67
1957    28    1928      252613.33
1957    29    1928      249726.83
1957    29    1927      245572.00
1957    30    1927      243104.00
1957    30    1926      256618.17
1957    31    1926      254595.83
1957    31    1925      271396.33
1957    32    1925      269821.50
1957    32    1924      262738.50
1957    33    1924      261413.83
1957    33    1923      264988.83
1957    34    1923      264169.50
1957    34    1922      281167.83
1957    35    1922      280419.67
1957    35    1921      299690.33
1957    36    1921      299152.67
1957    36    1920      309736.50
1957    37    1920      309266.17
1957    37    1919      234978.83
1957    38    1919      234803.67
1957    38    1918      157335.33
1957    39    1918      157275.83
1957    39    1917      150181.67
1957    40    1917      150194.83
1957    40    1916      168023.17
1957    41    1916      168166.17
1957    41    1915      226739.83
1957    42    1915      227085.33
1957    42    1914      291624.50
1957    43    1914      292269.34
1957    43    1913      298300.33
1957    44    1913      299034.00
1957    44    1912      307199.66
1957    45    1912      308147.17
1957    45    1911      292688.33
1957    46    1911      293691.34
1957    46    1910      307594.66
1957    47    1910      308710.00
1957    47    1909      313842.83
1957    48    1909      315010.67
1957    48    1908      311948.16
1957    49    1908      313092.00
1957    49    1907      303401.50
1957    50    1907      304506.17
1957    50    1906      301445.66
1957    51    1906      302537.67
1957    51    1905      290025.00
1957    52    1905      290933.00
1957    52    1904      289056.00
1957    53    1904      289917.34
1957    53    1903      277240.50
1957    54    1903      278033.67
1957    54    1902      283281.83
1957    55    1902      284022.67
1957    55    1901      273680.83
1958    12    1946      182600.89
1958    12    1945      178374.50
1958    13    1945      178751.00
1958    13    1944      244044.67
1958    14    1944      244610.67
1958    14    1943      251371.33
1958    15    1943      252032.00
1958    15    1942      247282.50
1958    16    1942      247941.67
1958    16    1941      304166.50
1958    17    1941      304751.50
1958    17    1940      329362.17
1958    18    1940      329737.83
1958    18    1939      327396.00
1958    19    1939      327594.83
1958    19    1938      306926.50
1958    20    1938      307229.50
1958    20    1937      287243.00
1958    21    1937      287493.17
1958    21    1936      286139.50
1958    22    1936      286417.50
1958    22    1935      279499.33
1958    23    1935      279625.33
1958    23    1934      265445.33
1958    24    1934      265685.33
1958    24    1933      215611.50
1958    25    1933      216052.83
1958    25    1932      220483.50
1958    26    1932      220899.00
1958    26    1931      226562.17
1958    27    1931      227023.83
1958    27    1930      247824.83
1958    28    1930      248426.17
1958    28    1929      244390.17
1958    29    1929      244843.67
1958    29    1928      249638.50
1958    30    1928      250080.00
1958    30    1927      243005.50
1958    31    1927      243352.17
1958    31    1926      254501.17
1958    32    1926      254812.50
1958    32    1925      269703.50
1958    33    1925      270149.33
1958    33    1924      261302.67
1958    34    1924      261701.00
1958    34    1923      264041.33
1958    35    1923      264298.67
1958    35    1922      280279.50
1958    36    1922      280672.83
1958    36    1921      298988.17
1958    37    1921      299323.83
1958    37    1920      309091.83
1958    38    1920      309306.50
1958    38    1919      234647.50
1958    39    1919      234813.17
1958    39    1918      157166.83
1958    40    1918      157329.50
1958    40    1917      150084.83
1958    41    1917      150161.17
1958    41    1916      168027.33
1958    42    1916      168125.50
1958    42    1915      226895.50
1958    43    1915      226929.00
1958    43    1914      292004.00
1958    44    1914      292100.00
1958    44    1913      298730.83
1958    45    1913      298705.84
1958    45    1912      307830.16
1958    46    1912      307798.00
1958    46    1911      293367.00
1958    47    1911      293299.34
1958    47    1910      308341.00
1958    48    1910      308136.17
1958    48    1909      314601.00
1958    49    1909      314303.34
1958    49    1908      312635.00
1958    50    1908      312285.34
1958    50    1907      304007.00
1958    51    1907      303608.50
1958    51    1906      302022.83
1958    52    1906      301484.34
1958    52    1905      290390.66
1958    53    1905      289823.67
1958    53    1904      289325.50
1958    54    1904      288731.34
1958    54    1903      277410.66
1958    55    1903      276681.34
1958    55    1902      283335.50
1959    12    1947      223794.28
1959    12    1946      209110.11
1959    13    1946      182676.41
1959    13    1945      178731.00
1959    14    1945      178836.17
1959    14    1944      244574.50
1959    15    1944      244729.67
1959    15    1943      251996.83
1959    16    1943      252197.67
1959    16    1942      247900.00
1959    17    1942      248039.50
1959    17    1941      304701.67
1959    18    1941      304605.50
1959    18    1940      329677.67
1959    19    1940      329399.00
1959    19    1939      327531.33
1959    20    1939      327629.33
1959    20    1938      307165.83
1959    21    1938      307257.83
1959    21    1937      287431.00
1959    22    1937      287434.17
1959    22    1936      286354.67
1959    23    1936      286273.67
1959    23    1935      279557.83
1959    24    1935      279547.67
1959    24    1934      265618.83
1959    25    1934      265585.00
1959    25    1933      215997.67
1959    26    1933      216132.33
1959    26    1932      220836.33
1959    27    1932      220896.50
1959    27    1931      226953.50
1959    28    1931      227007.33
1959    28    1930      248346.83
1959    29    1930      248296.50
1959    29    1929      244756.17
1959    30    1929      244847.33
1959    30    1928      249996.67
1959    31    1928      250049.17
1959    31    1927      243263.17
1959    32    1927      243299.83
1959    32    1926      254707.67
1959    33    1926      254741.17
1959    33    1925      270041.17
1959    34    1925      270041.50
1959    34    1924      261579.50
1959    35    1924      261620.67
1959    35    1923      264173.50
1959    36    1923      264165.00
1959    36    1922      280525.17
1959    37    1922      280434.17
1959    37    1921      299153.33
1959    38    1921      299054.50
1959    38    1920      309122.66
1959    39    1920      308950.84
1959    39    1919      234664.00
1959    40    1919      234587.50
1959    40    1918      157224.00
1959    41    1918      157180.17
1959    41    1917      150048.50
1959    42    1917      149953.33
1959    42    1916      167985.33
1959    43    1916      167828.50
1959    43    1915      226736.33
1959    44    1915      226487.33
1959    44    1914      291828.33
1959    45    1914      291489.50
1959    45    1913      298390.00
1959    46    1913      297994.84
1959    46    1912      307463.33
1959    47    1912      306974.17
1959    47    1911      292945.83
1959    48    1911      292439.34
1959    48    1910      307745.50
1959    49    1910      307213.50
1959    49    1909      313862.66
1959    50    1909      313160.84
1959    50    1908      311809.16
1959    51    1908      311097.50
1959    51    1907      303100.83
1959    52    1907      302275.00
1959    52    1906      300937.00
1959    53    1906      300085.00
1959    53    1905      289247.16
1959    54    1905      288260.50
1959    54    1904      288137.33
1959    55    1904      287092.17
1959    55    1903      276060.00
1960    12    1948      230338.75
1960    12    1947      215182.72
1960    13    1947      223777.46
1960    13    1946      209196.59
1960    14    1946      182730.95
1960    14    1945      178813.17
1960    15    1945      178960.83
1960    15    1944      244696.17
1960    16    1944      244979.83
1960    16    1943      252157.17
1960    17    1943      252529.67
1960    17    1942      247992.50
1960    18    1942      248345.17
1960    18    1941      304548.17
1960    19    1941      304846.17
1960    19    1940      329332.67
1960    20    1940      329899.33
1960    20    1939      327561.33
1960    21    1939      327921.17
1960    21    1938      307194.67
1960    22    1938      307545.67
1960    22    1937      287369.17
1960    23    1937      287565.50
1960    23    1936      286208.50
1960    24    1936      286524.50
1960    24    1935      279473.00
1960    25    1935      279555.17
1960    25    1934      265513.67
1960    26    1934      265767.67
1960    26    1933      216073.00
1960    27    1933      216330.17
1960    27    1932      220828.00
1960    28    1932      221013.67
1960    28    1931      226926.50
1960    29    1931      227120.17
1960    29    1930      248206.67
1960    30    1930      248424.33
1960    30    1929      244759.67
