Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1956     12     1944       242266.50
1956     13     1943       501322.83
1956     14     1942       493233.50
1956     15     1941       607100.67
1956     16     1940       658569.17
1956     17     1939       655600.17
1956     18     1938       616707.17
1956     19     1937       581931.67
1956     20     1936       584225.83
1956     21     1935       575616.83
1956     22     1934       546852.83
1956     23     1933       443276.33
1956     24     1932       451612.50
1956     25     1931       464064.83
1956     26     1930       506113.83
1956     27     1929       498191.50
1956     28     1928       507561.50
1956     29     1927       493557.17
1956     30     1926       515537.50
1956     31     1925       545468.67
1956     32     1924       528050.17
1956     33     1923       532499.83
1956     34     1922       564940.67
1956     35     1921       602144.83
1956     36     1920       622511.67
1956     37     1919       472003.83
1956     38     1918       316226.33
1956     39     1917       301870.67
1956     40     1916       337681.67
1956     41     1915       455947.50
1956     42     1914       586172.33
1956     43     1913       599783.67
1956     44     1912       617667.50
1956     45     1911       588645.67
1956     46     1910       618753.00
1956     47     1909       631485.33
1956     48     1908       627739.67
1956     49     1907       610811.67
1956     50     1906       606831.33
1956     51     1905       584025.50
1956     52     1904       582217.17
1956     53     1903       558545.17
1956     54     1902       570866.00
1956     55     1901       551827.83
1957     12     1945       178393.33
1957     13     1944       486314.67
1957     14     1943       501104.50
1957     15     1942       493079.33
1957     16     1941       606652.33
1957     17     1940       657401.83
1957     18     1939       653990.33
1957     19     1938       614062.50
1957     20     1937       576798.17
1957     21     1936       576757.17
1957     22     1935       565710.00
1957     23     1934       537435.67
1957     24     1933       436124.67
1957     25     1932       445198.67
1957     26     1931       457477.33
1957     27     1930       499650.00
1957     28     1929       492361.17
1957     29     1928       502340.17
1957     30     1927       488676.00
1957     31     1926       511214.00
1957     32     1925       541217.83
1957     33     1924       524152.33
1957     34     1923       529158.33
1957     35     1922       561587.50
1957     36     1921       598843.00
1957     37     1920       619002.67
1957     38     1919       469782.50
1957     39     1918       314611.17
1957     40     1917       300376.50
1957     41     1916       336189.33
1957     42     1915       453825.17
1957     43     1914       583893.83
1957     44     1913       597334.33
1957     45     1912       615346.83
1957     46     1911       586379.67
1957     47     1910       616304.67
