Germany, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 04/02/2019
Year       MAB     MAB40
1956     27.77     27.33
1957     27.72     27.29
1958     27.69     27.28
1959     27.60     27.20
1960     27.54     27.14
1961     27.41     27.02
1962     27.28     26.91
1963     27.22     26.85
1964     27.18     26.81
1965     27.08     26.72
1966     26.96     26.62
1967     26.85     26.52
1968     26.79     26.46
1969     26.73     26.40
1970     26.60     26.26
1971     26.46     26.13
1972     26.39     26.05
1973     26.32     25.99
1974     26.25     25.94
1975     26.26     25.98
1976     26.24     26.00
1977     26.25     26.03
1978     26.26     26.08
1979     26.33     26.17
1980     26.38     26.22
1981     26.51     26.35
1982     26.60     26.45
1983     26.74     26.58
1984     26.90     26.75
1985     27.07     26.91
1986     27.24     27.09
1987     27.38     27.22
1988     27.49     27.33
1989     27.70     27.53
1990     27.63     27.45
1991     27.78     27.59
1992     27.93     27.73
1993     28.06     27.87
1994     28.18     27.98
1995     28.31     28.10
1996     28.37     28.16
1997     28.52     28.30
1998     28.57     28.35
1999     28.65     28.43
2000     28.74     28.50
2001     28.81     28.57
2002     28.97     28.72
2003     29.12     28.86
2004     29.31     29.04
2005     29.45     29.16
2006     29.61     29.29
2007     29.82     29.49
2008     30.01     29.66
2009     30.17     29.81
2010     30.32     29.95
2011     30.48     30.09
2012     30.58     30.18
2013     30.72     30.30
2014     30.84     30.40
2015     30.89     30.44
2016     30.87     30.39
2017     31.01     30.53
