Germany, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 04/02/2019
Cohort    CMAB    CMAB40
1941     25.75     25.63
1942     25.65     25.52
1943     25.51     25.38
1944     25.37     25.24
1945     25.35     25.21
1946     25.34     25.19
1947     25.41     25.25
1948     25.56     25.39
1949     25.69     25.52
1950     25.83     25.65
1951     25.92     25.75
1952     26.09     25.92
1953     26.22     26.04
1954     26.38     26.20
1955     26.49     26.30
1956     26.65     26.45
1957     26.79     26.58
1958     26.93     26.71
1959     27.00     26.77
1960     27.13     26.89
1961     27.30     27.04
1962     27.48     27.21
1963     27.72     27.44
1964     27.95     27.65
1965     28.23     27.90
1966     28.48     28.13
1967     28.73     28.36
1968         .     28.51
1969         .     28.63
1970         .     28.73
1971         .     28.86
1972         .     28.95
1973         .     29.01
1974         .     29.14
1975         .     29.29
1976         .     29.43
1977         .     29.52
