Germany, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 04/02/2019
Year      sdMAB    sdMAB40
1956       5.84       5.34
1957       5.81       5.32
1958       5.76       5.29
1959       5.76       5.30
1960       5.77       5.31
1961       5.77       5.33
1962       5.76       5.32
1963       5.77       5.33
1964       5.79       5.35
1965       5.79       5.36
1966       5.76       5.35
1967       5.76       5.36
1968       5.79       5.39
1969       5.84       5.45
1970       5.90       5.49
1971       5.88       5.47
1972       5.84       5.43
1973       5.75       5.33
1974       5.61       5.20
1975       5.46       5.08
1976       5.33       4.99
1977       5.21       4.90
1978       5.13       4.86
1979       5.10       4.85
1980       5.09       4.86
1981       5.08       4.86
1982       5.06       4.84
1983       5.03       4.82
1984       5.02       4.81
1985       5.02       4.81
1986       5.00       4.80
1987       5.03       4.82
1988       5.05       4.84
1989       5.06       4.83
1990       5.15       4.93
1991       5.25       5.02
1992       5.28       5.04
1993       5.24       5.01
1994       5.25       5.01
1995       5.24       5.00
1996       5.23       5.00
1997       5.24       5.00
1998       5.28       5.03
1999       5.30       5.05
2000       5.34       5.08
2001       5.39       5.13
2002       5.41       5.15
2003       5.41       5.14
2004       5.40       5.13
2005       5.43       5.14
2006       5.45       5.15
2007       5.44       5.13
2008       5.45       5.13
2009       5.45       5.12
2010       5.44       5.10
2011       5.44       5.09
2012       5.44       5.08
2013       5.43       5.07
2014       5.42       5.04
2015       5.42       5.04
2016       5.50       5.10
2017       5.44       5.03
