Germany, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 04/02/2019
Cohort   sdCMAB   sdCMAB40
1941       4.74       4.55
1942       4.84       4.64
1943       4.90       4.70
1944       5.00       4.79
1945       5.15       4.92
1946       5.22       4.99
1947       5.28       5.06
1948       5.36       5.12
1949       5.40       5.17
1950       5.43       5.19
1951       5.44       5.22
1952       5.47       5.24
1953       5.46       5.24
1954       5.48       5.24
1955       5.46       5.22
1956       5.47       5.21
1957       5.48       5.21
1958       5.47       5.19
1959       5.48       5.20
1960       5.53       5.23
1961       5.55       5.25
1962       5.58       5.27
1963       5.60       5.28
1964       5.64       5.30
1965       5.67       5.31
1966       5.70       5.32
1967       5.73       5.35
1968          .       5.37
1969          .       5.38
1970          .       5.41
1971          .       5.43
1972          .       5.45
1973          .       5.46
1974          .       5.47
1975          .       5.47
1976          .       5.46
1977          .       5.46
