Germany, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 04/02/2019
Cohort     CCF     CCF40
1941     1.916     1.902
1942     1.865     1.851
1943     1.829     1.815
1944     1.800     1.786
1945     1.795     1.779
1946     1.795     1.778
1947     1.769     1.753
1948     1.749     1.731
1949     1.735     1.717
1950     1.723     1.705
1951     1.693     1.675
1952     1.687     1.668
1953     1.676     1.658
1954     1.658     1.639
1955     1.675     1.654
1956     1.672     1.650
1957     1.661     1.637
1958     1.663     1.639
1959     1.663     1.637
1960     1.661     1.634
1961     1.637     1.610
1962     1.618     1.589
1963     1.593     1.562
1964     1.571     1.537
1965     1.556     1.520
1966     1.531     1.492
1967     1.509     1.467
1968         .     1.458
1969         .     1.460
1970         .     1.472
1971         .     1.478
1972         .     1.497
1973         .     1.525
1974         .     1.531
1975         .     1.534
1976         .     1.527
1977         .     1.532
